2 Mot inconnu : ipython => ====== ipython ====== | ipython

3 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

4 Mot inconnu : ipython => Pour trouver ipython pour Edgy et supérieur vous pouvez suivre ce lien : [[apt://ipython]] | ipython
4 Mot inconnu : Edgy => Pour trouver ipython pour Edgy et supérieur vous pouvez suivre ce lien : [[apt://ipython]] | edgy
4 Mot inconnu : ipython => Pour trouver ipython pour Edgy et supérieur vous pouvez suivre ce lien : [[apt://ipython]] | ipython

6 Mot inconnu : Ipython => Ipython est un interpréteur python amélioré qui apporte un pack de nouvelles fonctions sympa que je vais vous lister succinctement. | ipython

7 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Auto-complétion avec la touche TAB |    => suggestions : ['']
7 Mot inconnu : TAB =>   * Auto-complétion avec la touche TAB | tab

8 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * L'auto-complétion trouve les variables qui ont été déclarées. |      => suggestions : ['']

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Elle trouve les mots clefs et les fonctions locales. |      => suggestions : ['']

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * La complétion des méthodes sur les variables tiennent compte du type actuel de cette dernière. |      => suggestions : ['']

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Par contre la complétion ne tient pas compte du contexte. |      => suggestions : ['']

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Historique persistant (même si on quitte l'interpréteur, on peut retrouver les dernières commandes par l'historique) |    => suggestions : ['']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Recherche dans l'historique avec ctrl+P (previous), ctrl+n (next) les entrées commençant par la partie manuellement entrée |      => suggestions : ['']
13 Mot inconnu : ctrl =>     * Recherche dans l'historique avec ctrl+P (previous), ctrl+n (next) les entrées commençant par la partie manuellement entrée | ctrl
13 Mot inconnu : previous =>     * Recherche dans l'historique avec ctrl+P (previous), ctrl+n (next) les entrées commençant par la partie manuellement entrée | previous
13 Mot inconnu : ctrl =>     * Recherche dans l'historique avec ctrl+P (previous), ctrl+n (next) les entrées commençant par la partie manuellement entrée | ctrl
13 Mot inconnu : next =>     * Recherche dans l'historique avec ctrl+P (previous), ctrl+n (next) les entrées commençant par la partie manuellement entrée | next

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Isole dans l'historique les entrées multilignes |      => suggestions : ['']
14 Mot inconnu : multilignes =>     * Isole dans l'historique les entrées multilignes | multilignes

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * On peut désormais éditer des lignes antérieures dans le cas d'instructions multilignes |      => suggestions : ['']
15 Mot inconnu : multilignes =>     * On peut désormais éditer des lignes antérieures dans le cas d'instructions multilignes | multilignes

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * On peut appeler les instructions précédentes qui sont rangées dans une liste _i[n] pour la même commande ou _ii (pour la dernière commande et plus on ajoute de i et plus on remonte) |      => suggestions : ['']
