
5 Mot inconnu : Calligra => ======Calligra Words : le traitement de texte====== | calligra
5 Mot inconnu : Words => ======Calligra Words : le traitement de texte====== | words

8 Mot inconnu : Words => Words, comme le reste des logiciels de la suite Calligra, est encore en développement ; des fonctions supplémentaires sont ajoutées à chaque nouvelle version. | words
8 Mot inconnu : Calligra => Words, comme le reste des logiciels de la suite Calligra, est encore en développement ; des fonctions supplémentaires sont ajoutées à chaque nouvelle version. | calligra

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * les modèles de document et les styles de mise en page |    => suggestions : ['']

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * la correction orthographique multi-langues |    => suggestions : ['']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * les tableaux |    => suggestions : ['']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * les tables des matières |    => suggestions : ['']

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * les signets et les commentaires |    => suggestions : ['']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * les hyperliens |    => suggestions : ['']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * les bases de données externes, afin de créer des formulaires |    => suggestions : ['']

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * les carnets d'adresses |    => suggestions : ['']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * etc ... |    => suggestions : ['']
19 Typographie : points de suspension. Utilisez le caractère dédié. =>   * etc ... | ... => suggestions : ['…']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

39 Mot inconnu : WYSIWYG => C'est la fenêtre WYSIWYG (What You See Is What You Get = ce que vous voyez est ce que vous aurez), zoomable, pouvant être scindée en plusieurs vues (pratique pour travailler sur deux sections éloignées d'un même document), disposant de grilles et de règles. | wysiwyg
