
4 Mot inconnu : Eternal [[26:33]] => ====== Landes éternelles (Eternal Lands) ====== <|> eternal
12 Mot inconnu : role-play [[66:75]] => Le jeu se distingue par son gameplay très libre et ses animations role-play. <|> role-play
14 Mot inconnu : RolePlay [[91:99]] => Au programme : exploration, magie et combats, métiers, intrigues politiques, animations et RolePlay. <|> roleplay
26 Si “Mo” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. [[10:16]] =>   * RAM : 512 Mo <|> 512 mo => suggestions : ['512\xa0Mo']
27 Si “Mo” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. [[17:23]] =>   * Disque dur : 600 Mo <|> 600 mo => suggestions : ['600\xa0Mo']
50 Espace(s) en fin de ligne à supprimer. [[111:112]] => Nous supposerons que l'archive est maintenant présente dans le dossier personnel, exemple : /home/utilisateur/.  <|>   => suggestions : ['']
54 Guillemets typographiques ouvrants. [[35:36]] =>   * Avec la souris : clic droit et "Extraire ici". <|> " => suggestions : ['«\xa0', '“']
54 Guillemets typographiques fermants. [[48:49]] =>   * Avec la souris : clic droit et "Extraire ici". <|> " => suggestions : ['\xa0»', '”']

64 Mot inconnu : Eternelles [[76:86]] => Cette manipulation va autoriser l'exécution des fichiers binaires de Landes Eternelles. <|> eternelles

72 Accord de nombre erroné avec « les bibliothèques » : « nécessaire » devrait être au pluriel. [[55:65]] => Si vous n'avez pas envie d'installer les bibliothèques nécessaire au jeu, vous pouvez utiliser la version "static" fournie dans l'archive. Vous pourrez normalement jouer en lançant le binaire dans un terminal, ou en cliquant sur "le.x86.static.linux.bin". <|> nécessaire => suggestions : ['nécessaires']
72 Guillemets typographiques ouvrants. [[106:107]] => Si vous n'avez pas envie d'installer les bibliothèques nécessaire au jeu, vous pouvez utiliser la version "static" fournie dans l'archive. Vous pourrez normalement jouer en lançant le binaire dans un terminal, ou en cliquant sur "le.x86.static.linux.bin". <|> " => suggestions : ['«\xa0', '“']
72 Mot inconnu : static [[107:113]] => Si vous n'avez pas envie d'installer les bibliothèques nécessaire au jeu, vous pouvez utiliser la version "static" fournie dans l'archive. Vous pourrez normalement jouer en lançant le binaire dans un terminal, ou en cliquant sur "le.x86.static.linux.bin". <|> static
72 Guillemets typographiques fermants. [[113:114]] => Si vous n'avez pas envie d'installer les bibliothèques nécessaire au jeu, vous pouvez utiliser la version "static" fournie dans l'archive. Vous pourrez normalement jouer en lançant le binaire dans un terminal, ou en cliquant sur "le.x86.static.linux.bin". <|> " => suggestions : ['\xa0»', '”']
72 Guillemets typographiques ouvrants. [[229:230]] => Si vous n'avez pas envie d'installer les bibliothèques nécessaire au jeu, vous pouvez utiliser la version "static" fournie dans l'archive. Vous pourrez normalement jouer en lançant le binaire dans un terminal, ou en cliquant sur "le.x86.static.linux.bin". <|> " => suggestions : ['«\xa0', '“']
72 Guillemets typographiques fermants. [[253:254]] => Si vous n'avez pas envie d'installer les bibliothèques nécessaire au jeu, vous pouvez utiliser la version "static" fournie dans l'archive. Vous pourrez normalement jouer en lançant le binaire dans un terminal, ou en cliquant sur "le.x86.static.linux.bin". <|> " => suggestions : ['\xa0»', '”']

74 Incohérence avec « ne » : « veulent » devrait être un verbe. [[17:24]] => Pour ceux qui ne veulent/peuvent pas jouer avec la version "static", <|> veulent => suggestions : ['veut', 'voulus', 'veux', 'veulent', 'voulut']
74 Guillemets typographiques ouvrants. [[59:60]] => Pour ceux qui ne veulent/peuvent pas jouer avec la version "static", <|> " => suggestions : ['«\xa0', '“']
74 Mot inconnu : static [[60:66]] => Pour ceux qui ne veulent/peuvent pas jouer avec la version "static", <|> static
74 Guillemets typographiques fermants. [[66:67]] => Pour ceux qui ne veulent/peuvent pas jouer avec la version "static", <|> " => suggestions : ['\xa0»', '”']

78 Il manque un trait d’union si “même” se rapporte à “vous”. [[27:36]] => Vous pouvez aussi compiler vous même l'exécutable, si par exemple vous disposez d'une machine 64 bits, ou d'un processeur non-compatible x86. <|> vous même => suggestions : ['vous-même']

85 Mot inconnu : item_lists [[87:97]] => <note important>Pour l'instant en attendant la mise à jour du client, il faut modifier item_lists.cpp et icon_windows.cpp ainsi : <|> item_lists
85 Mot inconnu : cpp [[98:101]] => <note important>Pour l'instant en attendant la mise à jour du client, il faut modifier item_lists.cpp et icon_windows.cpp ainsi : <|> cpp
85 Mot inconnu : icon_windows [[105:117]] => <note important>Pour l'instant en attendant la mise à jour du client, il faut modifier item_lists.cpp et icon_windows.cpp ainsi : <|> icon_windows
85 Mot inconnu : cpp [[118:121]] => <note important>Pour l'instant en attendant la mise à jour du client, il faut modifier item_lists.cpp et icon_windows.cpp ainsi : <|> cpp

86 Mot inconnu : item_list [[6:15]] => *dans item_list.cpp il faut remplacer à la ligne 791 abs par fabs et *dans icon_windows.cpp il faut remplacer à la ligne 377 abs par fabs  <|> item_list
86 Mot inconnu : cpp [[16:19]] => *dans item_list.cpp il faut remplacer à la ligne 791 abs par fabs et *dans icon_windows.cpp il faut remplacer à la ligne 377 abs par fabs  <|> cpp
86 Mot inconnu : abs [[53:56]] => *dans item_list.cpp il faut remplacer à la ligne 791 abs par fabs et *dans icon_windows.cpp il faut remplacer à la ligne 377 abs par fabs  <|> abs
86 Mot inconnu : fabs [[61:65]] => *dans item_list.cpp il faut remplacer à la ligne 791 abs par fabs et *dans icon_windows.cpp il faut remplacer à la ligne 377 abs par fabs  <|> fabs
86 Mot inconnu : icon_windows [[75:87]] => *dans item_list.cpp il faut remplacer à la ligne 791 abs par fabs et *dans icon_windows.cpp il faut remplacer à la ligne 377 abs par fabs  <|> icon_windows
86 Mot inconnu : cpp [[88:91]] => *dans item_list.cpp il faut remplacer à la ligne 791 abs par fabs et *dans icon_windows.cpp il faut remplacer à la ligne 377 abs par fabs  <|> cpp
86 Mot inconnu : abs [[125:128]] => *dans item_list.cpp il faut remplacer à la ligne 791 abs par fabs et *dans icon_windows.cpp il faut remplacer à la ligne 377 abs par fabs  <|> abs
86 Mot inconnu : fabs [[133:137]] => *dans item_list.cpp il faut remplacer à la ligne 791 abs par fabs et *dans icon_windows.cpp il faut remplacer à la ligne 377 abs par fabs  <|> fabs
86 Espace(s) en fin de ligne à supprimer. [[137:138]] => *dans item_list.cpp il faut remplacer à la ligne 791 abs par fabs et *dans icon_windows.cpp il faut remplacer à la ligne 377 abs par fabs  <|>   => suggestions : ['']

95 Espace(s) en fin de ligne à supprimer. [[150:151]] => Copiez maintenant l'exécutable (nommé le.x86.linux.bin) dans votre dossier de jeu (Reportez vous à la partie installation depuis l'archive officielle)  <|>   => suggestions : ['']
108 Guillemets typographiques ouvrants. [[16:17]] =>   * Une fenêtre "Landes éternelles va s'ouvrir. Patientez (un texte s'affiche pendant le chargement).    <|> " => suggestions : ['«\xa0', '“']
108 Espace(s) en fin de ligne à supprimer. [[101:104]] =>   * Une fenêtre "Landes éternelles va s'ouvrir. Patientez (un texte s'affiche pendant le chargement).    <|>     => suggestions : ['']
110 S’il s’agit de la préposition « à », il faut accentuer la majuscule. [[4:5]] =>   * A la fin du décompte, cliquez sur "J'accepte". <|> a => suggestions : ['À']
110 Guillemets typographiques ouvrants. [[38:39]] =>   * A la fin du décompte, cliquez sur "J'accepte". <|> " => suggestions : ['«\xa0', '“']
110 Guillemets typographiques fermants. [[48:49]] =>   * A la fin du décompte, cliquez sur "J'accepte". <|> " => suggestions : ['\xa0»', '”']
111 Guillemets typographiques ouvrants. [[160:161]] =>   * Une fenêtre s'ouvre vous demandant d'entrer votre identifiant (Nom) et votre mot de passe (Code). Si vous vous connectez pour la première fois, cliquez sur "Nouveau Personnage" (il n'y a pas de procédure de création de compte sur le site officiel). <|> " => suggestions : ['«\xa0', '“']
111 Guillemets typographiques fermants. [[179:180]] =>   * Une fenêtre s'ouvre vous demandant d'entrer votre identifiant (Nom) et votre mot de passe (Code). Si vous vous connectez pour la première fois, cliquez sur "Nouveau Personnage" (il n'y a pas de procédure de création de compte sur le site officiel). <|> " => suggestions : ['\xa0»', '”']

113 Mot inconnu : Eternelles [[7:17]] => Landes Eternelles vous propose d'abord de configurer votre personnage. <|> eternelles

116 Guillemets typographiques ouvrants. [[12:13]] => Cliquez sur "Suite" : Vous pouvez maintenant choisir votre nom et mot de passe. <|> " => suggestions : ['«\xa0', '“']
116 Guillemets typographiques fermants. [[18:19]] => Cliquez sur "Suite" : Vous pouvez maintenant choisir votre nom et mot de passe. <|> " => suggestions : ['\xa0»', '”']

118 Guillemets typographiques ouvrants. [[29:30]] => Cliquez une seconde fois sur "Suite" : Votre personnage est téléporté vers l'île des débutants. <|> " => suggestions : ['«\xa0', '“']
118 Guillemets typographiques fermants. [[35:36]] => Cliquez une seconde fois sur "Suite" : Votre personnage est téléporté vers l'île des débutants. <|> " => suggestions : ['\xa0»', '”']

123 Mot inconnu : Alt-F4 [[60:66]] => Alt-X vous fait revenir à la fenêtre de connexion, Alt-X ou Alt-F4 pour fermer le programme. <|> alt-f4

124 Mot inconnu : Fullscreen [[21:31]] => En mode Plein-écran (Fullscreen) vous pouvez avoir du mal a quitter la fenêtre de connexion, insistez avec Alt-X. Si rien ne marche retournez dans la partie, décochez le Plein-écran et quittez par Alt-X deux fois. <|> fullscreen
124 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. [[58:59]] => En mode Plein-écran (Fullscreen) vous pouvez avoir du mal a quitter la fenêtre de connexion, insistez avec Alt-X. Si rien ne marche retournez dans la partie, décochez le Plein-écran et quittez par Alt-X deux fois. <|> a => suggestions : ['à']
124 Incohérence probable avec “a” : “quitter” n’est pas un participe passé. [[60:67]] => En mode Plein-écran (Fullscreen) vous pouvez avoir du mal a quitter la fenêtre de connexion, insistez avec Alt-X. Si rien ne marche retournez dans la partie, décochez le Plein-écran et quittez par Alt-X deux fois. <|> quitter => suggestions : ['quitté']

131 Mot inconnu : LandesEternellesLinux [[5:26]] => cd ~/LandesEternellesLinux* && ./le.x86.static.linux.bin</file>ou remplacez la dernière commande par **./le.x86-64.linux.bin** sur Ubuntu 64 bits. <|> landeseternelleslinux
131 Mot inconnu : x86-64 [[108:114]] => cd ~/LandesEternellesLinux* && ./le.x86.static.linux.bin</file>ou remplacez la dernière commande par **./le.x86-64.linux.bin** sur Ubuntu 64 bits. <|> x86-64
131 Mot inconnu : bin [[121:124]] => cd ~/LandesEternellesLinux* && ./le.x86.static.linux.bin</file>ou remplacez la dernière commande par **./le.x86-64.linux.bin** sur Ubuntu 64 bits. <|> bin
136 Guillemets typographiques ouvrants. [[51:52]] =>   * Clic-droit **Éditer les Menus** sur votre menu "Applications" ou par le menu dans **/Système/Préférences/Menu Principal**. <|> " => suggestions : ['«\xa0', '“']
136 Guillemets typographiques fermants. [[64:65]] =>   * Clic-droit **Éditer les Menus** sur votre menu "Applications" ou par le menu dans **/Système/Préférences/Menu Principal**. <|> " => suggestions : ['\xa0»', '”']
138 Mot inconnu : Eternelles [[44:54]] =>   * Type : **Application** ; Nom : **Landes Eternelles** <|> eternelles
139 Mot inconnu : Eternelles [[106:116]] =>   * Pour Commande : il suffit de parcourir et de sélectionner le fichier créé en première étape (//Landes Eternelles//). <|> eternelles
143 Mot inconnu : icon [[63:67]] => Vous pouvez utiliser l'icône présente dans le dossier du jeu : icon.bmp  <|> icon
143 Mot inconnu : bmp [[68:71]] => Vous pouvez utiliser l'icône présente dans le dossier du jeu : icon.bmp  <|> bmp
143 Espace(s) en fin de ligne à supprimer. [[71:72]] => Vous pouvez utiliser l'icône présente dans le dossier du jeu : icon.bmp  <|>   => suggestions : ['']

149 Mot inconnu : libcal3d [[19:27]] => ==== problème avec libcal3d ==== <|> libcal3d

161 Mot inconnu : Intrepid [[29:37]] => ==== Le jeu ne se lance pas (Intrepid) ==== <|> intrepid

169 Guillemets typographiques ouvrants. [[43:44]] => Aller dans les options du jeu, puis onglet "Vid. avancées" : décocher "Buffers de vertex".\\ <|> " => suggestions : ['«\xa0', '“']
169 Mot inconnu : Vid [[44:47]] => Aller dans les options du jeu, puis onglet "Vid. avancées" : décocher "Buffers de vertex".\\ <|> vid
169 Guillemets typographiques fermants. [[57:58]] => Aller dans les options du jeu, puis onglet "Vid. avancées" : décocher "Buffers de vertex".\\ <|> " => suggestions : ['\xa0»', '”']
169 Guillemets typographiques ouvrants. [[70:71]] => Aller dans les options du jeu, puis onglet "Vid. avancées" : décocher "Buffers de vertex".\\ <|> " => suggestions : ['«\xa0', '“']
169 Mot inconnu : Buffers [[71:78]] => Aller dans les options du jeu, puis onglet "Vid. avancées" : décocher "Buffers de vertex".\\ <|> buffers
169 Guillemets typographiques fermants. [[88:89]] => Aller dans les options du jeu, puis onglet "Vid. avancées" : décocher "Buffers de vertex".\\ <|> " => suggestions : ['\xa0»', '”']

170 Guillemets typographiques ouvrants. [[63:64]] => Autre possibilité, diminuer la résolution du jeu dans l'onglet "Vidéo".\\ <|> " => suggestions : ['«\xa0', '“']
170 Guillemets typographiques fermants. [[69:70]] => Autre possibilité, diminuer la résolution du jeu dans l'onglet "Vidéo".\\ <|> " => suggestions : ['\xa0»', '”']

174 Espace(s) en fin de ligne à supprimer. [[62:63]] => Il faut laisser le pointeur de la souris sur le champ de texte  <|>   => suggestions : ['']

175 Il manque un espace avant la parenthèse. [[100:101]] => <del>Impossible de rentrer du texte dans les lignes de saisie des fenêtres secondaires du jeu</del>x(ex: liste des amis):\\ <|> ( => suggestions : [' (']

176 Espace(s) surnuméraire(s) à supprimer. [[24:26]] => Le problème survient sur  architecture 64 Bit avec OS en 32 Bit (ici Ubuntu 12.04)\\ <|>    => suggestions : [' ']
176 Si “Bit” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. [[39:45]] => Le problème survient sur  architecture 64 Bit avec OS en 32 Bit (ici Ubuntu 12.04)\\ <|> 64 bit => suggestions : ['64\xa0Bit']
176 Si “Bit” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. [[57:63]] => Le problème survient sur  architecture 64 Bit avec OS en 32 Bit (ici Ubuntu 12.04)\\ <|> 32 bit => suggestions : ['32\xa0Bit']

