1 Mot inconnu : NOTOC [[2:7]] => ~~NOTOC~~ <|> notoc

2 Mot inconnu : lhu-auto-trad [[6:19]] => ===== lhu-auto-trad ===== <|> lhu-auto-trad

3 Mot inconnu : lhu-auto-trad [[19:32]] => ==== qu'est-ce que lhu-auto-trad ==== <|> lhu-auto-trad

6 Mot inconnu : lhu-auto-trad [[2:15]] => **lhu-auto-trad** remplit deux fonctions : <|> lhu-auto-trad
8 Mot inconnu : LHU [[29:32]] =>   * Étant donné un numéro de LHU, Il en télécharge le source anglais, <|> lhu
8 Accord de genre erroné : « source » est féminin. [[51:53]] =>   * Étant donné un numéro de LHU, Il en télécharge le source anglais, <|> le => suggestions : la
8 Accord de genre erroné : « le » est un déterminant masculin. [[54:60]] =>   * Étant donné un numéro de LHU, Il en télécharge le source anglais, <|> source => suggestions : sourcé
9 Accord de genre erroné : « source » est féminin. Ou bien vous confondez le déterminant “ce” avec le pronom “se”. [[39:41]] =>   * il traduit tout ce qu'il peut dans ce source, et crée un document prétraduit. <|> ce => suggestions : cettese
9 Mot inconnu : prétraduit [[70:80]] =>   * il traduit tout ce qu'il peut dans ce source, et crée un document prétraduit. <|> prétraduit

12 Mot inconnu : lhu-auto-trad [[20:33]] => ==== Où trouve-t-on lhu-auto-trad ==== <|> lhu-auto-trad

17 Mot inconnu : lhu-auto-trad [[38:51]] => Si vous avez l'intention d'utiliser **lhu-auto-trad**, après l'avoir rejoint sur sobby.porcheron.info, sauvez le, au moyen de la commande **Enregistrer le document** du menu séance. <|> lhu-auto-trad
17 S’il s’agit d’un impératif, mettez un trait d’union. [[103:112]] => Si vous avez l'intention d'utiliser **lhu-auto-trad**, après l'avoir rejoint sur sobby.porcheron.info, sauvez le, au moyen de la commande **Enregistrer le document** du menu séance. <|> sauvez le => suggestions : sauvez-le

19 Mot inconnu : lhu-auto-trad [[32:45]] => ==== Note pour l'utilisation de lhu-auto-trad ==== <|> lhu-auto-trad

