
7 Mot inconnu : Launchy => ====== Launchy ======  | launchy
7 Espace(s) en fin de ligne à supprimer. => ====== Launchy ======  |   => suggestions : ['']

12 Mot inconnu : Launchy => Launchy est un lanceur, logiciel qui permet de démarrer rapidement une application en tapant le début ou une partie de son nom, mais il permet également de trouver et lancer avec les logiciels associés musiques, vidéos, document que l'on veut y voir figurer. \\ | launchy
13 Mot inconnu : KDE => Développé initialement pour Windows, il a été porté sous Qt pour la version 2.0 et la version Linux est sortie quelques mois après. Malgré le fait qu'il ait été développé à la base pour Windows, il a l'avantage d'être léger (selon bien sûr la quantité de fichiers qu'il doit répertorier), esthétique, et fonctionne sans problème que ce soit sous Gnome ou KDE. Il s'agit d'un logiciel libre, distribué sous licence GNU GPL. Il est particulièrement intéressant pour Gnome et Mate, qui ne dispose pas du tableau de bord de recherche comme Unity. | kde
13 Mot inconnu : Unity => Développé initialement pour Windows, il a été porté sous Qt pour la version 2.0 et la version Linux est sortie quelques mois après. Malgré le fait qu'il ait été développé à la base pour Windows, il a l'avantage d'être léger (selon bien sûr la quantité de fichiers qu'il doit répertorier), esthétique, et fonctionne sans problème que ce soit sous Gnome ou KDE. Il s'agit d'un logiciel libre, distribué sous licence GNU GPL. Il est particulièrement intéressant pour Gnome et Mate, qui ne dispose pas du tableau de bord de recherche comme Unity. | unity

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

21 Mot inconnu : launchy => Le raccourci par défaut est CTRL+Espace, si launchy est retourné se cacher (c'est là un de ses intérêts :-) ), utilisez-le pour le rendre visible. | launchy
21 Pas d’espace avant ce signe. => Le raccourci par défaut est CTRL+Espace, si launchy est retourné se cacher (c'est là un de ses intérêts :-) ), utilisez-le pour le rendre visible. |  ) => suggestions : [')']

22 Espace(s) en fin de ligne à supprimer. => Faites ensuite un clic droit puis options pour accéder à la fenêtre de configuration.  |   => suggestions : ['']

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Always display launchy Windows > Toujours afficher la fenêtre de launchy : il est conseillé de la laisser décochée ou launchy sera toujours visible, |    => suggestions : ['']
30 Mot inconnu : Always =>   * Always display launchy Windows > Toujours afficher la fenêtre de launchy : il est conseillé de la laisser décochée ou launchy sera toujours visible, | always
30 Mot inconnu : display =>   * Always display launchy Windows > Toujours afficher la fenêtre de launchy : il est conseillé de la laisser décochée ou launchy sera toujours visible, | display
30 Mot inconnu : launchy =>   * Always display launchy Windows > Toujours afficher la fenêtre de launchy : il est conseillé de la laisser décochée ou launchy sera toujours visible, | launchy
30 Mot inconnu : launchy =>   * Always display launchy Windows > Toujours afficher la fenêtre de launchy : il est conseillé de la laisser décochée ou launchy sera toujours visible, | launchy
