
6 Mot inconnu : Lighttpd => ====== Lighttpd : Un serveur web léger ====== | lighttpd

11 Mot inconnu : htaccess => Par rapport à Apache, il ne supporte pas les fichiers htaccess ou encore htpasswd. Ces 2 problèmes sont contournables si vous avez accès à la configuration de votre serveur. | htaccess
11 Mot inconnu : htpasswd => Par rapport à Apache, il ne supporte pas les fichiers htaccess ou encore htpasswd. Ces 2 problèmes sont contournables si vous avez accès à la configuration de votre serveur. | htpasswd

13 Mot inconnu : Lighttpd => Lighttpd se trouve dans le top 5 des serveurs les plus utilisés dans le monde. Cette page est là pour vous expliquer comment l'installer et comment l'utiliser de manière simple. | lighttpd

30 Mot inconnu : lighttpd => === Le fichier lighttpd.conf === | lighttpd
30 Il manque un espace. => === Le fichier lighttpd.conf === | conf => suggestions : [' conf']

31 Mot inconnu : Lighttpd => Le plus important est de configurer la directive suivante qui définit la racine de Lighttpd. | lighttpd

33 Mot inconnu : server => server.document-root       = "/votre/chemin/" | server
33 Mot inconnu : document-root => server.document-root       = "/votre/chemin/" | document-root
33 Espace(s) surnuméraire(s) à supprimer. => server.document-root       = "/votre/chemin/" |         => suggestions : [' ']

42 Mot inconnu : décommenter => La première partie du fichier consiste en l'activation des différents modules du serveur. Pour activer un module, il suffit de décommenter sa ligne ou utiliser la commande **lighty-enable-mod** que nous verrons un peu plus loin. | décommenter
42 Mot inconnu : lighty-enable-mod => La première partie du fichier consiste en l'activation des différents modules du serveur. Pour activer un module, il suffit de décommenter sa ligne ou utiliser la commande **lighty-enable-mod** que nous verrons un peu plus loin. | lighty-enable-mod

44 Mot inconnu : server => server.modules              = ( | server
44 Il manque un espace. => server.modules              = ( | modules => suggestions : [' modules']
44 Espace(s) surnuméraire(s) à supprimer. => server.modules              = ( |                => suggestions : [' ']

47 Typographie : points de suspension. Utilisez le caractère dédié. => ... | ... => suggestions : ['…']

48 Guillemets typographiques ouvrants. => #           "mod_flv_streaming", | " => suggestions : ['«\xa0', '“']
48 Mot inconnu : mod_flv_streaming => #           "mod_flv_streaming", | mod_flv_streaming
48 Guillemets typographiques fermants. => #           "mod_flv_streaming", | " => suggestions : ['\xa0»', '”']

49 Guillemets typographiques ouvrants. => #           "mod_evasive" | " => suggestions : ['«\xa0', '“']
49 Mot inconnu : mod_evasive => #           "mod_evasive" | mod_evasive
