
4 Mot inconnu : LilyPond => ====== Notation musicale avec LilyPond ====== | lilypond

7 Mot inconnu : LilyPond => **LilyPond** est un logiciel d'édition musicale. | lilypond

8 Mot inconnu : MuseScore => Contrairement à certains logiciels comme Finale ou [[MuseScore]], pour ne citer que ceux-ci, LilyPond n'est pas un logiciel de saisie "à la volée". Il est cependant possible d'exporter au format [[midi]] pour écouter vos créations. | musescore
8 Mot inconnu : LilyPond => Contrairement à certains logiciels comme Finale ou [[MuseScore]], pour ne citer que ceux-ci, LilyPond n'est pas un logiciel de saisie "à la volée". Il est cependant possible d'exporter au format [[midi]] pour écouter vos créations. | lilypond
8 Guillemets typographiques ouvrants. => Contrairement à certains logiciels comme Finale ou [[MuseScore]], pour ne citer que ceux-ci, LilyPond n'est pas un logiciel de saisie "à la volée". Il est cependant possible d'exporter au format [[midi]] pour écouter vos créations. | " => suggestions : ['«\xa0', '“']
8 Guillemets typographiques fermants. => Contrairement à certains logiciels comme Finale ou [[MuseScore]], pour ne citer que ceux-ci, LilyPond n'est pas un logiciel de saisie "à la volée". Il est cependant possible d'exporter au format [[midi]] pour écouter vos créations. | " => suggestions : ['\xa0»', '”']

10 Mot inconnu : LaTeX => Il se rapproche de LaTeX, car pour saisir une partition, l'utilisateur saisit du code - un peu comme avec un langage de programmation - qui est compilé afin de générer un fichier PDF de la partition. | latex
10 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Il se rapproche de LaTeX, car pour saisir une partition, l'utilisateur saisit du code - un peu comme avec un langage de programmation - qui est compilé afin de générer un fichier PDF de la partition. |  -  => suggestions : [' – ', ' — ', ' − ']
10 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Il se rapproche de LaTeX, car pour saisir une partition, l'utilisateur saisit du code - un peu comme avec un langage de programmation - qui est compilé afin de générer un fichier PDF de la partition. |  -  => suggestions : [' – ', ' — ', ' − ']

12 Mot inconnu : Lilypond => Lilypond produit une belle partition – "gravure" – automatiquement. | lilypond
12 Guillemets typographiques ouvrants. => Lilypond produit une belle partition – "gravure" – automatiquement. | " => suggestions : ['«\xa0', '“']
12 Guillemets typographiques fermants. => Lilypond produit une belle partition – "gravure" – automatiquement. | " => suggestions : ['\xa0»', '”']

14 Mot inconnu : LilyPond => ===== Pourquoi utiliser LilyPond ===== | lilypond

16 Guillemets typographiques ouvrants. => Les "grands" logiciels d'édition musicale (Finale, Encore, Sibelius...) se basent sur une interface graphique. Ce principe montre bien vite ses limites : ils sont consommateurs en ressources, occupent beaucoup de place sur votre disque dur, et se prêtent mal aux tâches répétitives comme la saisie initiale des notes d'une partition. | " => suggestions : ['«\xa0', '“']
16 Guillemets typographiques fermants. => Les "grands" logiciels d'édition musicale (Finale, Encore, Sibelius...) se basent sur une interface graphique. Ce principe montre bien vite ses limites : ils sont consommateurs en ressources, occupent beaucoup de place sur votre disque dur, et se prêtent mal aux tâches répétitives comme la saisie initiale des notes d'une partition. | " => suggestions : ['\xa0»', '”']
16 Mot inconnu : Sibelius => Les "grands" logiciels d'édition musicale (Finale, Encore, Sibelius...) se basent sur une interface graphique. Ce principe montre bien vite ses limites : ils sont consommateurs en ressources, occupent beaucoup de place sur votre disque dur, et se prêtent mal aux tâches répétitives comme la saisie initiale des notes d'une partition. | sibelius
16 Typographie : points de suspension. Utilisez le caractère dédié. => Les "grands" logiciels d'édition musicale (Finale, Encore, Sibelius...) se basent sur une interface graphique. Ce principe montre bien vite ses limites : ils sont consommateurs en ressources, occupent beaucoup de place sur votre disque dur, et se prêtent mal aux tâches répétitives comme la saisie initiale des notes d'une partition. | ... => suggestions : ['…']

18 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => Dans un logiciel basé sur une interface graphique, il est pratiquement toujours nécessaire de déplacer certains éléments à la souris. A partir d'un certain niveau de complexité, des manipulations hasardeuses sont inévitables, avec leurs lots de mauvaises surprises. Par ailleurs, la gravure est assez décevante. | a => suggestions : ['À']

20 Mot inconnu : LilyPond => LilyPond est léger et efficace : son utilisation sera très simple pour créer une partition simple, mais ses possibilités sont immenses, et permettent de créer tous types de partitions. | lilypond

22 Nombre ordinal romain singulier. Exemples : IIᵉ, IIIᵉ, IVᵉ… => La gravure est particulièrement soignée, et rappelle les éditions du XIXe et du début du XXe siècle. | xixe => suggestions : ['XIXᵉ']
22 Nombre ordinal romain singulier. Exemples : IIᵉ, IIIᵉ, IVᵉ… => La gravure est particulièrement soignée, et rappelle les éditions du XIXe et du début du XXe siècle. | xxe => suggestions : ['XXᵉ']

24 Mot inconnu : LilyPond => Enfin, LilyPond est libre et gratuit. | lilypond
29 Mot inconnu : LilyPond => <note warning>Attention: LilyPond n'est pas une application, c'est juste un compilateur capable de transformer un fichier .ly en fichier .pdf.</note> | lilypond
29 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => <note warning>Attention: LilyPond n'est pas une application, c'est juste un compilateur capable de transformer un fichier .ly en fichier .pdf.</note> |  . => suggestions : ['. ', '.']
29 Mot inconnu : ly => <note warning>Attention: LilyPond n'est pas une application, c'est juste un compilateur capable de transformer un fichier .ly en fichier .pdf.</note> | ly
29 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => <note warning>Attention: LilyPond n'est pas une application, c'est juste un compilateur capable de transformer un fichier .ly en fichier .pdf.</note> |  . => suggestions : ['. ', '.']

31 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Cela signifie que pour l'utiliser vous allez devoir installer un autre programme pour créer les fichiers sources .ly. Selon vos besoins, vous pouvez utiliser : |  . => suggestions : ['. ', '.']
31 Mot inconnu : ly => Cela signifie que pour l'utiliser vous allez devoir installer un autre programme pour créer les fichiers sources .ly. Selon vos besoins, vous pouvez utiliser : | ly

40 Mot inconnu : Denemo => Si vous écrivez du jazz ou de la musique de variétés, ou si vous voulez transcrire une partition classique simple, Denemo et Rosegarden vous donneront toute satisfaction. | denemo
40 Mot inconnu : Rosegarden => Si vous écrivez du jazz ou de la musique de variétés, ou si vous voulez transcrire une partition classique simple, Denemo et Rosegarden vous donneront toute satisfaction. | rosegarden

42 Typographie : points de suspension. Utilisez le caractère dédié. => Si vous voulez tirer parti de toutes les possibilités du programme (partitions d'orchestre, chant grégorien, musique contemporaine, musiques du monde...), Frescobaldi ou LilyPondTool sont de très bons choix. Il vous permettent de visualiser le fichier PDF généré par LilyPond au fur et à mesure que vous tapez votre code. | ... => suggestions : ['…']
42 Mot inconnu : Frescobaldi => Si vous voulez tirer parti de toutes les possibilités du programme (partitions d'orchestre, chant grégorien, musique contemporaine, musiques du monde...), Frescobaldi ou LilyPondTool sont de très bons choix. Il vous permettent de visualiser le fichier PDF généré par LilyPond au fur et à mesure que vous tapez votre code. | frescobaldi
42 Mot inconnu : LilyPondTool => Si vous voulez tirer parti de toutes les possibilités du programme (partitions d'orchestre, chant grégorien, musique contemporaine, musiques du monde...), Frescobaldi ou LilyPondTool sont de très bons choix. Il vous permettent de visualiser le fichier PDF généré par LilyPond au fur et à mesure que vous tapez votre code. | lilypondtool
42 Accord avec “permettent”. => Si vous voulez tirer parti de toutes les possibilités du programme (partitions d'orchestre, chant grégorien, musique contemporaine, musiques du monde...), Frescobaldi ou LilyPondTool sont de très bons choix. Il vous permettent de visualiser le fichier PDF généré par LilyPond au fur et à mesure que vous tapez votre code. | il => suggestions : ['Ils']
