
4 Mot inconnu : lirc => ====== lirc - exemples de hardware.conf ====== | lirc
4 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => ====== lirc - exemples de hardware.conf ====== |  -  => suggestions : [' – ', ' — ', ' − ']
4 Il manque un espace. => ====== lirc - exemples de hardware.conf ====== | conf => suggestions : [' conf']

10 Il manque un espace. => ===== Fichier hardware.conf ===== | conf => suggestions : [' conf']

21 Mot inconnu : which => # Arguments which will be used when launching lircd | which
21 Mot inconnu : will => # Arguments which will be used when launching lircd | will
21 Mot inconnu : used => # Arguments which will be used when launching lircd | used
21 Mot inconnu : when => # Arguments which will be used when launching lircd | when
21 Mot inconnu : launching => # Arguments which will be used when launching lircd | launching
21 Mot inconnu : lircd => # Arguments which will be used when launching lircd | lircd

22 Mot inconnu : LIRCD_ARGS => LIRCD_ARGS="" | lircd_args

24 Mot inconnu : start => #Don't start lircmd even if there seems to be a good config file | start
24 Mot inconnu : lircmd => #Don't start lircmd even if there seems to be a good config file | lircmd
24 Mot inconnu : even => #Don't start lircmd even if there seems to be a good config file | even
24 Mot inconnu : there => #Don't start lircmd even if there seems to be a good config file | there
24 Mot inconnu : seems => #Don't start lircmd even if there seems to be a good config file | seems
24 Mot inconnu : to => #Don't start lircmd even if there seems to be a good config file | to

25 Mot inconnu : false => #START_LIRCMD=false | false

27 Mot inconnu : to => #Try to load appropriate kernel modules | to
27 Mot inconnu : load => #Try to load appropriate kernel modules | load
27 Mot inconnu : appropriate => #Try to load appropriate kernel modules | appropriate
27 Mot inconnu : kernel => #Try to load appropriate kernel modules | kernel

28 Mot inconnu : LOAD_MODULES => LOAD_MODULES=true | load_modules
28 Mot inconnu : true => LOAD_MODULES=true | true

30 Mot inconnu : Run => # Run "lircd --driver=help" for a list of supported drivers. | run
30 Guillemets typographiques ouvrants. => # Run "lircd --driver=help" for a list of supported drivers. | " => suggestions : ['«\xa0', '“']
30 Mot inconnu : lircd => # Run "lircd --driver=help" for a list of supported drivers. | lircd
30 Mot inconnu : help => # Run "lircd --driver=help" for a list of supported drivers. | help
30 Guillemets typographiques fermants. => # Run "lircd --driver=help" for a list of supported drivers. | " => suggestions : ['\xa0»', '”']
30 Mot inconnu : list => # Run "lircd --driver=help" for a list of supported drivers. | list
30 Mot inconnu : of => # Run "lircd --driver=help" for a list of supported drivers. | of
30 Mot inconnu : supported => # Run "lircd --driver=help" for a list of supported drivers. | supported

