
23 Mot inconnu : VideoLAN [[17:25]] => ====Via le dépôt VideoLAN==== <|> videolan

36 Guillemets typographiques ouvrants. [[50:51]] => Si vous n'avez pas la main, appuyez sur la touche "Entrée"</note> <|> " => suggestions : ['«\xa0', '“']
36 Guillemets typographiques fermants. [[57:58]] => Si vous n'avez pas la main, appuyez sur la touche "Entrée"</note> <|> " => suggestions : ['\xa0»', '”']

44 Espace(s) surnuméraire(s) à supprimer. [[278:280]] => Dans les lecteurs d'ordinateurs, la configuration du code de zone est généralement modifiable un certain nombre de fois, ce qui permet la vente d'un modèle d'ordinateur par un fabricant entre diverses zones DVD ou un voyageur de lire des films dans une autre zone que la sienne.  \\ D'ordre général, le code de zone DVD peut être changé jusqu'à un maximum de 5 fois. Après le cinquième changement, le dernier code de zone saisi est inscrit de manière permanente dans le périphérique, et celui-ci ne peut désormais plus lire que les DVD prévus pour cette zone. <|>    => suggestions : [' ']

48 Espace(s) surnuméraire(s) à supprimer. [[30:32]] => En cas de problèmes de région,  par exemple si vous obtenez des erreurs du type :  <|>    => suggestions : [' ']
48 Espace(s) en fin de ligne à supprimer. [[81:82]] => En cas de problèmes de région,  par exemple si vous obtenez des erreurs du type :  <|>   => suggestions : ['']

59 Guillemets typographiques ouvrants. [[17:18]] => ====Erreur Totem "manque source DVD"==== <|> " => suggestions : ['«\xa0', '“']
59 Guillemets typographiques fermants. [[35:36]] => ====Erreur Totem "manque source DVD"==== <|> " => suggestions : ['\xa0»', '”']

60 Guillemets typographiques ouvrants. [[131:132]] => Malgré l'installation complémentaire indiquée en 1.1, Totem ne peut pas lire un DVD et vous affiche un message disant qu'il manque "Source DVD". Il vous propose d'ouvrir Logiciels mais il ne trouve pas l'application nécessaire.\\ Pour résoudre cela, il faut installer "greffons GStreamer de l'ensemble « bad »". Chercher 'greffons GStreamer' dans Logiciels : vous trouvez plusieurs paquets nommés 'GStreamer Multimedia Codecs', certains déjà installés. En cliquant sur chacun, vous avez accès aux détails ; installer celui ayant le sous-titre "greffons GStreamer de l'ensemble « bad »": <|> " => suggestions : ['«\xa0', '“']
60 Guillemets typographiques fermants. [[142:143]] => Malgré l'installation complémentaire indiquée en 1.1, Totem ne peut pas lire un DVD et vous affiche un message disant qu'il manque "Source DVD". Il vous propose d'ouvrir Logiciels mais il ne trouve pas l'application nécessaire.\\ Pour résoudre cela, il faut installer "greffons GStreamer de l'ensemble « bad »". Chercher 'greffons GStreamer' dans Logiciels : vous trouvez plusieurs paquets nommés 'GStreamer Multimedia Codecs', certains déjà installés. En cliquant sur chacun, vous avez accès aux détails ; installer celui ayant le sous-titre "greffons GStreamer de l'ensemble « bad »": <|> " => suggestions : ['\xa0»', '”']
60 Si « mais » est la conjonction de coordination, une virgule est souhaitable si elle introduit une nouvelle proposition. [[179:184]] => Malgré l'installation complémentaire indiquée en 1.1, Totem ne peut pas lire un DVD et vous affiche un message disant qu'il manque "Source DVD". Il vous propose d'ouvrir Logiciels mais il ne trouve pas l'application nécessaire.\\ Pour résoudre cela, il faut installer "greffons GStreamer de l'ensemble « bad »". Chercher 'greffons GStreamer' dans Logiciels : vous trouvez plusieurs paquets nommés 'GStreamer Multimedia Codecs', certains déjà installés. En cliquant sur chacun, vous avez accès aux détails ; installer celui ayant le sous-titre "greffons GStreamer de l'ensemble « bad »": <|>  mais => suggestions : [', mais']
60 Guillemets typographiques ouvrants. [[268:269]] => Malgré l'installation complémentaire indiquée en 1.1, Totem ne peut pas lire un DVD et vous affiche un message disant qu'il manque "Source DVD". Il vous propose d'ouvrir Logiciels mais il ne trouve pas l'application nécessaire.\\ Pour résoudre cela, il faut installer "greffons GStreamer de l'ensemble « bad »". Chercher 'greffons GStreamer' dans Logiciels : vous trouvez plusieurs paquets nommés 'GStreamer Multimedia Codecs', certains déjà installés. En cliquant sur chacun, vous avez accès aux détails ; installer celui ayant le sous-titre "greffons GStreamer de l'ensemble « bad »": <|> " => suggestions : ['«\xa0', '“']
60 Mot inconnu : GStreamer [[278:287]] => Malgré l'installation complémentaire indiquée en 1.1, Totem ne peut pas lire un DVD et vous affiche un message disant qu'il manque "Source DVD". Il vous propose d'ouvrir Logiciels mais il ne trouve pas l'application nécessaire.\\ Pour résoudre cela, il faut installer "greffons GStreamer de l'ensemble « bad »". Chercher 'greffons GStreamer' dans Logiciels : vous trouvez plusieurs paquets nommés 'GStreamer Multimedia Codecs', certains déjà installés. En cliquant sur chacun, vous avez accès aux détails ; installer celui ayant le sous-titre "greffons GStreamer de l'ensemble « bad »": <|> gstreamer
60 Guillemets typographiques ouvrants. [[321:322]] => Malgré l'installation complémentaire indiquée en 1.1, Totem ne peut pas lire un DVD et vous affiche un message disant qu'il manque "Source DVD". Il vous propose d'ouvrir Logiciels mais il ne trouve pas l'application nécessaire.\\ Pour résoudre cela, il faut installer "greffons GStreamer de l'ensemble « bad »". Chercher 'greffons GStreamer' dans Logiciels : vous trouvez plusieurs paquets nommés 'GStreamer Multimedia Codecs', certains déjà installés. En cliquant sur chacun, vous avez accès aux détails ; installer celui ayant le sous-titre "greffons GStreamer de l'ensemble « bad »": <|> ' => suggestions : ['“', '‘', '‹']
60 Mot inconnu : GStreamer [[331:340]] => Malgré l'installation complémentaire indiquée en 1.1, Totem ne peut pas lire un DVD et vous affiche un message disant qu'il manque "Source DVD". Il vous propose d'ouvrir Logiciels mais il ne trouve pas l'application nécessaire.\\ Pour résoudre cela, il faut installer "greffons GStreamer de l'ensemble « bad »". Chercher 'greffons GStreamer' dans Logiciels : vous trouvez plusieurs paquets nommés 'GStreamer Multimedia Codecs', certains déjà installés. En cliquant sur chacun, vous avez accès aux détails ; installer celui ayant le sous-titre "greffons GStreamer de l'ensemble « bad »": <|> gstreamer
60 Guillemets typographiques fermants. [[340:341]] => Malgré l'installation complémentaire indiquée en 1.1, Totem ne peut pas lire un DVD et vous affiche un message disant qu'il manque "Source DVD". Il vous propose d'ouvrir Logiciels mais il ne trouve pas l'application nécessaire.\\ Pour résoudre cela, il faut installer "greffons GStreamer de l'ensemble « bad »". Chercher 'greffons GStreamer' dans Logiciels : vous trouvez plusieurs paquets nommés 'GStreamer Multimedia Codecs', certains déjà installés. En cliquant sur chacun, vous avez accès aux détails ; installer celui ayant le sous-titre "greffons GStreamer de l'ensemble « bad »": <|> ' => suggestions : ['”', '’', '›']
60 Guillemets typographiques ouvrants. [[397:398]] => Malgré l'installation complémentaire indiquée en 1.1, Totem ne peut pas lire un DVD et vous affiche un message disant qu'il manque "Source DVD". Il vous propose d'ouvrir Logiciels mais il ne trouve pas l'application nécessaire.\\ Pour résoudre cela, il faut installer "greffons GStreamer de l'ensemble « bad »". Chercher 'greffons GStreamer' dans Logiciels : vous trouvez plusieurs paquets nommés 'GStreamer Multimedia Codecs', certains déjà installés. En cliquant sur chacun, vous avez accès aux détails ; installer celui ayant le sous-titre "greffons GStreamer de l'ensemble « bad »": <|> ' => suggestions : ['“', '‘', '‹']
60 Mot inconnu : GStreamer [[398:407]] => Malgré l'installation complémentaire indiquée en 1.1, Totem ne peut pas lire un DVD et vous affiche un message disant qu'il manque "Source DVD". Il vous propose d'ouvrir Logiciels mais il ne trouve pas l'application nécessaire.\\ Pour résoudre cela, il faut installer "greffons GStreamer de l'ensemble « bad »". Chercher 'greffons GStreamer' dans Logiciels : vous trouvez plusieurs paquets nommés 'GStreamer Multimedia Codecs', certains déjà installés. En cliquant sur chacun, vous avez accès aux détails ; installer celui ayant le sous-titre "greffons GStreamer de l'ensemble « bad »": <|> gstreamer
60 Mot inconnu : Multimedia [[408:418]] => Malgré l'installation complémentaire indiquée en 1.1, Totem ne peut pas lire un DVD et vous affiche un message disant qu'il manque "Source DVD". Il vous propose d'ouvrir Logiciels mais il ne trouve pas l'application nécessaire.\\ Pour résoudre cela, il faut installer "greffons GStreamer de l'ensemble « bad »". Chercher 'greffons GStreamer' dans Logiciels : vous trouvez plusieurs paquets nommés 'GStreamer Multimedia Codecs', certains déjà installés. En cliquant sur chacun, vous avez accès aux détails ; installer celui ayant le sous-titre "greffons GStreamer de l'ensemble « bad »": <|> multimedia
60 Guillemets typographiques ouvrants. [[543:544]] => Malgré l'installation complémentaire indiquée en 1.1, Totem ne peut pas lire un DVD et vous affiche un message disant qu'il manque "Source DVD". Il vous propose d'ouvrir Logiciels mais il ne trouve pas l'application nécessaire.\\ Pour résoudre cela, il faut installer "greffons GStreamer de l'ensemble « bad »". Chercher 'greffons GStreamer' dans Logiciels : vous trouvez plusieurs paquets nommés 'GStreamer Multimedia Codecs', certains déjà installés. En cliquant sur chacun, vous avez accès aux détails ; installer celui ayant le sous-titre "greffons GStreamer de l'ensemble « bad »": <|> " => suggestions : ['«\xa0', '“']
60 Mot inconnu : GStreamer [[553:562]] => Malgré l'installation complémentaire indiquée en 1.1, Totem ne peut pas lire un DVD et vous affiche un message disant qu'il manque "Source DVD". Il vous propose d'ouvrir Logiciels mais il ne trouve pas l'application nécessaire.\\ Pour résoudre cela, il faut installer "greffons GStreamer de l'ensemble « bad »". Chercher 'greffons GStreamer' dans Logiciels : vous trouvez plusieurs paquets nommés 'GStreamer Multimedia Codecs', certains déjà installés. En cliquant sur chacun, vous avez accès aux détails ; installer celui ayant le sous-titre "greffons GStreamer de l'ensemble « bad »": <|> gstreamer
63 Mot inconnu : Regionset [[42:51]] => ==== Problèmes de région du lecteur DVD : Regionset ==== <|> regionset
64 Espace(s) en fin de ligne à supprimer. [[37:38]] => Si vous obtenez des erreurs du type :  <|>   => suggestions : ['']

67 Pas d’espace après ce signe. [[118:120]] => C'est que la région du firmware de votre lecteur DVD ne correspond pas à la région du disque DVD et certains lecteurs ( notamment ceux fabriqués par Matshita ) bloquent la lecture des secteurs protégés par CSS. Vous devez donc changer la région de votre lecteur.\\ <|> (  => suggestions : ['(']
67 Mot inconnu : Matshita [[149:157]] => C'est que la région du firmware de votre lecteur DVD ne correspond pas à la région du disque DVD et certains lecteurs ( notamment ceux fabriqués par Matshita ) bloquent la lecture des secteurs protégés par CSS. Vous devez donc changer la région de votre lecteur.\\ <|> matshita
67 Pas d’espace avant ce signe. [[157:159]] => C'est que la région du firmware de votre lecteur DVD ne correspond pas à la région du disque DVD et certains lecteurs ( notamment ceux fabriqués par Matshita ) bloquent la lecture des secteurs protégés par CSS. Vous devez donc changer la région de votre lecteur.\\ <|>  ) => suggestions : [')']

68 Mot inconnu : regionset [[15:24]] => L'utilitaire **regionset** permet de voir votre zone DVD actuelle et, au besoin, la modifier (dans la limite des cinq modifications permises pour vos lecteurs DVD d'ordinateur). Cet utilitaire fonctionne en ligne de commande. <|> regionset
80 Espace(s) en fin de ligne à supprimer. [[108:109]] => Certains DVD récents ne fonctionnent pas, bien que tout soit correctement installé. Une solution consiste à:  <|>   => suggestions : ['']
