
11 Mot inconnu : ive_cd => ^ Nom et URL ^ Licence ^ Support ^ Périodicité ^ Éditeur ^ Informations ^ Public ^ [[ive_cd|Live-CD]] fourni avec le magazine ^ Date de création ^ | ive_cd

13 Mot inconnu : The => | [[https://www.raspberrypi.org/magpi/|The magpi]] | ? |Le magasine consacré au RaspberryPi | ? | PDF, papier | Mensuel | Tout | ? | Mai 2012 | | the
13 Mot inconnu : magpi => | [[https://www.raspberrypi.org/magpi/|The magpi]] | ? |Le magasine consacré au RaspberryPi | ? | PDF, papier | Mensuel | Tout | ? | Mai 2012 | | magpi
13 Mot inconnu : RaspberryPi => | [[https://www.raspberrypi.org/magpi/|The magpi]] | ? |Le magasine consacré au RaspberryPi | ? | PDF, papier | Mensuel | Tout | ? | Mai 2012 | | raspberrypi

14 Mot inconnu : Diamond => | [[http://www.gnulinuxmag.com/|GNU/Linux Magazine]] | © | Papier + PDF + consultation en ligne | Mensuel | Éditions Diamond| Le magazine francophone de référence consacré à GNU/Linux.| Confirmé | non | Septembre 1998 | | diamond

15 Mot inconnu : Diamond => | [[http://www.linux-pratique.com/|Linux Pratique]] | © | Papier + PDF + consultation en ligne | Bimestriel | Éditions Diamond | Magazine avec des articles variés et de qualité, accompagné d'un CD de découverte. | Débutant intermédiaire | oui |-| | diamond

16 Mot inconnu : Diamond => | [[http://ed-diamond.com/rubrique.php?id_rubrique=6|Linux Essentiel]] | © | Papier + PDF + consultation en ligne | Bimestriel | Éditions Diamond | L'essentiel de Linux, parfait pour le débutant. | Débutant | non |-| | diamond

17 Mot inconnu : Identity => | [[http://www.linuxidentity.com|Linux Identity]]| © | Papier | Variable | Oxy Press LLC | Magazine présentant une ou plusieurs versions de Linux accompagné d'un dvd. | Débutant intermédiaire | oui | 2007 | | identity
17 Mot inconnu : Oxy => | [[http://www.linuxidentity.com|Linux Identity]]| © | Papier | Variable | Oxy Press LLC | Magazine présentant une ou plusieurs versions de Linux accompagné d'un dvd. | Débutant intermédiaire | oui | 2007 | | oxy
17 Mot inconnu : Press => | [[http://www.linuxidentity.com|Linux Identity]]| © | Papier | Variable | Oxy Press LLC | Magazine présentant une ou plusieurs versions de Linux accompagné d'un dvd. | Débutant intermédiaire | oui | 2007 | | press
17 Mot inconnu : LLC => | [[http://www.linuxidentity.com|Linux Identity]]| © | Papier | Variable | Oxy Press LLC | Magazine présentant une ou plusieurs versions de Linux accompagné d'un dvd. | Débutant intermédiaire | oui | 2007 | | llc
17 Mot inconnu : dvd => | [[http://www.linuxidentity.com|Linux Identity]]| © | Papier | Variable | Oxy Press LLC | Magazine présentant une ou plusieurs versions de Linux accompagné d'un dvd. | Débutant intermédiaire | oui | 2007 | | dvd

18 Mot inconnu : dppresse => | [[http://www.dppresse.com/|Linux Planète]] | © | Papier | Bimestriel | dppresse | Des articles consacrés à Linux, le magazine est accompagné d'un live-cd de découverte. | Débutant intermédiaire | oui |-| | dppresse

19 Mot inconnu : Diamond => | [[http://www.opensilicium.com/|Open Silicium]] | © | Papier + PDF + consultation en ligne | Trimestriel | Éditions Diamond | Magazine consacré au matériel Open Source. | Confirmé | non | Janvier 2010 | | diamond
