3 Mot inconnu : MAME => ====== Émulateur de bornes d'arcade : MAME ====== | mame

4 Mot inconnu : Mame => ​<note important>Mame n'est pas un émulateur conçu pour jouer, mais pour émuler fidèlement des bornes d'​arcade. Il résulte de cela que MAME demande souvent beaucoup de ressources, même pour des jeux très anciens, et que sa liste de compatibilité est très instable d'une version à l'​autre.</note> | mame
4 Mot inconnu : MAME => ​<note important>Mame n'est pas un émulateur conçu pour jouer, mais pour émuler fidèlement des bornes d'​arcade. Il résulte de cela que MAME demande souvent beaucoup de ressources, même pour des jeux très anciens, et que sa liste de compatibilité est très instable d'une version à l'​autre.</note> | mame

9 Mot inconnu : SDLMAME2 => Il est officiellement disponible pour les systèmes d'exploitation Windows et DOS, mais a été porté sur différents systèmes. Une version nommée SDLMAME2, utilisant la bibliothèque portable Simple DirectMedia Layer (SDL), est développée pour être compatible avec les systèmes de type UNIX et Mac OS X. | sdlmame2
9 Mot inconnu : DirectMedia => Il est officiellement disponible pour les systèmes d'exploitation Windows et DOS, mais a été porté sur différents systèmes. Une version nommée SDLMAME2, utilisant la bibliothèque portable Simple DirectMedia Layer (SDL), est développée pour être compatible avec les systèmes de type UNIX et Mac OS X. | directmedia
9 Mot inconnu : SDL => Il est officiellement disponible pour les systèmes d'exploitation Windows et DOS, mais a été porté sur différents systèmes. Une version nommée SDLMAME2, utilisant la bibliothèque portable Simple DirectMedia Layer (SDL), est développée pour être compatible avec les systèmes de type UNIX et Mac OS X. | sdl

11 Mot inconnu : MAME => Depuis le 27 mai 2015 MESS fait partie intégrante de MAME, ce qui inclut donc dans MAME l'émulation des ordinateurs et des consoles de jeu. | mame
11 Mot inconnu : MAME => Depuis le 27 mai 2015 MESS fait partie intégrante de MAME, ce qui inclut donc dans MAME l'émulation des ordinateurs et des consoles de jeu. | mame

32 Mot inconnu : MAME => Le mainteneur de ce dépôt propose aussi de manière expérimentale la toute dernière version de MAME : | mame

47 Mot inconnu : MAME => Pour utiliser MAME, vous devez avoir les bios des bornes d'arcade à émuler. Ces bios se placent dans le même dossier que les roms (fichiers jeux). Les bios et roms pour MAME sont des fichiers zip qu'il ne faut pas extraire, mais placer tel quel dans le dossier roms. | mame
47 Mot inconnu : MAME => Pour utiliser MAME, vous devez avoir les bios des bornes d'arcade à émuler. Ces bios se placent dans le même dossier que les roms (fichiers jeux). Les bios et roms pour MAME sont des fichiers zip qu'il ne faut pas extraire, mais placer tel quel dans le dossier roms. | mame
47 Accord de nombre erroné avec « le dossier » : « roms » devrait être au singulier. => Pour utiliser MAME, vous devez avoir les bios des bornes d'arcade à émuler. Ces bios se placent dans le même dossier que les roms (fichiers jeux). Les bios et roms pour MAME sont des fichiers zip qu'il ne faut pas extraire, mais placer tel quel dans le dossier roms. | roms => suggestions : ['rom']

49 Espace(s) surnuméraire(s) à supprimer. => Si vous utilisez une interface graphique, au premier lancement,  vous pourrez définir votre dossier roms, ou le définir par la suite. |    => suggestions : [' ']
49 Accord de nombre erroné avec « votre dossier » : « roms » devrait être au singulier. => Si vous utilisez une interface graphique, au premier lancement,  vous pourrez définir votre dossier roms, ou le définir par la suite. | roms => suggestions : ['rom']

55 Espace(s) surnuméraire(s) à supprimer. => ===== Émulation  consoles et ordinateurs ===== |    => suggestions : [' ']

63 Mot inconnu : APF => Exemple pour l'[[APF M-1000]] : | apf

66 Mot inconnu : A'Can => Exemple pour la Super A'Can : | a'can

71 Espace(s) en fin de ligne à supprimer. => <note important>La configuration en ligne de commande n'est recommandé que pour les petites configurations.  |   => suggestions : ['']

