
65 Espace(s) en fin de ligne à supprimer. [[34:35]] => ===== Contrôleur audio / Son =====  <|>  
115 Mot inconnu : Printer [[59:66]] =>   * serveur d'imprimante multifonctions (Multiple Fonction Printer) et de sauvegarde :  TP-Link, D-Link, Trendnet. <|> printer
115 Espace(s) surnuméraire(s) à supprimer. [[86:88]] =>   * serveur d'imprimante multifonctions (Multiple Fonction Printer) et de sauvegarde :  TP-Link, D-Link, Trendnet. <|>    => suggestions :  
115 Mot inconnu : TP-Link [[88:95]] =>   * serveur d'imprimante multifonctions (Multiple Fonction Printer) et de sauvegarde :  TP-Link, D-Link, Trendnet. <|> tp-link
115 Mot inconnu : D-Link [[97:103]] =>   * serveur d'imprimante multifonctions (Multiple Fonction Printer) et de sauvegarde :  TP-Link, D-Link, Trendnet. <|> d-link
115 Mot inconnu : Trendnet [[105:113]] =>   * serveur d'imprimante multifonctions (Multiple Fonction Printer) et de sauvegarde :  TP-Link, D-Link, Trendnet. <|> trendnet

126 Mot inconnu : PDA [[6:9]] => ===== PDA ===== <|> pda
202 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. [[4:6]] =>   * la manette wii peut aussi fonctionner sans sensabar mais aussi avec des bougie que vous placer a coté de votre télé afin de bien recevoir les onde. Pour que cela fonctionne elle doit rester environ vers 30 centimètre de distance. <|> la => suggestions : La
202 Mot inconnu : sensabar [[47:55]] =>   * la manette wii peut aussi fonctionner sans sensabar mais aussi avec des bougie que vous placer a coté de votre télé afin de bien recevoir les onde. Pour que cela fonctionne elle doit rester environ vers 30 centimètre de distance. <|> sensabar
202 Accord de nombre erroné : « bougie » devrait être au pluriel. [[76:82]] =>   * la manette wii peut aussi fonctionner sans sensabar mais aussi avec des bougie que vous placer a coté de votre télé afin de bien recevoir les onde. Pour que cela fonctionne elle doit rester environ vers 30 centimètre de distance. <|> bougie => suggestions : bougies
202 Accord de nombre erroné : « onde » devrait être au pluriel. [[146:150]] =>   * la manette wii peut aussi fonctionner sans sensabar mais aussi avec des bougie que vous placer a coté de votre télé afin de bien recevoir les onde. Pour que cela fonctionne elle doit rester environ vers 30 centimètre de distance. <|> onde => suggestions : ondes
227 Mot inconnu : LG [[4:6]] =>   * LG Keybo 2_CX9200 -- Comment transférer ses photos du téléphone cellulaire à l'ordinateur et enregistrez de nouvelles sonneries. <|> lg
227 Mot inconnu : Keybo [[7:12]] =>   * LG Keybo 2_CX9200 -- Comment transférer ses photos du téléphone cellulaire à l'ordinateur et enregistrez de nouvelles sonneries. <|> keybo
227 Mot inconnu : _CX9200 [[14:21]] =>   * LG Keybo 2_CX9200 -- Comment transférer ses photos du téléphone cellulaire à l'ordinateur et enregistrez de nouvelles sonneries. <|> _cx9200

248 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  

267 Mot inconnu : ctrl [[9:13]] => Utilisez ctrl+f pour faire une recherche sur la page ;D . <|> ctrl
267 Il manque un espace. [[54:55]] => Utilisez ctrl+f pour faire une recherche sur la page ;D . <|> d => suggestions :  D
