1 Mot inconnu : Medion => Modèle: Medion md96464 | medion
1 Mot inconnu : md96464 => Modèle: Medion md96464 | md96464

3 Mot inconnu : Chipset => Chipset audio: Intel 82801h (ICH8 Family) | chipset
3 Mot inconnu : ICH8 => Chipset audio: Intel 82801h (ICH8 Family) | ich8
3 Mot inconnu : Family => Chipset audio: Intel 82801h (ICH8 Family) | family

29 Mot inconnu : sudo => sudo cp pci/hda/snd-hda-intel.ko /lib/modules/`uname -r`/ubuntu/sound/alsa-driver/pci/hda/</code> | sudo
29 Mot inconnu : cp => sudo cp pci/hda/snd-hda-intel.ko /lib/modules/`uname -r`/ubuntu/sound/alsa-driver/pci/hda/</code> | cp
29 Mot inconnu : pci => sudo cp pci/hda/snd-hda-intel.ko /lib/modules/`uname -r`/ubuntu/sound/alsa-driver/pci/hda/</code> | pci
29 Mot inconnu : hda => sudo cp pci/hda/snd-hda-intel.ko /lib/modules/`uname -r`/ubuntu/sound/alsa-driver/pci/hda/</code> | hda
29 Mot inconnu : snd-hda-intel => sudo cp pci/hda/snd-hda-intel.ko /lib/modules/`uname -r`/ubuntu/sound/alsa-driver/pci/hda/</code> | snd-hda-intel
29 Il manque un espace. => sudo cp pci/hda/snd-hda-intel.ko /lib/modules/`uname -r`/ubuntu/sound/alsa-driver/pci/hda/</code> | ko => suggestions : [' ko']
29 Mot inconnu : uname => sudo cp pci/hda/snd-hda-intel.ko /lib/modules/`uname -r`/ubuntu/sound/alsa-driver/pci/hda/</code> | uname
29 Il manque un espace à côté du tiret. => sudo cp pci/hda/snd-hda-intel.ko /lib/modules/`uname -r`/ubuntu/sound/alsa-driver/pci/hda/</code> |  - => suggestions : [' – ', ' — ']
29 Mot inconnu : sound => sudo cp pci/hda/snd-hda-intel.ko /lib/modules/`uname -r`/ubuntu/sound/alsa-driver/pci/hda/</code> | sound
29 Mot inconnu : alsa-driver => sudo cp pci/hda/snd-hda-intel.ko /lib/modules/`uname -r`/ubuntu/sound/alsa-driver/pci/hda/</code> | alsa-driver
29 Mot inconnu : pci => sudo cp pci/hda/snd-hda-intel.ko /lib/modules/`uname -r`/ubuntu/sound/alsa-driver/pci/hda/</code> | pci
29 Mot inconnu : hda => sudo cp pci/hda/snd-hda-intel.ko /lib/modules/`uname -r`/ubuntu/sound/alsa-driver/pci/hda/</code> | hda

32 Mot inconnu : Editez => Editez le fichier **modprob.d** | editez
32 Mot inconnu : modprob => Editez le fichier **modprob.d** | modprob
48 Mot inconnu : Edition => Dans le contrôleur de volume: Edition > Préférences: | edition

50 Dialogues et énumérations : il faut tiret cadratin [1] ou demi-cadratin [2] suivi d’un espace insécable. => -Cocher toutes les pistes à afficher. | - => suggestions : ['—\xa0', '–\xa0']

52 Dialogues et énumérations : il faut tiret cadratin [1] ou demi-cadratin [2] suivi d’un espace insécable. => -Monter tous les volumes (de moitié) sans exception du contrôleur de volume. (Attention au volume des micros) | - => suggestions : ['—\xa0', '–\xa0']
