
4 Mot inconnu : nuagique [[18:26]] => ======Le stockage nuagique avec MEGA====== <|> nuagique
4 Mot inconnu : MEGA [[32:36]] => ======Le stockage nuagique avec MEGA====== <|> mega
8 Espace(s) en fin de ligne à supprimer. [[29:30]] =>   * 50 Go de base en illimité  <|>  
9 Une de ces ponctuations est superflue. [[106:109]] =>   * Des bonus limités dans le temps en Go si on installe le client Ubuntu, le client mobile, le parrainage, ... <|> , . => suggestions : ,.
9 Typographie : points de suspension. Utilisez le caractère dédié. [[108:111]] =>   * Des bonus limités dans le temps en Go si on installe le client Ubuntu, le client mobile, le parrainage, ... <|> ... => suggestions : …
11 Accord erroné : “données” et “chiffrés” ne sont pas accordés. Mettez au féminin pluriel. [[21:29]] =>   * Les données sont chiffrés avec une clef AES <|> chiffrés => suggestions : chiffrées
11 Mot inconnu : AES [[44:47]] =>   * Les données sont chiffrés avec une clef AES <|> aes

15 Mot inconnu : Mega [[35:39]] => Il y a plusieurs moyens d'utiliser Mega avec Ubuntu : <|> mega

22 Mot inconnu : depot [[41:46]] => ==== Installation du client Linux via un depot ==== <|> depot

23 Mot inconnu : MEGA [[20:24]] => Ajoutez le dépôt de MEGA au gestionnaire de paquets apt via la commande suivante : <|> mega

29 Mot inconnu : MEGA [[32:36]] => Il ne reste plus qu'à installer MEGA par un classique <|> mega
