
5 Mot inconnu : Menulibre [[7:16]] => ====== Menulibre (éditeur de menu) ====== <|> menulibre

26 Guillemets typographiques ouvrants. [[59:60]] => Pour lancer l'application, dans le tableau de bord, saisir "Éditeur de menu". \\ <|> " => suggestions : ['«\xa0', '“']
26 Guillemets typographiques fermants. [[75:76]] => Pour lancer l'application, dans le tableau de bord, saisir "Éditeur de menu". \\ <|> " => suggestions : ['\xa0»', '”']

27 Guillemets typographiques ouvrants. [[42:43]] => L'application se trouve dans la catégorie "accessoires". <|> " => suggestions : ['«\xa0', '“']
27 Accord de nombre erroné avec « la catégorie » : « accessoires » devrait être au singulier. [[43:54]] => L'application se trouve dans la catégorie "accessoires". <|> accessoires => suggestions : ['accessoire']
27 Guillemets typographiques fermants. [[54:55]] => L'application se trouve dans la catégorie "accessoires". <|> " => suggestions : ['\xa0»', '”']

49 Guillemets typographiques ouvrants. [[29:30]] => Un exemple avec une entrée //"imprimantes"// du menu contextuel du lanceur des "paramètres système" : <|> " => suggestions : ['«\xa0', '“']
49 Guillemets typographiques fermants. [[41:42]] => Un exemple avec une entrée //"imprimantes"// du menu contextuel du lanceur des "paramètres système" : <|> " => suggestions : ['\xa0»', '”']
49 Guillemets typographiques ouvrants. [[79:80]] => Un exemple avec une entrée //"imprimantes"// du menu contextuel du lanceur des "paramètres système" : <|> " => suggestions : ['«\xa0', '“']
49 Guillemets typographiques fermants. [[98:99]] => Un exemple avec une entrée //"imprimantes"// du menu contextuel du lanceur des "paramètres système" : <|> " => suggestions : ['\xa0»', '”']

64 Espace(s) en fin de ligne à supprimer. [[18:19]] => //Contributeurs://  <|>   => suggestions : ['']
