
5 Mot inconnu : FIXME => FIXME Page en cours de rédaction <|> fixme

16 Accord erroné : “stratégies” et “suivie” ne sont pas accordés. Mettez au pluriel. => Les stratégies de résolution sont structurées des plus générales aux plus particulières, en terminant par des renvois aux pages traitant en détail les sujets. Les stratégies de résolution doivent être suivie dans l'ordre indiqué pour aboutir. <|> suivie => suggestions : ['suivies']

29 Mot inconnu : ubuntu-desktop => Remplacez **[x|l|k]ubuntu-desktop** par :  <|> ubuntu-desktop
30 Mot inconnu : ubuntu-desktop =>   * **ubuntu-desktop** si vous êtes sous Ubuntu avec Unity <|> ubuntu-desktop
30 Mot inconnu : Unity =>   * **ubuntu-desktop** si vous êtes sous Ubuntu avec Unity <|> unity
31 Mot inconnu : kubuntu-desktop =>   * **kubuntu-desktop** si vous êtes sous Kubuntu avec KDE <|> kubuntu-desktop
31 Mot inconnu : KDE =>   * **kubuntu-desktop** si vous êtes sous Kubuntu avec KDE <|> kde
32 Mot inconnu : xubuntu-desktop =>   * **xubuntu-desktop** si vous êtes sous Xubuntu avec Xfce <|> xubuntu-desktop
32 Mot inconnu : Xubuntu =>   * **xubuntu-desktop** si vous êtes sous Xubuntu avec Xfce <|> xubuntu
32 Mot inconnu : Xfce =>   * **xubuntu-desktop** si vous êtes sous Xubuntu avec Xfce <|> xfce
33 Mot inconnu : lubuntu-desktop =>   * **lubuntu-desktop** si vous êtes sous Lubuntu avec Lfce <|> lubuntu-desktop
33 Mot inconnu : Lfce =>   * **lubuntu-desktop** si vous êtes sous Lubuntu avec Lfce <|> lfce
34 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. =>   * **mythbuntu-desktop**, **ubuntustudio-desktop**, etc. si vous utilisez une variante particulière d'Ubuntu <|> mythbuntu-desktop => suggestions : ['Mythbuntu-desktop']
34 Mot inconnu : mythbuntu-desktop =>   * **mythbuntu-desktop**, **ubuntustudio-desktop**, etc. si vous utilisez une variante particulière d'Ubuntu <|> mythbuntu-desktop
34 Mot inconnu : ubuntustudio-desktop =>   * **mythbuntu-desktop**, **ubuntustudio-desktop**, etc. si vous utilisez une variante particulière d'Ubuntu <|> ubuntustudio-desktop
49 Mot inconnu : synaptic => Installez le gestionnaire de paquets **[[apt>synaptic]]** : <|> synaptic

54 Mot inconnu : Unity => Sous Ubuntu avec Unity : <|> unity

61 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => Les problèmes d'affichages sont les plus pénibles car ce sont ceux qui peuvent rendre votre système simplement inutilisable si vous n'êtes pas familier de la ligne de commande. Ils touchent par exemple le gestionnaire de fenêtres, l'environnement de bureau, l'accélération graphique, etc. <|>  car => suggestions : [', car']

65 Mot inconnu : usb => Les problèmes de périphériques concernent tous les appareils connectés à votre ordinateur (disques durs externes, clés usb, imprimantes, écrans supplémentaires etc.). <|> usb
65 Avant « etc. », il faut mettre une virgule. => Les problèmes de périphériques concernent tous les appareils connectés à votre ordinateur (disques durs externes, clés usb, imprimantes, écrans supplémentaires etc.). <|>  etc. => suggestions : [', etc.']
