
5 Mot inconnu : Mimms => ====== Mimms ======= | mimms

7 Mot inconnu : Mimms => **Mimms** est un logiciel qui permet de télécharger les vidéos diffusées via le protocole mms. | mimms
7 Mot inconnu : mms => **Mimms** est un logiciel qui permet de télécharger les vidéos diffusées via le protocole mms. | mms

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

21 Guillemets typographiques ouvrants. => Il suffit de lancer le logiciel via le [[terminal]] en tapant la commande ci-dessous (remplacer "AdresseDeLaVideo" par l'adresse au format MMS ): | " => suggestions : ['«\xa0', '“']
21 Mot inconnu : AdresseDeLaVideo => Il suffit de lancer le logiciel via le [[terminal]] en tapant la commande ci-dessous (remplacer "AdresseDeLaVideo" par l'adresse au format MMS ): | adressedelavideo
21 Guillemets typographiques fermants. => Il suffit de lancer le logiciel via le [[terminal]] en tapant la commande ci-dessous (remplacer "AdresseDeLaVideo" par l'adresse au format MMS ): | " => suggestions : ['\xa0»', '”']
21 Mot inconnu : MMS => Il suffit de lancer le logiciel via le [[terminal]] en tapant la commande ci-dessous (remplacer "AdresseDeLaVideo" par l'adresse au format MMS ): | mms
21 Pas d’espace avant ce signe. => Il suffit de lancer le logiciel via le [[terminal]] en tapant la commande ci-dessous (remplacer "AdresseDeLaVideo" par l'adresse au format MMS ): |  ) => suggestions : [')']

26 Mot inconnu : mms => <note tip>Pour récupérer le lien de la vidéo commençant par mms:/ /, il suffit d'enregistrer la page sur l'ordinateur, l'ouvrir avec un éditeur de texte comme gedit et rechercher mms </note> | mms
26 Mot inconnu : gedit => <note tip>Pour récupérer le lien de la vidéo commençant par mms:/ /, il suffit d'enregistrer la page sur l'ordinateur, l'ouvrir avec un éditeur de texte comme gedit et rechercher mms </note> | gedit
26 Mot inconnu : mms => <note tip>Pour récupérer le lien de la vidéo commençant par mms:/ /, il suffit d'enregistrer la page sur l'ordinateur, l'ouvrir avec un éditeur de texte comme gedit et rechercher mms </note> | mms
34 Mot inconnu : ORioN-Project => //Contributeurs principaux : ORioN-Project// | orion-project
