
5 Mot inconnu : MiniCopier => ====== MiniCopier ====== | minicopier

8 Mot inconnu : MiniCopier => **MiniCopier** est un [[gestionnaire_de_copie|gestionnaire avancé de copie de fichiers]]. Il reprend une bonne partie des fonctionnalités du logiciel SuperCopier (windows-only). | minicopier
8 Mot inconnu : gestionnaire_de_copie => **MiniCopier** est un [[gestionnaire_de_copie|gestionnaire avancé de copie de fichiers]]. Il reprend une bonne partie des fonctionnalités du logiciel SuperCopier (windows-only). | gestionnaire_de_copie
8 Mot inconnu : SuperCopier => **MiniCopier** est un [[gestionnaire_de_copie|gestionnaire avancé de copie de fichiers]]. Il reprend une bonne partie des fonctionnalités du logiciel SuperCopier (windows-only). | supercopier
8 Mot inconnu : windows-only => **MiniCopier** est un [[gestionnaire_de_copie|gestionnaire avancé de copie de fichiers]]. Il reprend une bonne partie des fonctionnalités du logiciel SuperCopier (windows-only). | windows-only

13 Mot inconnu : KDE => Il est pleinement fonctionnel sous Gnome, KDE, XFCE. | kde
13 Mot inconnu : XFCE => Il est pleinement fonctionnel sous Gnome, KDE, XFCE. | xfce

20 Espace(s) surnuméraire(s) à supprimer. => Une version récente de Java doit être installée.  Au choix : |    => suggestions : [' ']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * OpenJDK |    => suggestions : ['']
23 Mot inconnu : OpenJDK =>   * OpenJDK | openjdk

29 Guillemets typographiques ouvrants. => ==== Utilisation 'sans installation' ==== | ' => suggestions : ['“', '‘', '‹']
29 Guillemets typographiques fermants. => ==== Utilisation 'sans installation' ==== | ' => suggestions : ['”', '’', '›']

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - [[http://www.adriancourreges.com/projects/minicopier/|Téléchargez l'archive de MiniCopier]] |    => suggestions : ['']
30 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - [[http://www.adriancourreges.com/projects/minicopier/|Téléchargez l'archive de MiniCopier]] |  -  => suggestions : [' – ', ' — ', ' − ']
30 Mot inconnu : MiniCopier =>   - [[http://www.adriancourreges.com/projects/minicopier/|Téléchargez l'archive de MiniCopier]] | minicopier

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Décompressez-la dans le répertoire de votre choix |    => suggestions : ['']
31 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Décompressez-la dans le répertoire de votre choix |  -  => suggestions : [' – ', ' — ', ' − ']

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Aller dans le dossier décompressez |    => suggestions : ['']
32 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Aller dans le dossier décompressez |  -  => suggestions : [' – ', ' — ', ' − ']
32 Conjugaison erronée. Accord avec “Aller”. Le verbe devrait être à la 3ᵉ personne du singulier. =>   - Aller dans le dossier décompressez | décompressez => suggestions : ['décompresse']

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Lancez MiniCopier  avec la commande : |    => suggestions : ['']
33 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Lancez MiniCopier  avec la commande : |  -  => suggestions : [' – ', ' — ', ' − ']
33 Mot inconnu : MiniCopier =>   - Lancez MiniCopier  avec la commande : | minicopier
33 Espace(s) surnuméraire(s) à supprimer. =>   - Lancez MiniCopier  avec la commande : |    => suggestions : [' ']

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ./MiniCopier.sh |    => suggestions : ['']
35 Mot inconnu : MiniCopier =>   ./MiniCopier.sh | minicopier
35 Mot inconnu : sh =>   ./MiniCopier.sh | sh

38 S’il s’agit d’un seul mot, il manque un trait d’union. => ==== Installation semi automatique ==== | semi automatique => suggestions : ['semi-automatique']

39 Mot inconnu : MiniCopier => 1. [[http://www.adriancourreges.com/projects/minicopier/|Téléchargez l'archive de MiniCopier]] dans le dossier ~/Téléchargements | minicopier

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd /opt |    => suggestions : ['']

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo 7z x -y $HOME/Téléchargements/MiniCopier*.tar |    => suggestions : ['']
45 Mot inconnu : sudo =>   sudo 7z x -y $HOME/Téléchargements/MiniCopier*.tar | sudo
45 Il manque un espace à côté du tiret. =>   sudo 7z x -y $HOME/Téléchargements/MiniCopier*.tar |  - => suggestions : [' – ', ' — ']
45 Mot inconnu : tar =>   sudo 7z x -y $HOME/Téléchargements/MiniCopier*.tar | tar

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo chown $USER:$GROUPS -R /opt/MiniCopier* |    => suggestions : ['']
47 Mot inconnu : sudo =>   sudo chown $USER:$GROUPS -R /opt/MiniCopier* | sudo
47 Mot inconnu : chown =>   sudo chown $USER:$GROUPS -R /opt/MiniCopier* | chown
47 Mot inconnu : GROUPS =>   sudo chown $USER:$GROUPS -R /opt/MiniCopier* | groups
47 Il manque un espace à côté du tiret. =>   sudo chown $USER:$GROUPS -R /opt/MiniCopier* |  - => suggestions : [' – ', ' — ']

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   	 |    => suggestions : ['']
48 Incohérence : espace et tabulation. =>   	 |  	 => suggestions : [' ', '\t']

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd MiniCopier* |    => suggestions : ['']
49 Mot inconnu : MiniCopier =>   cd MiniCopier* | minicopier

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo chmod +x MiniCopier.sh |    => suggestions : ['']
50 Mot inconnu : sudo =>   sudo chmod +x MiniCopier.sh | sudo
50 Mot inconnu : chmod =>   sudo chmod +x MiniCopier.sh | chmod
50 Mot inconnu : MiniCopier =>   sudo chmod +x MiniCopier.sh | minicopier
50 Mot inconnu : sh =>   sudo chmod +x MiniCopier.sh | sh

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   	 |    => suggestions : ['']
51 Incohérence : espace et tabulation. =>   	 |  	 => suggestions : [' ', '\t']

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cat > /tmp/MiniCopier << EOF |    => suggestions : ['']
52 Mot inconnu : cat =>   cat > /tmp/MiniCopier << EOF | cat
52 Mot inconnu : EOF =>   cat > /tmp/MiniCopier << EOF | eof

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   curdir=\$PWD |    => suggestions : ['']
53 Mot inconnu : curdir =>   curdir=\$PWD | curdir
53 Mot inconnu : PWD =>   curdir=\$PWD | pwd

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd $PWD |    => suggestions : ['']
54 Mot inconnu : PWD =>   cd $PWD | pwd

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ./MiniCopier.sh |    => suggestions : ['']
55 Mot inconnu : MiniCopier =>   ./MiniCopier.sh | minicopier
55 Mot inconnu : sh =>   ./MiniCopier.sh | sh

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd \$curdir |    => suggestions : ['']
56 Mot inconnu : curdir =>   cd \$curdir | curdir

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   EOF |    => suggestions : ['']
57 Mot inconnu : EOF =>   EOF | eof

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

59 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   chmod +x /tmp/MiniCopier |    => suggestions : ['']
