
5 Mot inconnu : MkvToolnix-Gui [[7:21]] => ====== MkvToolnix-Gui  ====== <|> mkvtoolnix-gui
5 Espace(s) surnuméraire(s) à supprimer. [[21:23]] => ====== MkvToolnix-Gui  ====== <|>    => suggestions : [' ']

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

20 Mot inconnu : avi [[41:44]] => Supposons que nous ayons un fichier film.avi, avec une piste vidéo en DivX5 et une piste audio française en MP3. <|> avi
20 Mot inconnu : DivX5 [[70:75]] => Supposons que nous ayons un fichier film.avi, avec une piste vidéo en DivX5 et une piste audio française en MP3. <|> divx5

21 Mot inconnu : Ogg-Vorbis [[73:83]] => Nous avons, dans un fichier séparé, une deuxième piste audio anglaise en Ogg-Vorbis (film_audio2.ogg), ainsi qu'un fichier srt de sous-titres français (film_stfr.srt). <|> ogg-vorbis
21 Mot inconnu : film_audio2 [[85:96]] => Nous avons, dans un fichier séparé, une deuxième piste audio anglaise en Ogg-Vorbis (film_audio2.ogg), ainsi qu'un fichier srt de sous-titres français (film_stfr.srt). <|> film_audio2
21 Mot inconnu : srt [[123:126]] => Nous avons, dans un fichier séparé, une deuxième piste audio anglaise en Ogg-Vorbis (film_audio2.ogg), ainsi qu'un fichier srt de sous-titres français (film_stfr.srt). <|> srt
21 Mot inconnu : film_stfr [[152:161]] => Nous avons, dans un fichier séparé, une deuxième piste audio anglaise en Ogg-Vorbis (film_audio2.ogg), ainsi qu'un fichier srt de sous-titres français (film_stfr.srt). <|> film_stfr
21 Mot inconnu : srt [[162:165]] => Nous avons, dans un fichier séparé, une deuxième piste audio anglaise en Ogg-Vorbis (film_audio2.ogg), ainsi qu'un fichier srt de sous-titres français (film_stfr.srt). <|> srt

22 Mot inconnu : mkvmerge [[46:54]] => Nous allons utiliser l'interface graphique de mkvmerge, **mmg**, pour créer notre fichier mkv. <|> mkvmerge
22 Mot inconnu : mmg [[58:61]] => Nous allons utiliser l'interface graphique de mkvmerge, **mmg**, pour créer notre fichier mkv. <|> mmg
22 Mot inconnu : mkv [[90:93]] => Nous allons utiliser l'interface graphique de mkvmerge, **mmg**, pour créer notre fichier mkv. <|> mkv
