
4 Mot inconnu : ZTE => ====== Modem ZTE ZXDSL 852 ====== | zte
4 Mot inconnu : ZXDSL => ====== Modem ZTE ZXDSL 852 ====== | zxdsl

6 Mot inconnu : NetworkManager => <note warning>Ne pas utiliser NetworkManager pour configurer votre connexion !</note> | networkmanager

15 Mot inconnu : ZTE => Pour le modem USB ZTE ZXDSL 852. | zte
15 Mot inconnu : ZXDSL => Pour le modem USB ZTE ZXDSL 852. | zxdsl

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  la commande suivante :  |   => suggestions : ['']
18 Espace(s) en fin de ligne à supprimer. =>  la commande suivante :  |   => suggestions : ['']

29 Mot inconnu : ZTE => Le modem **ZTE ZXDSL** 852 est actuellement utilisé par Wanadoo/Orange et Algérie Telecom. Il s'agit d'un modem utilisant un chipset Conexant AccessRunner. Ce chipset possède déjà un pilote inclus dans le noyau, mais celui-ci ne reconnait pas le vendor_id et device_id de ce périphérique (**0572:cb07**). Nous allons donc télécharger les sources, les modifier et les recompiler. | zte
29 Mot inconnu : ZXDSL => Le modem **ZTE ZXDSL** 852 est actuellement utilisé par Wanadoo/Orange et Algérie Telecom. Il s'agit d'un modem utilisant un chipset Conexant AccessRunner. Ce chipset possède déjà un pilote inclus dans le noyau, mais celui-ci ne reconnait pas le vendor_id et device_id de ce périphérique (**0572:cb07**). Nous allons donc télécharger les sources, les modifier et les recompiler. | zxdsl
29 Mot inconnu : Wanadoo => Le modem **ZTE ZXDSL** 852 est actuellement utilisé par Wanadoo/Orange et Algérie Telecom. Il s'agit d'un modem utilisant un chipset Conexant AccessRunner. Ce chipset possède déjà un pilote inclus dans le noyau, mais celui-ci ne reconnait pas le vendor_id et device_id de ce périphérique (**0572:cb07**). Nous allons donc télécharger les sources, les modifier et les recompiler. | wanadoo
29 Mot inconnu : Telecom => Le modem **ZTE ZXDSL** 852 est actuellement utilisé par Wanadoo/Orange et Algérie Telecom. Il s'agit d'un modem utilisant un chipset Conexant AccessRunner. Ce chipset possède déjà un pilote inclus dans le noyau, mais celui-ci ne reconnait pas le vendor_id et device_id de ce périphérique (**0572:cb07**). Nous allons donc télécharger les sources, les modifier et les recompiler. | telecom
