
4 Mot inconnu : Moneydance => ====== Moneydance ====== | moneydance

5 Mot inconnu : Moneydance => **Moneydance** est destiné aussi bien aux particuliers qu'aux associations qui souhaitent gérer leurs comptes sur un ordinateur avec un logiciel puissant mais simple. | moneydance

7 Espace(s) en fin de ligne à supprimer. => Il tourne sous Linux, Mac et Windows… et il est totalement francisé.  |   => suggestions : ['']

9 Mot inconnu : Moneydance => <note important>Moneydance est un logiciel **propriétaire et payant**. Vous pouvez néanmoins le tester (limité à 100 transactions).</note> | moneydance

14 Mot inconnu : Moneydance => **Moneydance** est capable de gérer la totalité des besoins des particuliers: | moneydance

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * chéquiers, |    => suggestions : ['']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * cartes, |    => suggestions : ['']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * épargne, |    => suggestions : ['']

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * valeurs mobilières, |    => suggestions : ['']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * crédits, |    => suggestions : ['']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * récupération des extraits de comptes sur l'Internet |    => suggestions : ['']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ... |    => suggestions : ['']
21 Typographie : points de suspension. Utilisez le caractère dédié. =>   * ... | ... => suggestions : ['…']

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://moneydance.com/|Site officiel]] |    => suggestions : ['']
