1 Mot inconnu : Motorola [[7:15]] => ====== Motorola Xoom ====== <|> motorola
1 Mot inconnu : Xoom [[16:20]] => ====== Motorola Xoom ====== <|> xoom

3 Mot inconnu : Honeycomb [[11:20]] => ===== Sous Honeycomb la fonction de Mass Storage est remplacée par le protocole MTP ===== <|> honeycomb
3 Mot inconnu : Mass [[36:40]] => ===== Sous Honeycomb la fonction de Mass Storage est remplacée par le protocole MTP ===== <|> mass
3 Mot inconnu : Storage [[41:48]] => ===== Sous Honeycomb la fonction de Mass Storage est remplacée par le protocole MTP ===== <|> storage
3 Mot inconnu : MTP [[80:83]] => ===== Sous Honeycomb la fonction de Mass Storage est remplacée par le protocole MTP ===== <|> mtp
4 Mot inconnu : Transfer [[15:23]] => //**[[wp>Media Transfer Protocol]]**// (**MTP**) est un protocole de transfert de fichiers destiné au monde du multimédia. Créé récemment (depuis 2004 environ), il s'agit d'un ensemble d'ajouts au //[[wp>Picture Transfer Protocol]]// déjà existant utilisé par les appareils photos numériques. Les ajouts apportés à ce protocole permettent de gérer les spécificités des divers appareils multimédia : baladeurs, appareils de photographie numérique, caméras vidéo, téléphones portables, etc. Il est de plus en plus utilisé par les périphériques mobiles. <|> transfer
4 Mot inconnu : Protocol [[24:32]] => //**[[wp>Media Transfer Protocol]]**// (**MTP**) est un protocole de transfert de fichiers destiné au monde du multimédia. Créé récemment (depuis 2004 environ), il s'agit d'un ensemble d'ajouts au //[[wp>Picture Transfer Protocol]]// déjà existant utilisé par les appareils photos numériques. Les ajouts apportés à ce protocole permettent de gérer les spécificités des divers appareils multimédia : baladeurs, appareils de photographie numérique, caméras vidéo, téléphones portables, etc. Il est de plus en plus utilisé par les périphériques mobiles. <|> protocol
4 Mot inconnu : MTP [[42:45]] => //**[[wp>Media Transfer Protocol]]**// (**MTP**) est un protocole de transfert de fichiers destiné au monde du multimédia. Créé récemment (depuis 2004 environ), il s'agit d'un ensemble d'ajouts au //[[wp>Picture Transfer Protocol]]// déjà existant utilisé par les appareils photos numériques. Les ajouts apportés à ce protocole permettent de gérer les spécificités des divers appareils multimédia : baladeurs, appareils de photographie numérique, caméras vidéo, téléphones portables, etc. Il est de plus en plus utilisé par les périphériques mobiles. <|> mtp
4 Mot inconnu : Picture [[204:211]] => //**[[wp>Media Transfer Protocol]]**// (**MTP**) est un protocole de transfert de fichiers destiné au monde du multimédia. Créé récemment (depuis 2004 environ), il s'agit d'un ensemble d'ajouts au //[[wp>Picture Transfer Protocol]]// déjà existant utilisé par les appareils photos numériques. Les ajouts apportés à ce protocole permettent de gérer les spécificités des divers appareils multimédia : baladeurs, appareils de photographie numérique, caméras vidéo, téléphones portables, etc. Il est de plus en plus utilisé par les périphériques mobiles. <|> picture
4 Mot inconnu : Transfer [[212:220]] => //**[[wp>Media Transfer Protocol]]**// (**MTP**) est un protocole de transfert de fichiers destiné au monde du multimédia. Créé récemment (depuis 2004 environ), il s'agit d'un ensemble d'ajouts au //[[wp>Picture Transfer Protocol]]// déjà existant utilisé par les appareils photos numériques. Les ajouts apportés à ce protocole permettent de gérer les spécificités des divers appareils multimédia : baladeurs, appareils de photographie numérique, caméras vidéo, téléphones portables, etc. Il est de plus en plus utilisé par les périphériques mobiles. <|> transfer
4 Mot inconnu : Protocol [[221:229]] => //**[[wp>Media Transfer Protocol]]**// (**MTP**) est un protocole de transfert de fichiers destiné au monde du multimédia. Créé récemment (depuis 2004 environ), il s'agit d'un ensemble d'ajouts au //[[wp>Picture Transfer Protocol]]// déjà existant utilisé par les appareils photos numériques. Les ajouts apportés à ce protocole permettent de gérer les spécificités des divers appareils multimédia : baladeurs, appareils de photographie numérique, caméras vidéo, téléphones portables, etc. Il est de plus en plus utilisé par les périphériques mobiles. <|> protocol

8 Espace(s) en fin de ligne à supprimer. [[42:44]] => ===== Installation sous Ubuntu 11.10 =====   <|>    => suggestions : ['']
11 Guillemets typographiques ouvrants. [[23:24]] =>   * Lancer la commande "sudo apt-get install mtpfs" sous Ubuntu <|> " => suggestions : ['«\xa0', '“']
11 Mot inconnu : sudo [[24:28]] =>   * Lancer la commande "sudo apt-get install mtpfs" sous Ubuntu <|> sudo
11 Mot inconnu : apt-get [[29:36]] =>   * Lancer la commande "sudo apt-get install mtpfs" sous Ubuntu <|> apt-get
11 Mot inconnu : install [[37:44]] =>   * Lancer la commande "sudo apt-get install mtpfs" sous Ubuntu <|> install
11 Mot inconnu : mtpfs [[45:50]] =>   * Lancer la commande "sudo apt-get install mtpfs" sous Ubuntu <|> mtpfs
11 Guillemets typographiques fermants. [[50:51]] =>   * Lancer la commande "sudo apt-get install mtpfs" sous Ubuntu <|> " => suggestions : ['\xa0»', '”']
13 Mot inconnu : nautilus [[56:64]] =>   * Connecter la tablette qui devrait être reconnue par nautilus sous le nom de code "MZ604" <|> nautilus
13 Guillemets typographiques ouvrants. [[85:86]] =>   * Connecter la tablette qui devrait être reconnue par nautilus sous le nom de code "MZ604" <|> " => suggestions : ['«\xa0', '“']
13 Mot inconnu : MZ604 [[86:91]] =>   * Connecter la tablette qui devrait être reconnue par nautilus sous le nom de code "MZ604" <|> mz604
13 Guillemets typographiques fermants. [[91:92]] =>   * Connecter la tablette qui devrait être reconnue par nautilus sous le nom de code "MZ604" <|> " => suggestions : ['\xa0»', '”']
