
4 Mot inconnu : MP3SPLT => ======MP3SPLT ===== | mp3splt

5 Mot inconnu : MP3SPLT => MP3SPLT est un utilitaire qui permet de découper (split/crop) les fichier MP3 et OGG en sélectionnant un temps de début et de fin, sans perte (lossless) car il ne décompresse pas le fichier pour le recompresser. Cette opération peut être effectuée manuellement, grâce aux infos CDDB ou à l'aide d'un fichier CUE. | mp3splt
5 Mot inconnu : split => MP3SPLT est un utilitaire qui permet de découper (split/crop) les fichier MP3 et OGG en sélectionnant un temps de début et de fin, sans perte (lossless) car il ne décompresse pas le fichier pour le recompresser. Cette opération peut être effectuée manuellement, grâce aux infos CDDB ou à l'aide d'un fichier CUE. | split
5 Mot inconnu : crop => MP3SPLT est un utilitaire qui permet de découper (split/crop) les fichier MP3 et OGG en sélectionnant un temps de début et de fin, sans perte (lossless) car il ne décompresse pas le fichier pour le recompresser. Cette opération peut être effectuée manuellement, grâce aux infos CDDB ou à l'aide d'un fichier CUE. | crop
5 Mot inconnu : lossless => MP3SPLT est un utilitaire qui permet de découper (split/crop) les fichier MP3 et OGG en sélectionnant un temps de début et de fin, sans perte (lossless) car il ne décompresse pas le fichier pour le recompresser. Cette opération peut être effectuée manuellement, grâce aux infos CDDB ou à l'aide d'un fichier CUE. | lossless
5 Mot inconnu : CDDB => MP3SPLT est un utilitaire qui permet de découper (split/crop) les fichier MP3 et OGG en sélectionnant un temps de début et de fin, sans perte (lossless) car il ne décompresse pas le fichier pour le recompresser. Cette opération peut être effectuée manuellement, grâce aux infos CDDB ou à l'aide d'un fichier CUE. | cddb
5 Mot inconnu : CUE => MP3SPLT est un utilitaire qui permet de découper (split/crop) les fichier MP3 et OGG en sélectionnant un temps de début et de fin, sans perte (lossless) car il ne décompresse pas le fichier pour le recompresser. Cette opération peut être effectuée manuellement, grâce aux infos CDDB ou à l'aide d'un fichier CUE. | cue

6 Accord de nombre erroné : « tag » devrait être au pluriel. => Il prend en charge le découpage automatique au silence ainsi que les tag ID3v1 & ID3v2 | tag => suggestions : ['tags']
6 Mot inconnu : ID3v1 => Il prend en charge le découpage automatique au silence ainsi que les tag ID3v1 & ID3v2 | id3v1
6 Mot inconnu : ID3v2 => Il prend en charge le découpage automatique au silence ainsi que les tag ID3v1 & ID3v2 | id3v2

13 Accord de genre erroné : « man » est masculin. => <note>Bien d'autres façons de l'utiliser ne sont pas documentés ici, veuillez vous référer à la man page</note> | la => suggestions : ['le']

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']
