
5 Mot inconnu : MPD => ====== MPD, Music Player Daemon ====== | mpd
5 Mot inconnu : Music => ====== MPD, Music Player Daemon ====== | music
5 Mot inconnu : Player => ====== MPD, Music Player Daemon ====== | player
5 Mot inconnu : Daemon => ====== MPD, Music Player Daemon ====== | daemon

15 Mot inconnu : mpd => Si vous souhaitez que votre serveur mpd ne soit pas limité a la machine hôte, commentez la ligne  | mpd
15 Espace(s) en fin de ligne à supprimer. => Si vous souhaitez que votre serveur mpd ne soit pas limité a la machine hôte, commentez la ligne  |   => suggestions : ['']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   bind_to_address                 "localhost" |    => suggestions : ['']
17 Mot inconnu : bind_to_address =>   bind_to_address                 "localhost" | bind_to_address
17 Espace(s) surnuméraire(s) à supprimer. =>   bind_to_address                 "localhost" |                   => suggestions : [' ']
17 Guillemets typographiques ouvrants. =>   bind_to_address                 "localhost" | " => suggestions : ['«\xa0', '“']
17 Mot inconnu : localhost =>   bind_to_address                 "localhost" | localhost
17 Guillemets typographiques fermants. =>   bind_to_address                 "localhost" | " => suggestions : ['\xa0»', '”']

19 Mot inconnu : mpd => Pour contrôler le volume de mpd indépendamment des autres applications utilisant le son, dé-commentez la ligne : | mpd

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   mixer_type			"software" |    => suggestions : ['']
21 Mot inconnu : mixer_type =>   mixer_type			"software" | mixer_type
21 Guillemets typographiques ouvrants. =>   mixer_type			"software" | " => suggestions : ['«\xa0', '“']
21 Guillemets typographiques fermants. =>   mixer_type			"software" | " => suggestions : ['\xa0»', '”']

23 Mot inconnu : mpd => Il vous faut maintenant redémarrer mpd pour que les modifications prennent effets. | mpd

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo /etc/init.d/mpd restart |    => suggestions : ['']
25 Mot inconnu : sudo =>   sudo /etc/init.d/mpd restart | sudo
25 Mot inconnu : restart =>   sudo /etc/init.d/mpd restart | restart

27 Confusion : “a” est une conjugaison du verbe “avoir”. Pour la préposition, écrivez “à”. => Ou pour créer ou mettre a jour votre bibliothèque musicale, si votre client ne le permet pas : | a => suggestions : ['à']

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo /etc/init.d/mpd force-restart |    => suggestions : ['']
29 Mot inconnu : sudo =>   sudo /etc/init.d/mpd force-restart | sudo
29 Mot inconnu : force-restart =>   sudo /etc/init.d/mpd force-restart | force-restart

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   tail -f /var/log/mpd/mpd.log |    => suggestions : ['']
33 Mot inconnu : tail =>   tail -f /var/log/mpd/mpd.log | tail
33 Il manque un espace à côté du tiret. =>   tail -f /var/log/mpd/mpd.log |  - => suggestions : [' – ', ' — ']
40 Mot inconnu : mpd => Pour utiliser [[http://www.last.fm|Audioscrobbler]] avec mpd, il existe plusieurs solutions : [[http://www.frob.nl/scribble.html|mpdscribble]] (disponible dans les dépôts), [[http://codingteam.net/project/scrobd|scrobd]], et enfin [[http://unkart.ovh.org/scrobby|scrobby]] par l'auteur du client mpd [[http://unkart.ovh.org/ncmpcpp/|ncmpcpp]]. | mpd
40 Mot inconnu : mpd => Pour utiliser [[http://www.last.fm|Audioscrobbler]] avec mpd, il existe plusieurs solutions : [[http://www.frob.nl/scribble.html|mpdscribble]] (disponible dans les dépôts), [[http://codingteam.net/project/scrobd|scrobd]], et enfin [[http://unkart.ovh.org/scrobby|scrobby]] par l'auteur du client mpd [[http://unkart.ovh.org/ncmpcpp/|ncmpcpp]]. | mpd

42 Mot inconnu : mpd => ==== Utiliser mpd avec un compte utilisateur sans privilèges  ==== | mpd
42 Espace(s) surnuméraire(s) à supprimer. => ==== Utiliser mpd avec un compte utilisateur sans privilèges  ==== |    => suggestions : [' ']

44 Mot inconnu : mpd => Si la configuration par défaut de mpd ne vous convient pas et que vous souhaitez lancer le serveur mpd avec votre compte habituel, cette méthode vous expliquera comment procéder. | mpd
44 Mot inconnu : mpd => Si la configuration par défaut de mpd ne vous convient pas et que vous souhaitez lancer le serveur mpd avec votre compte habituel, cette méthode vous expliquera comment procéder. | mpd

46 Mot inconnu : mpd => Il est d'abord nécessaire de désactiver le service mpd qui est configuré lors de l'installation : | mpd

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo update-rc.d -f mpd remove |    => suggestions : ['']
48 Mot inconnu : sudo =>   sudo update-rc.d -f mpd remove | sudo
48 Mot inconnu : update-rc =>   sudo update-rc.d -f mpd remove | update-rc
48 Mot inconnu : mpd =>   sudo update-rc.d -f mpd remove | mpd
48 Mot inconnu : remove =>   sudo update-rc.d -f mpd remove | remove

50 Mot inconnu : arrétez => Puis arrétez le service qui est actuellement lancé. | arrétez

