
4 Mot inconnu : MPX => ====== MPX : Multi-Pointer X ====== | mpx

6 Mot inconnu : MPX => MPX est un acronyme de multi-pointer X Server (Serveur X à multi-pointage).  | mpx
6 Mot inconnu : Server => MPX est un acronyme de multi-pointer X Server (Serveur X à multi-pointage).  | server
6 Espace(s) en fin de ligne à supprimer. => MPX est un acronyme de multi-pointer X Server (Serveur X à multi-pointage).  |   => suggestions : ['']

8 La locution “entre autres”, toujours au pluriel. => Il permet entre autre à plusieurs utilisateurs d'exploiter simultanément des applications différentes. | autre => suggestions : ['autres']

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  MPX est inclus dans Xorg il n'y a rien à installer. |   => suggestions : ['']
11 Mot inconnu : MPX =>  MPX est inclus dans Xorg il n'y a rien à installer. | mpx
11 Mot inconnu : Xorg =>  MPX est inclus dans Xorg il n'y a rien à installer. | xorg

31 Il manque un espace avant la parenthèse. => Il existe 1 pointeur virtuel((Virtual core pointer)) et 1 clavier virtuel((Virtual core keyboard)) qui sont liés. | ( => suggestions : [' (']
31 Mot inconnu : Virtual => Il existe 1 pointeur virtuel((Virtual core pointer)) et 1 clavier virtuel((Virtual core keyboard)) qui sont liés. | virtual
31 Mot inconnu : core => Il existe 1 pointeur virtuel((Virtual core pointer)) et 1 clavier virtuel((Virtual core keyboard)) qui sont liés. | core
31 Il manque un espace avant la parenthèse. => Il existe 1 pointeur virtuel((Virtual core pointer)) et 1 clavier virtuel((Virtual core keyboard)) qui sont liés. | ( => suggestions : [' (']
31 Mot inconnu : Virtual => Il existe 1 pointeur virtuel((Virtual core pointer)) et 1 clavier virtuel((Virtual core keyboard)) qui sont liés. | virtual
31 Mot inconnu : core => Il existe 1 pointeur virtuel((Virtual core pointer)) et 1 clavier virtuel((Virtual core keyboard)) qui sont liés. | core
31 Mot inconnu : keyboard => Il existe 1 pointeur virtuel((Virtual core pointer)) et 1 clavier virtuel((Virtual core keyboard)) qui sont liés. | keyboard

62 Mot inconnu : Zalman => Maintenant, on va prendre le //Zalman FPSGUN Mouse// par son identifiant « id=8 » et l'associer à notre nouveau pointeur « id=15 ».  | zalman
62 Mot inconnu : FPSGUN => Maintenant, on va prendre le //Zalman FPSGUN Mouse// par son identifiant « id=8 » et l'associer à notre nouveau pointeur « id=15 ».  | fpsgun
62 Mot inconnu : Mouse => Maintenant, on va prendre le //Zalman FPSGUN Mouse// par son identifiant « id=8 » et l'associer à notre nouveau pointeur « id=15 ».  | mouse
62 Espace(s) en fin de ligne à supprimer. => Maintenant, on va prendre le //Zalman FPSGUN Mouse// par son identifiant « id=8 » et l'associer à notre nouveau pointeur « id=15 ».  |   => suggestions : ['']

64 Mot inconnu : xinput => Ce qui nous donne comme configuration de xinput : | xinput

100 Typographie : points de suspension. Utilisez le caractère dédié. => Il se peut que votre deuxième curseur ne soit alloué à aucune souris, pas de solution... ( voir ce [[https://forum.ubuntu-fr.org/viewtopic.php?id=1999319&p=3|fils de discussion du forum]]). | ... => suggestions : ['…']
100 Pas d’espace après ce signe. => Il se peut que votre deuxième curseur ne soit alloué à aucune souris, pas de solution... ( voir ce [[https://forum.ubuntu-fr.org/viewtopic.php?id=1999319&p=3|fils de discussion du forum]]). | (  => suggestions : ['(']
