
4 Mot inconnu : Mupen64Plus => ====== Mupen64Plus – La Nintendo 64 sous Ubuntu ====== | mupen64plus

6 Mot inconnu : Mupen64Plus => Mupen64Plus (anciennement Mupen64) est un émulateur de Nintendo 64 libre de grande qualité, nous allons décrire son installation et son fonctionnement dans la suite de cette page. | mupen64plus
6 Mot inconnu : Mupen64 => Mupen64Plus (anciennement Mupen64) est un émulateur de Nintendo 64 libre de grande qualité, nous allons décrire son installation et son fonctionnement dans la suite de cette page. | mupen64

8 Mot inconnu : Mupen64Plus => <note>Mupen64Plus nécessite l'installation de plugins graphique, audio et d'entrée pour fonctionner complètement. Vérifier que ceux-ci sont bien installés.</note> | mupen64plus

13 Mot inconnu : Mupen64Plus => Mupen64Plus est un émulateur sans interface graphique. La version 2.5. qui date de 2015 est disponible dans les dépôts. | mupen64plus
19 Mot inconnu : m64py => Ce dépôt PPA permet d'obtenir une version un peu plus récente par rapport à celle des dépôts, une automatisation dans les mises à jours et, au choix, l'interface graphique m64py ou mupen64plus-qt. | m64py
19 Mot inconnu : mupen64plus-qt => Ce dépôt PPA permet d'obtenir une version un peu plus récente par rapport à celle des dépôts, une automatisation dans les mises à jours et, au choix, l'interface graphique m64py ou mupen64plus-qt. | mupen64plus-qt

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * avec **m64py**, cliquez sur le lien suivant : [[apt>libmupen64plus2,mupen64plus-input-sdl,mupen64plus-audio-sdl,mupen64plus-rsp-hle,mupen64plus-video-glide64mk2,mupen64plus-video-rice,mupen64plus-ui-console,m64py]].  |    => suggestions : ['']
23 Mot inconnu : m64py =>   * avec **m64py**, cliquez sur le lien suivant : [[apt>libmupen64plus2,mupen64plus-input-sdl,mupen64plus-audio-sdl,mupen64plus-rsp-hle,mupen64plus-video-glide64mk2,mupen64plus-video-rice,mupen64plus-ui-console,m64py]].  | m64py
23 Mot inconnu : libmupen64plus2 =>   * avec **m64py**, cliquez sur le lien suivant : [[apt>libmupen64plus2,mupen64plus-input-sdl,mupen64plus-audio-sdl,mupen64plus-rsp-hle,mupen64plus-video-glide64mk2,mupen64plus-video-rice,mupen64plus-ui-console,m64py]].  | libmupen64plus2
23 Il manque un espace. =>   * avec **m64py**, cliquez sur le lien suivant : [[apt>libmupen64plus2,mupen64plus-input-sdl,mupen64plus-audio-sdl,mupen64plus-rsp-hle,mupen64plus-video-glide64mk2,mupen64plus-video-rice,mupen64plus-ui-console,m64py]].  | mupen64plus-input-sdl => suggestions : [' mupen64plus-input-sdl']
23 Mot inconnu : mupen64plus-input-sdl =>   * avec **m64py**, cliquez sur le lien suivant : [[apt>libmupen64plus2,mupen64plus-input-sdl,mupen64plus-audio-sdl,mupen64plus-rsp-hle,mupen64plus-video-glide64mk2,mupen64plus-video-rice,mupen64plus-ui-console,m64py]].  | mupen64plus-input-sdl
23 Mot inconnu : mupen64plus-audio-sdl =>   * avec **m64py**, cliquez sur le lien suivant : [[apt>libmupen64plus2,mupen64plus-input-sdl,mupen64plus-audio-sdl,mupen64plus-rsp-hle,mupen64plus-video-glide64mk2,mupen64plus-video-rice,mupen64plus-ui-console,m64py]].  | mupen64plus-audio-sdl
23 Il manque un espace. =>   * avec **m64py**, cliquez sur le lien suivant : [[apt>libmupen64plus2,mupen64plus-input-sdl,mupen64plus-audio-sdl,mupen64plus-rsp-hle,mupen64plus-video-glide64mk2,mupen64plus-video-rice,mupen64plus-ui-console,m64py]].  | mupen64plus-rsp-hle => suggestions : [' mupen64plus-rsp-hle']
23 Mot inconnu : mupen64plus-rsp-hle =>   * avec **m64py**, cliquez sur le lien suivant : [[apt>libmupen64plus2,mupen64plus-input-sdl,mupen64plus-audio-sdl,mupen64plus-rsp-hle,mupen64plus-video-glide64mk2,mupen64plus-video-rice,mupen64plus-ui-console,m64py]].  | mupen64plus-rsp-hle
23 Mot inconnu : mupen64plus-video-glide64mk2 =>   * avec **m64py**, cliquez sur le lien suivant : [[apt>libmupen64plus2,mupen64plus-input-sdl,mupen64plus-audio-sdl,mupen64plus-rsp-hle,mupen64plus-video-glide64mk2,mupen64plus-video-rice,mupen64plus-ui-console,m64py]].  | mupen64plus-video-glide64mk2
23 Il manque un espace. =>   * avec **m64py**, cliquez sur le lien suivant : [[apt>libmupen64plus2,mupen64plus-input-sdl,mupen64plus-audio-sdl,mupen64plus-rsp-hle,mupen64plus-video-glide64mk2,mupen64plus-video-rice,mupen64plus-ui-console,m64py]].  | mupen64plus-video-rice => suggestions : [' mupen64plus-video-rice']
23 Mot inconnu : mupen64plus-video-rice =>   * avec **m64py**, cliquez sur le lien suivant : [[apt>libmupen64plus2,mupen64plus-input-sdl,mupen64plus-audio-sdl,mupen64plus-rsp-hle,mupen64plus-video-glide64mk2,mupen64plus-video-rice,mupen64plus-ui-console,m64py]].  | mupen64plus-video-rice
23 Mot inconnu : mupen64plus-ui-console =>   * avec **m64py**, cliquez sur le lien suivant : [[apt>libmupen64plus2,mupen64plus-input-sdl,mupen64plus-audio-sdl,mupen64plus-rsp-hle,mupen64plus-video-glide64mk2,mupen64plus-video-rice,mupen64plus-ui-console,m64py]].  | mupen64plus-ui-console
23 Il manque un espace. =>   * avec **m64py**, cliquez sur le lien suivant : [[apt>libmupen64plus2,mupen64plus-input-sdl,mupen64plus-audio-sdl,mupen64plus-rsp-hle,mupen64plus-video-glide64mk2,mupen64plus-video-rice,mupen64plus-ui-console,m64py]].  | m64py => suggestions : [' m64py']
23 Mot inconnu : m64py =>   * avec **m64py**, cliquez sur le lien suivant : [[apt>libmupen64plus2,mupen64plus-input-sdl,mupen64plus-audio-sdl,mupen64plus-rsp-hle,mupen64plus-video-glide64mk2,mupen64plus-video-rice,mupen64plus-ui-console,m64py]].  | m64py
23 Espace(s) en fin de ligne à supprimer. =>   * avec **m64py**, cliquez sur le lien suivant : [[apt>libmupen64plus2,mupen64plus-input-sdl,mupen64plus-audio-sdl,mupen64plus-rsp-hle,mupen64plus-video-glide64mk2,mupen64plus-video-rice,mupen64plus-ui-console,m64py]].  |   => suggestions : ['']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * avec **mupen64plus-qt**, cliquez le lien suivant : [[apt>libmupen64plus2,mupen64plus-input-sdl,mupen64plus-audio-sdl,mupen64plus-rsp-hle,mupen64plus-video-glide64mk2,mupen64plus-video-rice,mupen64plus-ui-console,mupen64plus-qt]] |    => suggestions : ['']
