
3 Mot inconnu : SFTP => ====== Serveur SFTP : MySecureShell ====== | sftp
3 Mot inconnu : MySecureShell => ====== Serveur SFTP : MySecureShell ====== | mysecureshell

7 Mot inconnu : MSS => ===== À propos de MSS ===== | mss

9 Mot inconnu : MySecureShell => **MySecureShell** (MSS) est un logiciel s'appuyant sur le chiffrement de SSH et sur son FTP sécurisé "sftp-server". MySecureShell est un shell qui permet d'ajouter plusieurs fonctionnalités à sftp-server et qui se rapproche des grands serveurs FTP tel que ProFtpd. | mysecureshell
9 Mot inconnu : MSS => **MySecureShell** (MSS) est un logiciel s'appuyant sur le chiffrement de SSH et sur son FTP sécurisé "sftp-server". MySecureShell est un shell qui permet d'ajouter plusieurs fonctionnalités à sftp-server et qui se rapproche des grands serveurs FTP tel que ProFtpd. | mss
9 Mot inconnu : SSH => **MySecureShell** (MSS) est un logiciel s'appuyant sur le chiffrement de SSH et sur son FTP sécurisé "sftp-server". MySecureShell est un shell qui permet d'ajouter plusieurs fonctionnalités à sftp-server et qui se rapproche des grands serveurs FTP tel que ProFtpd. | ssh
9 Guillemets typographiques ouvrants. => **MySecureShell** (MSS) est un logiciel s'appuyant sur le chiffrement de SSH et sur son FTP sécurisé "sftp-server". MySecureShell est un shell qui permet d'ajouter plusieurs fonctionnalités à sftp-server et qui se rapproche des grands serveurs FTP tel que ProFtpd. | " => suggestions : ['«\xa0', '“']
9 Mot inconnu : sftp-server => **MySecureShell** (MSS) est un logiciel s'appuyant sur le chiffrement de SSH et sur son FTP sécurisé "sftp-server". MySecureShell est un shell qui permet d'ajouter plusieurs fonctionnalités à sftp-server et qui se rapproche des grands serveurs FTP tel que ProFtpd. | sftp-server
9 Guillemets typographiques fermants. => **MySecureShell** (MSS) est un logiciel s'appuyant sur le chiffrement de SSH et sur son FTP sécurisé "sftp-server". MySecureShell est un shell qui permet d'ajouter plusieurs fonctionnalités à sftp-server et qui se rapproche des grands serveurs FTP tel que ProFtpd. | " => suggestions : ['\xa0»', '”']
9 Mot inconnu : MySecureShell => **MySecureShell** (MSS) est un logiciel s'appuyant sur le chiffrement de SSH et sur son FTP sécurisé "sftp-server". MySecureShell est un shell qui permet d'ajouter plusieurs fonctionnalités à sftp-server et qui se rapproche des grands serveurs FTP tel que ProFtpd. | mysecureshell
9 Mot inconnu : sftp-server => **MySecureShell** (MSS) est un logiciel s'appuyant sur le chiffrement de SSH et sur son FTP sécurisé "sftp-server". MySecureShell est un shell qui permet d'ajouter plusieurs fonctionnalités à sftp-server et qui se rapproche des grands serveurs FTP tel que ProFtpd. | sftp-server
9 Mot inconnu : ProFtpd => **MySecureShell** (MSS) est un logiciel s'appuyant sur le chiffrement de SSH et sur son FTP sécurisé "sftp-server". MySecureShell est un shell qui permet d'ajouter plusieurs fonctionnalités à sftp-server et qui se rapproche des grands serveurs FTP tel que ProFtpd. | proftpd

10 Mot inconnu : MySecureShell => Les avantages de MySecureShell sont qu'il s'appuie sur le protocole sécurisé SSH et qu'il permet un chiffrement complet des données et des requêtes émises. Il est très simple à installer, à utiliser et hautement configurable. | mysecureshell
10 Mot inconnu : SSH => Les avantages de MySecureShell sont qu'il s'appuie sur le protocole sécurisé SSH et qu'il permet un chiffrement complet des données et des requêtes émises. Il est très simple à installer, à utiliser et hautement configurable. | ssh

15 Mot inconnu : MySecureShell => **Pourquoi installer MySecureShell (sftp - Secure File Transfert Protocol) au lieu d'un serveur FTPS (File Transfert Protocol over SSL) ?** | mysecureshell
15 Mot inconnu : sftp => **Pourquoi installer MySecureShell (sftp - Secure File Transfert Protocol) au lieu d'un serveur FTPS (File Transfert Protocol over SSL) ?** | sftp
15 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => **Pourquoi installer MySecureShell (sftp - Secure File Transfert Protocol) au lieu d'un serveur FTPS (File Transfert Protocol over SSL) ?** |  -  => suggestions : [' – ', ' — ', ' − ']
15 Mot inconnu : Secure => **Pourquoi installer MySecureShell (sftp - Secure File Transfert Protocol) au lieu d'un serveur FTPS (File Transfert Protocol over SSL) ?** | secure
15 Mot inconnu : Protocol => **Pourquoi installer MySecureShell (sftp - Secure File Transfert Protocol) au lieu d'un serveur FTPS (File Transfert Protocol over SSL) ?** | protocol
15 Mot inconnu : Protocol => **Pourquoi installer MySecureShell (sftp - Secure File Transfert Protocol) au lieu d'un serveur FTPS (File Transfert Protocol over SSL) ?** | protocol
15 Mot inconnu : over => **Pourquoi installer MySecureShell (sftp - Secure File Transfert Protocol) au lieu d'un serveur FTPS (File Transfert Protocol over SSL) ?** | over
15 Mot inconnu : SSL => **Pourquoi installer MySecureShell (sftp - Secure File Transfert Protocol) au lieu d'un serveur FTPS (File Transfert Protocol over SSL) ?** | ssl

26 Mot inconnu : SCP => **Mais alors pourquoi ne pas utiliser un client SCP ?** | scp

28 Mot inconnu : SCP => Le problème vient du compte créé pour l'utilisateur qui doit utiliser un shell valide pour se connecter au serveur à l'aide d'un logiciel SCP. | scp

30 Mot inconnu : MySecureShell => Avec MySecureShell, le client n'est pas obligé de posséder un shell valide qui pourrait nuire a la sécurité du serveur. | mysecureshell

40 Mot inconnu : sftp => Créer maintenant les utilisateurs autorisés à faire du sftp et autorisés à ne faire que du sftp. Pour fixer les idées, je vais créer l'utilisateur toto et lui attribuer comme dossier personnel /home/toto : | sftp
40 Mot inconnu : sftp => Créer maintenant les utilisateurs autorisés à faire du sftp et autorisés à ne faire que du sftp. Pour fixer les idées, je vais créer l'utilisateur toto et lui attribuer comme dossier personnel /home/toto : | sftp

46 Mot inconnu : FIXME => FIXME La boîte de dialogue de gestion des utilisateurs est vide dans MSS 1.6...Il faut se résigner à éditer à la main /etc/ssh/sftp_config. | fixme
46 Mot inconnu : MSS => FIXME La boîte de dialogue de gestion des utilisateurs est vide dans MSS 1.6...Il faut se résigner à éditer à la main /etc/ssh/sftp_config. | mss
46 Typographie : points de suspension. Utilisez le caractère dédié. => FIXME La boîte de dialogue de gestion des utilisateurs est vide dans MSS 1.6...Il faut se résigner à éditer à la main /etc/ssh/sftp_config. | ... => suggestions : ['…']

63 Mot inconnu : sftp => ===== Connexion au serveur sftp ===== | sftp

78 Mot inconnu : sftp-server_MSS => En cas de problème vérifier que le fichier sftp-server_MSS se trouve bien dans le répertoire /usr/lib/openssh/ . Si ce n'est pas le cas vous pouvez le copier à partir de /usr/lib/ | sftp-server_mss
78 Pas d’espace avant un point. => En cas de problème vérifier que le fichier sftp-server_MSS se trouve bien dans le répertoire /usr/lib/openssh/ . Si ce n'est pas le cas vous pouvez le copier à partir de /usr/lib/ |  . => suggestions : ['.']

83 Mot inconnu : TCP => > Le port 22/TCP doit être ouvert. | tcp

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Code: |   => suggestions : ['']

93 Mot inconnu : lftp => Pour plus de renseignements sur lftp | lftp

114 Mot inconnu : remplacant => en remplacant toto par votre nom d'utilisateur | remplacant

135 Mot inconnu : FIXME => FIXME | fixme

137 Mot inconnu : smeg => smeg est introuvable dans les dépôts depuis Feisty; indiquer la source | smeg
137 Mot inconnu : Feisty => smeg est introuvable dans les dépôts depuis Feisty; indiquer la source | feisty

139 Mot inconnu : Smeg => Pour plus de convivialité vous pouvez créer un lanceur grâce à Smeg. | smeg

152 Mot inconnu : sftp_config => ==== sftp_config ==== | sftp_config

154 Mot inconnu : MSS => MSS possède son propre fichier de paramétrage, sftp_config. | mss
154 Mot inconnu : sftp_config => MSS possède son propre fichier de paramétrage, sftp_config. | sftp_config

162 Mot inconnu : UTF8 => //(en particulier, modifiez l'encodage ISO-8859-15 par UTF8)// | utf8

164 Mot inconnu : sshd_config => ==== sshd_config ==== | sshd_config

178 Mot inconnu : SSH => ==== Utilisation des clefs SSH ==== | ssh

180 Confusion. La conjonction “ou” signale une alternative. Pour évoquer un lieu, un temps ou une situation, écrivez “où”. => Dans le cas ou vous devez administrer de multiples serveurs, retaper à chaque fois son mot de passe est pénible surtout quand on est déjà logué sur une machine sûre. | ou => suggestions : ['où']

187 Mot inconnu : SSH => ==== Se protéger contre le SSH Brute Force ==== | ssh

