
31 Mot inconnu : cfcfcg [[0:6]] => cfcfcg <|> cfcfcg

55 Accord de nombre erroné : « comportement » devrait être au pluriel. [[33:45]] => Pour choisir l'un ou l'autre des comportement, on renseigne le champs //plugin// de la table //user// : <|> comportement => suggestions : ['comportements']
55 Accord de nombre erroné : « champs » est au pluriel. [[60:62]] => Pour choisir l'un ou l'autre des comportement, on renseigne le champs //plugin// de la table //user// : <|> le => suggestions : ['les']
55 Accord de nombre erroné : « champs » devrait être au singulier. [[63:69]] => Pour choisir l'un ou l'autre des comportement, on renseigne le champs //plugin// de la table //user// : <|> champs => suggestions : ['champ']
56 Mot inconnu : mysql_native_password [[6:27]] =>   * //mysql_native_password// ou vide pour utiliser l'authentification native de MySQL. <|> mysql_native_password
57 Mot inconnu : auth_socket [[6:17]] =>   * //auth_socket// pour se connecter avec un utilisateur Ubuntu. <|> auth_socket
64 Mot inconnu : mysql_native_password [[78:99]] => L’authentification de l'utilisateur root de MySQL se fait par mot de passe (//mysql_native_password//). <|> mysql_native_password

69 Incohérence : les mots “ce” et “cette” ne devraient pas se succéder. [[12:17]] => À partir ce cette version l'utilisateur root de MySQL est authentifié par son compte système (plugin //auth_socket//) et non plus par un mot de passe (plugin //mysql_native_password//). <|> cette => suggestions : ['set', 'sept']
69 Mot inconnu : auth_socket [[103:114]] => À partir ce cette version l'utilisateur root de MySQL est authentifié par son compte système (plugin //auth_socket//) et non plus par un mot de passe (plugin //mysql_native_password//). <|> auth_socket
69 Mot inconnu : mysql_native_password [[160:181]] => À partir ce cette version l'utilisateur root de MySQL est authentifié par son compte système (plugin //auth_socket//) et non plus par un mot de passe (plugin //mysql_native_password//). <|> mysql_native_password

115 Il manque un trait d’union. [[74:82]] => Vous pourrez avoir besoin de mettre votre mot de passe entre guillemet si celui ci comporte des caractères spéciaux. <|> celui ci => suggestions : ['celui-ci']

125 Guillemets typographiques ouvrants. [[23:24]] => //le numéro de version "8.0" peut varier// <|> " => suggestions : ['«\xa0', '“']
125 Guillemets typographiques fermants. [[27:28]] => //le numéro de version "8.0" peut varier// <|> " => suggestions : ['\xa0»', '”']

146 Mot inconnu : mysql_native_password [[94:115]] => Vous avez le choix entre créer un utilisateur identifié au moyen d'un mot de passe (méthode //mysql_native_password//, celle par défaut pour MySQL) ou créer un accès MySQL à un utilisateur Ubuntu existant (méthode //auth_socket//). <|> mysql_native_password
146 Mot inconnu : auth_socket [[216:227]] => Vous avez le choix entre créer un utilisateur identifié au moyen d'un mot de passe (méthode //mysql_native_password//, celle par défaut pour MySQL) ou créer un accès MySQL à un utilisateur Ubuntu existant (méthode //auth_socket//). <|> auth_socket

147 Mot inconnu : mysql_native_password [[36:57]] => La plupart du temps, on utilisera //mysql_native_password//. <|> mysql_native_password

220 Mot inconnu : bind-address [[0:12]] => bind-address = x.x.x.x <|> bind-address
220 Sigle. Il est recommandé d’ôter les points pour les sigles. [[15:21]] => bind-address = x.x.x.x <|> x.x.x. => suggestions : ['XXX']

223 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. [[0:2]] => où x.x.x.x est l'adresse ip de l'interface sur laquelle MySQL doit écouter. Cela permet de n'écouter que sur une ip privée si vous avez plusieurs interfaces réseaux. <|> où => suggestions : ['Où']
223 Sigle. Il est recommandé d’ôter les points pour les sigles. [[3:9]] => où x.x.x.x est l'adresse ip de l'interface sur laquelle MySQL doit écouter. Cela permet de n'écouter que sur une ip privée si vous avez plusieurs interfaces réseaux. <|> x.x.x. => suggestions : ['XXX']
225 Guillemets typographiques ouvrants. [[94:95]] => Pour forcer mysql à écouter sur toutes les interfaces réseau, il suffit de commenter la ligne "bind-address = 127.0.0.1" (ou écrire bind-address = 0.0.0.0) Cela peut être dangereux si votre serveur est connecté à Internet directement. <|> " => suggestions : ['«\xa0', '“']
225 Mot inconnu : bind-address [[95:107]] => Pour forcer mysql à écouter sur toutes les interfaces réseau, il suffit de commenter la ligne "bind-address = 127.0.0.1" (ou écrire bind-address = 0.0.0.0) Cela peut être dangereux si votre serveur est connecté à Internet directement. <|> bind-address
225 Mot inconnu : bind-address [[132:144]] => Pour forcer mysql à écouter sur toutes les interfaces réseau, il suffit de commenter la ligne "bind-address = 127.0.0.1" (ou écrire bind-address = 0.0.0.0) Cela peut être dangereux si votre serveur est connecté à Internet directement. <|> bind-address

270 Mot inconnu : loggé [[42:47]] => Vous pouvez vérifier le résultat une fois loggé dans mysql grâce à la commande suivante : <|> loggé

307 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

326 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[94:96]] => === Importer une base de données située dans le répertoire courant (base de donnée exportée en .sql) === <|>  . => suggestions : ['. ', '.']
326 Mot inconnu : sql [[96:99]] => === Importer une base de données située dans le répertoire courant (base de donnée exportée en .sql) === <|> sql
371 Mot inconnu : Qt5 [[11:14]] => MySQL avec Qt5: <|> qt5

373 Mot inconnu : Qt5 [[26:29]] => Installer la bibliothèque Qt5 pour mysql afin de l'utiliser sous Qt : <|> qt5
383 Mot inconnu : maBase [[38:44]] => Pour **exporter** la base de donnée « maBase », utilisez la commande : <|> mabase
386 Mot inconnu : maBase_backup [[37:50]] => Ceci fera l'export dans un fichier « maBase_backup.sql ». <|> mabase_backup
386 Mot inconnu : sql [[51:54]] => Ceci fera l'export dans un fichier « maBase_backup.sql ». <|> sql

388 Mot inconnu : ma_table [[39:47]] => Pour exporter une table (par exemple //ma_table// )appartenant à une base des données (par exemple //maBase//) : <|> ma_table
388 Pas d’espace avant ce signe. [[49:51]] => Pour exporter une table (par exemple //ma_table// )appartenant à une base des données (par exemple //maBase//) : <|>  ) => suggestions : [')']
388 Il manque un espace après la parenthèse. [[50:51]] => Pour exporter une table (par exemple //ma_table// )appartenant à une base des données (par exemple //maBase//) : <|> ) => suggestions : [') ']
388 Mot inconnu : maBase [[101:107]] => Pour exporter une table (par exemple //ma_table// )appartenant à une base des données (par exemple //maBase//) : <|> mabase

391 Mot inconnu : ma_table [[58:66]] => Ainsi nous aurons une exportation seulement de la table //ma_table// sans toucher à d'autres tables de la base des données <|> ma_table
393 Mot inconnu : maBase [[62:68]] => Pour **importer** une base de données ou une sauvegarde sur « maBase », utilisez la commande : <|> mabase

404 Mot inconnu : ibdata1 [[36:43]] => ==== Compacter l'espace utilisé par ibdata1 ==== <|> ibdata1
406 Mot inconnu : ibdata1 [[114:121]] => MySQL stocke ses fichiers dans le dossier /var/lib/mysql. Il arrive avec le temps et l'utilisation que le fichier ibdata1 occupe un espace disque très important qui ne sera pas récupéré même en supprimant toutes les bases. <|> ibdata1
408 Espace(s) en fin de ligne à supprimer. [[48:49]] => Pistes pour comprendre et corriger ce problème :  <|>   => suggestions : ['']
417 Doublon. [[28:35]] => ===== Administrer MySQL via une une interface graphique ===== <|> une une => suggestions : ['une']

442 Mot inconnu : __ou__ [[2:8]] => **__ou__** <|> __ou__
447 Guillemets typographiques ouvrants. [[37:38]] => ==== Le server MySQL ne démarre pas ("time out") ou s'arrête au bout de quelques secondes ==== <|> " => suggestions : ['«\xa0', '“']
447 Mot inconnu : time [[38:42]] => ==== Le server MySQL ne démarre pas ("time out") ou s'arrête au bout de quelques secondes ==== <|> time
447 Guillemets typographiques fermants. [[46:47]] => ==== Le server MySQL ne démarre pas ("time out") ou s'arrête au bout de quelques secondes ==== <|> " => suggestions : ['\xa0»', '”']

453 Mot inconnu : AppArmor [[4:12]] => === AppArmor === <|> apparmor

462 Mot inconnu : apparmor [[65:73]] => Il faut ensuite redémarrer l'ordinateur (redémarrer le service //apparmor// ne suffit pas). <|> apparmor
466 Mot inconnu : MariaDB [[27:34]] => === Conflit entre MySQL et MariaDB === <|> mariadb
