
4 Mot inconnu : Keyboard => ====== Neo Keyboard ====== | keyboard

6 Mot inconnu : Keyboard => **Neo Keyboard** est un logiciel très simple de Piano Virtuel, utilisé avec votre clavier. | keyboard

12 Mot inconnu : SDL => === Installation de la bibliothèque SDL et le compilateur === | sdl

13 Mot inconnu : SDL => Il faut installer la librairie SDL pour compiler le logiciel (il est un peu graphique). | sdl

17 Mot inconnu : Build-Essential => Et Build-Essential installera le compilateur C++ : | build-essential

28 Mot inconnu : Neo_Keyboard => Cela produit le programme **Neo_Keyboard**. | neo_keyboard

30 Mot inconnu : Keyboard => === Exécuter Neo Keyboard === | keyboard

33 Mot inconnu : LTS => <note warning>Ce programme ne fonctionne malheureusement pas en l'état sur Ubuntu LTS 18.04.1. Pour Ubuntu 19.04 vous devrez peut-être utiliser cette commande: <code bash>g++ -o Neo_Keyboard main.cpp -I/usr/include/SDL -lSDL -lSDL_ttf -lSDL_mixer -lSDL_image</code></note> | lts

35 Mot inconnu : Keyboard => ==== Diverses informations sur Neo Keyboard ==== | keyboard

36 Mot inconnu : Keyboard => **Neo Keyboard** est distribué sous licence //GPL//. | keyboard

37 Typographie : points de suspension. Utilisez le caractère dédié. => IL est actuellement dans sa première version, il comporte donc quelques bugs... | ... => suggestions : ['…']

43 Confusion probable : “a” est une forme conjuguée du verbe “avoir”. Pour la préposition, écrivez “à”. => === A propos de l'auteur === | a => suggestions : ['À']

44 Mot inconnu : Keyboard => **Neo Keyboard** a été créé par **Hervé Beraud** | keyboard
44 Mot inconnu : Beraud => **Neo Keyboard** a été créé par **Hervé Beraud** | beraud

46 Mot inconnu : m3rg3nc3 => [[http://3m3rg3nc3.free.fr|Le site officiel en français (3m3rg3nc3)]] (malheureusement il s'agit d'un lien mort) | m3rg3nc3
