
4 Mot inconnu : Nikto => ====== Nikto, Scanner de Sécurité pour Server Web ====== | nikto
4 Mot inconnu : Server => ====== Nikto, Scanner de Sécurité pour Server Web ====== | server

6 Mot inconnu : Nikto => Nikto est un scanner de sécurité pour les serveurs web, et est programmé en langage P.E.R.L. Ses fonctionnalités sont d'auditer vos serveurs web à la recherche de failles diverses, de tester potentiellement près de 6000 vulnérabilités CGI et fichiers dangereux, de vérifier l'obsolescence du serveur et ses composants logiciels, de rechercher les dossiers pouvant contenir des informations sensibles. | nikto
6 Mot inconnu : CGI => Nikto est un scanner de sécurité pour les serveurs web, et est programmé en langage P.E.R.L. Ses fonctionnalités sont d'auditer vos serveurs web à la recherche de failles diverses, de tester potentiellement près de 6000 vulnérabilités CGI et fichiers dangereux, de vérifier l'obsolescence du serveur et ses composants logiciels, de rechercher les dossiers pouvant contenir des informations sensibles. | cgi

21 Mot inconnu : Nikto => Nikto se lance simplement avec pour argument un hôte IP ou nommé sur le port TCP 80 par défaut ; l'utilisation de l'option -h est requise. | nikto
21 Mot inconnu : TCP => Nikto se lance simplement avec pour argument un hôte IP ou nommé sur le port TCP 80 par défaut ; l'utilisation de l'option -h est requise. | tcp
21 Il manque un espace à côté du tiret. => Nikto se lance simplement avec pour argument un hôte IP ou nommé sur le port TCP 80 par défaut ; l'utilisation de l'option -h est requise. |  - => suggestions : [' – ', ' — ']

25 Mot inconnu : TCP => **Scan sur le port TCP 443, option -p** | tcp
25 Il manque un espace à côté du tiret. => **Scan sur le port TCP 443, option -p** |  - => suggestions : [' – ', ' — ']

33 Mot inconnu : Nikto => **Nikto teste automatiquement le protocole http puis https, indiquer l'option -ssl permet d'accélérer la recherche** | nikto
33 Il manque un espace à côté du tiret. => **Nikto teste automatiquement le protocole http puis https, indiquer l'option -ssl permet d'accélérer la recherche** |  - => suggestions : [' – ', ' — ']
33 Mot inconnu : ssl => **Nikto teste automatiquement le protocole http puis https, indiquer l'option -ssl permet d'accélérer la recherche** | ssl
47 Mot inconnu : FIXME => //Contributeurs principaux : FIXME // | fixme
