
3 Mot inconnu : GBA => ====== NO$GBA : émulateur nintendo ds====== | gba
3 Mot inconnu : nintendo => ====== NO$GBA : émulateur nintendo ds====== | nintendo

7 Mot inconnu : GBA => NO$GBA est un émulateur nintendo DS pour windows. Il fonctionne, cela dit très bien via [[wine]] et est de base meilleur que les autres émuateurs de la nintendo DS | gba
7 Mot inconnu : nintendo => NO$GBA est un émulateur nintendo DS pour windows. Il fonctionne, cela dit très bien via [[wine]] et est de base meilleur que les autres émuateurs de la nintendo DS | nintendo
7 Mot inconnu : wine => NO$GBA est un émulateur nintendo DS pour windows. Il fonctionne, cela dit très bien via [[wine]] et est de base meilleur que les autres émuateurs de la nintendo DS | wine
7 Mot inconnu : émuateurs => NO$GBA est un émulateur nintendo DS pour windows. Il fonctionne, cela dit très bien via [[wine]] et est de base meilleur que les autres émuateurs de la nintendo DS | émuateurs
7 Mot inconnu : nintendo => NO$GBA est un émulateur nintendo DS pour windows. Il fonctionne, cela dit très bien via [[wine]] et est de base meilleur que les autres émuateurs de la nintendo DS | nintendo

9 Mot inconnu : GBA => <note important>À noter que NO$GBA émule aussi très bien la game boy advance</note> | gba
9 Mot inconnu : game => <note important>À noter que NO$GBA émule aussi très bien la game boy advance</note> | game
9 Mot inconnu : advance => <note important>À noter que NO$GBA émule aussi très bien la game boy advance</note> | advance

13 Mot inconnu : emunova => Pour le télécharger il suffit d'aller sur le site d'emunova : lien mort | emunova

15 Mot inconnu : gba-w => Une fois le téléchargement terminé, placez l'archive dans le dossier où vous le souhaitez puis décompressez-le. Normalement le dossier no$gba-w devrait apparaître, allez-y. Ensuite placez les roms dans le dossier "SLOT" (Facultatif) qui devrait apparaître après avoir sélectionner le fichier NO$GBA, celà dit, vous pouvez toujours indiquer le repertoire de vos roms nintendo DS. | gba-w
15 Guillemets typographiques ouvrants. => Une fois le téléchargement terminé, placez l'archive dans le dossier où vous le souhaitez puis décompressez-le. Normalement le dossier no$gba-w devrait apparaître, allez-y. Ensuite placez les roms dans le dossier "SLOT" (Facultatif) qui devrait apparaître après avoir sélectionner le fichier NO$GBA, celà dit, vous pouvez toujours indiquer le repertoire de vos roms nintendo DS. | " => suggestions : ['«\xa0', '“']
15 Mot inconnu : SLOT => Une fois le téléchargement terminé, placez l'archive dans le dossier où vous le souhaitez puis décompressez-le. Normalement le dossier no$gba-w devrait apparaître, allez-y. Ensuite placez les roms dans le dossier "SLOT" (Facultatif) qui devrait apparaître après avoir sélectionner le fichier NO$GBA, celà dit, vous pouvez toujours indiquer le repertoire de vos roms nintendo DS. | slot
15 Guillemets typographiques fermants. => Une fois le téléchargement terminé, placez l'archive dans le dossier où vous le souhaitez puis décompressez-le. Normalement le dossier no$gba-w devrait apparaître, allez-y. Ensuite placez les roms dans le dossier "SLOT" (Facultatif) qui devrait apparaître après avoir sélectionner le fichier NO$GBA, celà dit, vous pouvez toujours indiquer le repertoire de vos roms nintendo DS. | " => suggestions : ['\xa0»', '”']
15 Incohérence probable avec “avoir” : “sélectionner” n’est pas un participe passé. => Une fois le téléchargement terminé, placez l'archive dans le dossier où vous le souhaitez puis décompressez-le. Normalement le dossier no$gba-w devrait apparaître, allez-y. Ensuite placez les roms dans le dossier "SLOT" (Facultatif) qui devrait apparaître après avoir sélectionner le fichier NO$GBA, celà dit, vous pouvez toujours indiquer le repertoire de vos roms nintendo DS. | sélectionner => suggestions : ['sélectionné']
15 Mot inconnu : GBA => Une fois le téléchargement terminé, placez l'archive dans le dossier où vous le souhaitez puis décompressez-le. Normalement le dossier no$gba-w devrait apparaître, allez-y. Ensuite placez les roms dans le dossier "SLOT" (Facultatif) qui devrait apparaître après avoir sélectionner le fichier NO$GBA, celà dit, vous pouvez toujours indiquer le repertoire de vos roms nintendo DS. | gba
15 Mot inconnu : celà => Une fois le téléchargement terminé, placez l'archive dans le dossier où vous le souhaitez puis décompressez-le. Normalement le dossier no$gba-w devrait apparaître, allez-y. Ensuite placez les roms dans le dossier "SLOT" (Facultatif) qui devrait apparaître après avoir sélectionner le fichier NO$GBA, celà dit, vous pouvez toujours indiquer le repertoire de vos roms nintendo DS. | celà
15 Mot inconnu : repertoire => Une fois le téléchargement terminé, placez l'archive dans le dossier où vous le souhaitez puis décompressez-le. Normalement le dossier no$gba-w devrait apparaître, allez-y. Ensuite placez les roms dans le dossier "SLOT" (Facultatif) qui devrait apparaître après avoir sélectionner le fichier NO$GBA, celà dit, vous pouvez toujours indiquer le repertoire de vos roms nintendo DS. | repertoire
15 Mot inconnu : nintendo => Une fois le téléchargement terminé, placez l'archive dans le dossier où vous le souhaitez puis décompressez-le. Normalement le dossier no$gba-w devrait apparaître, allez-y. Ensuite placez les roms dans le dossier "SLOT" (Facultatif) qui devrait apparaître après avoir sélectionner le fichier NO$GBA, celà dit, vous pouvez toujours indiquer le repertoire de vos roms nintendo DS. | nintendo

18 Mot inconnu : OpenGL => ===== Erreurs avec OpenGL ===== | opengl

20 Guillemets typographiques ouvrants. => Il se peut que lorsque vous lancez un jeu, soudainement apparaissent des boites d'erreur affichant "err 00000000". Cela est dû à OpenGL qui est mal reconnu par No$Gba sous Unix. La solution la plus rapide est de redémarrer l'émulateur et de modifier dans les options "Emulations option" puis à "3D Render" mettre "nocash" ou "none" (initialement "opengl"). | " => suggestions : ['«\xa0', '“']
20 Mot inconnu : err => Il se peut que lorsque vous lancez un jeu, soudainement apparaissent des boites d'erreur affichant "err 00000000". Cela est dû à OpenGL qui est mal reconnu par No$Gba sous Unix. La solution la plus rapide est de redémarrer l'émulateur et de modifier dans les options "Emulations option" puis à "3D Render" mettre "nocash" ou "none" (initialement "opengl"). | err
