
10 Accord de genre erroné avec « Version ». => ^ Version ^ Fonctionnel ^ <|> fonctionnel => suggestions : ['Fonctionnelle']


15 Mot inconnu : Emetteur => ^ Emetteur ^ Fonctionnel ^ Driver ^ <|> emetteur

16 Mot inconnu : glasses3d => | Relié par USB  | Oui | [[glasses3d]] | <|> glasses3d

18 Mot inconnu : glasses3d => | Interne ordinateur portable | Oui | [[glasses3d]] | <|> glasses3d


36 Mot inconnu : Stereo => Il suffit d'ajouter l'option Stereo à la section "Screen" correspondant à votre écran. <|> stereo
36 Guillemets typographiques ouvrants. => Il suffit d'ajouter l'option Stereo à la section "Screen" correspondant à votre écran. <|> " => suggestions : ['«\xa0', '“']
36 Mot inconnu : Screen => Il suffit d'ajouter l'option Stereo à la section "Screen" correspondant à votre écran. <|> screen
36 Guillemets typographiques fermants. => Il suffit d'ajouter l'option Stereo à la section "Screen" correspondant à votre écran. <|> " => suggestions : ['\xa0»', '”']

38 Mot inconnu : screen => Votre section screen devrait ressembler à ça (ne faites pas copié/collé !) : <|> screen
38 Copier-coller pour la verbe ou l’action, copié-collé (et ses variantes) pour ce qui est copié-collé. => Votre section screen devrait ressembler à ça (ne faites pas copié/collé !) : <|> copié/collé => suggestions : ['copier-coller', 'copié-collé', 'copiée-collée', 'copiés-collés', 'copiées-collées']
55 Guillemets typographiques ouvrants. =>   * [[https://forum.ubuntu-fr.org/viewtopic.php?pid=5009411|Discussion "La Stereo 3D sous Linux"]] sur le forum Ubuntu-fr <|> " => suggestions : ['«\xa0', '“']
55 Mot inconnu : Stereo =>   * [[https://forum.ubuntu-fr.org/viewtopic.php?pid=5009411|Discussion "La Stereo 3D sous Linux"]] sur le forum Ubuntu-fr <|> stereo
55 Guillemets typographiques fermants. =>   * [[https://forum.ubuntu-fr.org/viewtopic.php?pid=5009411|Discussion "La Stereo 3D sous Linux"]] sur le forum Ubuntu-fr <|> " => suggestions : ['\xa0»', '”']
56 Mot inconnu : How =>   * [[https://www.schrodinger.com/kb/1287|How do I enable hardware stereo with my NVIDIA graphics card under Linux? ]] <|> how
56 Mot inconnu : enable =>   * [[https://www.schrodinger.com/kb/1287|How do I enable hardware stereo with my NVIDIA graphics card under Linux? ]] <|> enable
56 Mot inconnu : stereo =>   * [[https://www.schrodinger.com/kb/1287|How do I enable hardware stereo with my NVIDIA graphics card under Linux? ]] <|> stereo
56 Mot inconnu : with =>   * [[https://www.schrodinger.com/kb/1287|How do I enable hardware stereo with my NVIDIA graphics card under Linux? ]] <|> with
56 Mot inconnu : my =>   * [[https://www.schrodinger.com/kb/1287|How do I enable hardware stereo with my NVIDIA graphics card under Linux? ]] <|> my
56 Mot inconnu : graphics =>   * [[https://www.schrodinger.com/kb/1287|How do I enable hardware stereo with my NVIDIA graphics card under Linux? ]] <|> graphics
56 Mot inconnu : card =>   * [[https://www.schrodinger.com/kb/1287|How do I enable hardware stereo with my NVIDIA graphics card under Linux? ]] <|> card
56 Mot inconnu : under =>   * [[https://www.schrodinger.com/kb/1287|How do I enable hardware stereo with my NVIDIA graphics card under Linux? ]] <|> under
56 Pas d’espace avant ce signe. =>   * [[https://www.schrodinger.com/kb/1287|How do I enable hardware stereo with my NVIDIA graphics card under Linux? ]] <|>  ] => suggestions : [']']
