1 Mot inconnu : OPENLDAP => ====== OPENLDAP + SAMBA + CLIENT WINDOWS 7 ====== | openldap

3 Mot inconnu : aprés => Bonjour, aprés avoir passé des nuits à se prendre la tête et quelque migraines, je veux en épargner quelques un. | aprés
3 Il manque un “s” à « quelque » ou « migraines » doit être au singulier. => Bonjour, aprés avoir passé des nuits à se prendre la tête et quelque migraines, je veux en épargner quelques un. | quelque => suggestions : ['quelques']
3 Il manque un trait d’union. => Bonjour, aprés avoir passé des nuits à se prendre la tête et quelque migraines, je veux en épargner quelques un. | quelques un => suggestions : ['quelques-uns']

5 Mot inconnu : OPENLDAP => Voici l'installation de OPENLDAP + SAMBA + CLIENT WINDOWS 7 | openldap

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Flori@n de [[http://www.blogeek.ec0.fr]] |    => suggestions : ['']
11 Mot inconnu : Flori =>   * Flori@n de [[http://www.blogeek.ec0.fr]] | flori

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * senti de [[http://progenvrac.com]] |    => suggestions : ['']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Deajan le jeu de [[http://www.badministrateur.com]] |    => suggestions : ['']
13 Mot inconnu : Deajan =>   * Deajan le jeu de [[http://www.badministrateur.com]] | deajan

22 Mot inconnu : Openldap => ===== Installation de Openldap : ===== | openldap

24 Mot inconnu : Caracteristique => Caracteristique: | caracteristique

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Nom du serveur: ec0.local |    => suggestions : ['']
25 Mot inconnu : ec0 =>   * Nom du serveur: ec0.local | ec0
25 Il manque un espace. =>   * Nom du serveur: ec0.local | local => suggestions : [' local']

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Domaine: ec0 |    => suggestions : ['']
26 Mot inconnu : ec0 =>   * Domaine: ec0 | ec0

35 Mot inconnu : Openldap => Lorsque vous avez installé Openldap, l’installateur va créer par défaut une base, par souci de clarté nous allons la supprimé. | openldap
35 Accord de genre erroné : « supprimé » est masculin. => Lorsque vous avez installé Openldap, l’installateur va créer par défaut une base, par souci de clarté nous allons la supprimé. | la => suggestions : ['le']
35 Accord de genre erroné : « la » est un déterminant féminin. => Lorsque vous avez installé Openldap, l’installateur va créer par défaut une base, par souci de clarté nous allons la supprimé. | supprimé => suggestions : ['supprimée']

39 Mot inconnu : Backup => Backup de la base par défaut : | backup

50 Mot inconnu : LDAP => Redémarrage du service LDAP : | ldap

54 Mot inconnu : LDAP => Configuration de LDAP : | ldap

56 Mot inconnu : LDAP => Depuis les nouvelles versions LDAP nous avons dorénavant la possibilité d’intégrer la configuration de notre annuaire dans une base LDAP et non plus depuis un fichier de configuration. | ldap
56 Mot inconnu : LDAP => Depuis les nouvelles versions LDAP nous avons dorénavant la possibilité d’intégrer la configuration de notre annuaire dans une base LDAP et non plus depuis un fichier de configuration. | ldap

62 Mot inconnu : ldap => Nous pouvons dorénavant modifier à chaud les schémas, le mot de passe Manager, les droits d’accès, la manière d’indexer son annuaire ldap, etc … | ldap
62 Pas d’espace avant le signe “…”. => Nous pouvons dorénavant modifier à chaud les schémas, le mot de passe Manager, les droits d’accès, la manière d’indexer son annuaire ldap, etc … |  … => suggestions : ['…']

64 Mot inconnu : NB => NB : Le backend cn=config ne sert que pour la partie configuration. | nb
64 Mot inconnu : backend => NB : Le backend cn=config ne sert que pour la partie configuration. | backend
64 Mot inconnu : cn => NB : Le backend cn=config ne sert que pour la partie configuration. | cn

67 Mot inconnu : LDAP => On va commencer par ajouter les schémas de base qui nous permettrons d’avoir un serveur LDAP fonctionnel. | ldap

78 Confusion probable. Une cour… Un cours… Adjectif : court(e). => EN COUR DE REALISATION | en cour => suggestions : ['EN COURS']
78 Mot inconnu : REALISATION => EN COUR DE REALISATION | realisation

80 Mot inconnu : LDAP => Nous allons identifier un utilisateur interne à la base LDAP, il sera nommé Manager, nous allons donc de suite configurer un mot de passe, pour des raisons des sécurités nous allons devoir au préalable hasher le mot de passe, car sinon celui-ci apparaitra en clair dans la configuration. | ldap
80 Mot inconnu : hasher => Nous allons identifier un utilisateur interne à la base LDAP, il sera nommé Manager, nous allons donc de suite configurer un mot de passe, pour des raisons des sécurités nous allons devoir au préalable hasher le mot de passe, car sinon celui-ci apparaitra en clair dans la configuration. | hasher

84 Il manque un espace à côté du tiret. => # l'option -h {SSHA} indique que nous souhaitons crypter avec le hachage SSHA |  - => suggestions : [' – ', ' — ']
84 Mot inconnu : SSHA => # l'option -h {SSHA} indique que nous souhaitons crypter avec le hachage SSHA | ssha
84 Mot inconnu : SSHA => # l'option -h {SSHA} indique que nous souhaitons crypter avec le hachage SSHA | ssha

93 Mot inconnu : template => Création de notre template de configuration : | template

95 Mot inconnu : LDAP => La création de notre configuration et la déclaration de notre base LDAP se font par le biais d’un fichier ldiff, comme pour une base LDAP traditionnelle. | ldap
95 Mot inconnu : ldiff => La création de notre configuration et la déclaration de notre base LDAP se font par le biais d’un fichier ldiff, comme pour une base LDAP traditionnelle. | ldiff
