
5 Mot inconnu : OpenRA => ====== OpenRA ====== | openra

7 Guillemets typographiques ouvrants. => "Projet **libre et gratuit de jeu de stratégie en temps réel** qui recrée les titres classiques **Command & Conquer**. | " => suggestions : ['«\xa0', '“']
7 Mot inconnu : Command => "Projet **libre et gratuit de jeu de stratégie en temps réel** qui recrée les titres classiques **Command & Conquer**. | command
7 Mot inconnu : Conquer => "Projet **libre et gratuit de jeu de stratégie en temps réel** qui recrée les titres classiques **Command & Conquer**. | conquer

8 Ce verbe ne devrait pas être au subjonctif. => Il inclue des recréations de **C&C Tiberian Dawn** (1995), **C&C Red Alert** (1996) et **Dune 2000** (remake de Dune II de 1992, premier jeu du genre !). Ce ne sont pas des copies parfaites, mais combinent le gameplay classique des originaux avec des améliorations modernes comme l'expérience des unités (vétérans) et le brouillard de guerre. | inclue => suggestions : ['incluait', 'inclura', 'inclut']
8 Mot inconnu : Tiberian => Il inclue des recréations de **C&C Tiberian Dawn** (1995), **C&C Red Alert** (1996) et **Dune 2000** (remake de Dune II de 1992, premier jeu du genre !). Ce ne sont pas des copies parfaites, mais combinent le gameplay classique des originaux avec des améliorations modernes comme l'expérience des unités (vétérans) et le brouillard de guerre. | tiberian
8 Mot inconnu : Red => Il inclue des recréations de **C&C Tiberian Dawn** (1995), **C&C Red Alert** (1996) et **Dune 2000** (remake de Dune II de 1992, premier jeu du genre !). Ce ne sont pas des copies parfaites, mais combinent le gameplay classique des originaux avec des améliorations modernes comme l'expérience des unités (vétérans) et le brouillard de guerre. | red
8 Mot inconnu : Alert => Il inclue des recréations de **C&C Tiberian Dawn** (1995), **C&C Red Alert** (1996) et **Dune 2000** (remake de Dune II de 1992, premier jeu du genre !). Ce ne sont pas des copies parfaites, mais combinent le gameplay classique des originaux avec des améliorations modernes comme l'expérience des unités (vétérans) et le brouillard de guerre. | alert

9 Mot inconnu : OpenRA => OpenRA est multi-plateforme multijoueur sous Windows, OS-X et Linux. Il inclus un certain nombre de missions solo et un mode escarmouche contre une Intelligence Artificielle."// -- traduit librement de la page d'accueil officielle (Release 20151224) // | openra
9 Conjugaison erronée. Accord avec “Il”. Le verbe devrait être à la 3ᵉ personne du singulier. => OpenRA est multi-plateforme multijoueur sous Windows, OS-X et Linux. Il inclus un certain nombre de missions solo et un mode escarmouche contre une Intelligence Artificielle."// -- traduit librement de la page d'accueil officielle (Release 20151224) // | inclus => suggestions : ['incluait', 'inclut']
9 Guillemets typographiques fermants. => OpenRA est multi-plateforme multijoueur sous Windows, OS-X et Linux. Il inclus un certain nombre de missions solo et un mode escarmouche contre une Intelligence Artificielle."// -- traduit librement de la page d'accueil officielle (Release 20151224) // | " => suggestions : ['\xa0»', '”']
9 Mot inconnu : Release => OpenRA est multi-plateforme multijoueur sous Windows, OS-X et Linux. Il inclus un certain nombre de missions solo et un mode escarmouche contre une Intelligence Artificielle."// -- traduit librement de la page d'accueil officielle (Release 20151224) // | release
9 Formatage des grands nombres. => OpenRA est multi-plateforme multijoueur sous Windows, OS-X et Linux. Il inclus un certain nombre de missions solo et un mode escarmouche contre une Intelligence Artificielle."// -- traduit librement de la page d'accueil officielle (Release 20151224) // | 20151224 => suggestions : ['20\xa0151\xa0224']

17 Mot inconnu : icone => Dans votre menu vous trouverez l'icone OpenRA, ou ouvrir le terminal et lancer la commande: | icone
17 Mot inconnu : OpenRA => Dans votre menu vous trouverez l'icone OpenRA, ou ouvrir le terminal et lancer la commande: | openra

25 Mot inconnu : abandonware => Aux États-Unis ces trois jeux ont été mis en abandonware ou freeware par Westwood Studio (Electronic Arts) et sont librement téléchargeable | abandonware
25 Mot inconnu : freeware => Aux États-Unis ces trois jeux ont été mis en abandonware ou freeware par Westwood Studio (Electronic Arts) et sont librement téléchargeable | freeware
25 Mot inconnu : Westwood => Aux États-Unis ces trois jeux ont été mis en abandonware ou freeware par Westwood Studio (Electronic Arts) et sont librement téléchargeable | westwood
25 Mot inconnu : Electronic => Aux États-Unis ces trois jeux ont été mis en abandonware ou freeware par Westwood Studio (Electronic Arts) et sont librement téléchargeable | electronic

33 Mot inconnu : release-20151224 => Traduit en plusieurs langues dont le Français, malheureusement depuis juillet 2014 et jusqu'à la version actuelle release-20151224 le programme ne s'exécute qu'en anglais (source [[https://github.com/OpenRA/OpenRA/wiki/Translation|Wiki officielle]]). Aller remuer les développeurs en leur demandant la réactivation de la localisation ! ^_^ | release-20151224
