
4 Mot inconnu : Pam => ====== Pam Blue ====== | pam
4 Mot inconnu : Blue => ====== Pam Blue ====== | blue

6 Mot inconnu : PAM => [[http://www.kernel.org/pub/linux/libs/pam/index.html|PAM (Pluggable Authentification Module)]] est le système qui permet l'authentification de chaque utilisateur sous GNU/Linux. \\ | pam
6 Mot inconnu : Pluggable => [[http://www.kernel.org/pub/linux/libs/pam/index.html|PAM (Pluggable Authentification Module)]] est le système qui permet l'authentification de chaque utilisateur sous GNU/Linux. \\ | pluggable

7 Mot inconnu : PAM => Pour plus d'information sur PAM je vous renvoie sur [[http://www-igm.univ-mlv.fr/%7Edr/XPOSE2003/augereau/2.html|l'introduction à PAM]] écrite par Sébastien Augereau. | pam
7 Mot inconnu : PAM => Pour plus d'information sur PAM je vous renvoie sur [[http://www-igm.univ-mlv.fr/%7Edr/XPOSE2003/augereau/2.html|l'introduction à PAM]] écrite par Sébastien Augereau. | pam
7 Mot inconnu : Augereau => Pour plus d'information sur PAM je vous renvoie sur [[http://www-igm.univ-mlv.fr/%7Edr/XPOSE2003/augereau/2.html|l'introduction à PAM]] écrite par Sébastien Augereau. | augereau

14 Mot inconnu : bluetooth => Le but de cette page est d'utiliser un appareil bluetooth (un téléphone par exemple) pour vous identifier à votre session, ainsi vous n'aurez plus besoin de taper votre mot de passe à chaque connexion mais uniquement votre nom d'utilisateur. | bluetooth

16 Mot inconnu : PAM => <note importante>N'utilisez pas **PAM Blue** pour vous connectez si vous avez des données sensibles sur votre ordinateur. \\ | pam
16 Mot inconnu : Blue => <note importante>N'utilisez pas **PAM Blue** pour vous connectez si vous avez des données sensibles sur votre ordinateur. \\ | blue
16 Après la préposition “pour”, le verbe devrait probablement être à l’infinitif. => <note importante>N'utilisez pas **PAM Blue** pour vous connectez si vous avez des données sensibles sur votre ordinateur. \\ | connectez => suggestions : ['connecter']

17 Mot inconnu : PAM => **PAM Blue** utilise comme moyen d'identification le nom du périphérique bluetooth ainsi que son adresse MAC. Or une adresse MAC peut être modifiée par différents moyens plus ou moins complexes. Ce serait bête qu'une personne accède à votre ordinateur en contournant votre mot de passe grâce à son téléphone portable.</note> | pam
17 Mot inconnu : Blue => **PAM Blue** utilise comme moyen d'identification le nom du périphérique bluetooth ainsi que son adresse MAC. Or une adresse MAC peut être modifiée par différents moyens plus ou moins complexes. Ce serait bête qu'une personne accède à votre ordinateur en contournant votre mot de passe grâce à son téléphone portable.</note> | blue
