
5 Mot inconnu : PDF-Mod => ====== PDF-Mod ====== | pdf-mod

7 Mot inconnu : PDF-Mod => <note important>PDF-Mod n'est plus maintenu, la dernière version (0.9.1) date de mars 2011. Il est cependant toujours dans les dépôts (c'est au moins le cas jusqu'à la 21.04).</note> | pdf-mod

8 Mot inconnu : PDF-Mod => **PDF-Mod** est un logiciel permettant d'effectuer diverses modifications de PDF :  | pdf-mod
8 Espace(s) en fin de ligne à supprimer. => **PDF-Mod** est un logiciel permettant d'effectuer diverses modifications de PDF :  |   => suggestions : ['']

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * réorganiser, tourner, combiner et supprimer des pages dans un PDF. |    => suggestions : ['']

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * exporter des images,  |    => suggestions : ['']
10 Espace(s) en fin de ligne à supprimer. =>   * exporter des images,  |   => suggestions : ['']

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * modifier les **"metadata"** (titre, sujet, références auteur, mots-clés, table des matières). |    => suggestions : ['']
11 Guillemets typographiques ouvrants. =>   * modifier les **"metadata"** (titre, sujet, références auteur, mots-clés, table des matières). | " => suggestions : ['«\xa0', '“']
11 Mot inconnu : metadata =>   * modifier les **"metadata"** (titre, sujet, références auteur, mots-clés, table des matières). | metadata
11 Guillemets typographiques fermants. =>   * modifier les **"metadata"** (titre, sujet, références auteur, mots-clés, table des matières). | " => suggestions : ['\xa0»', '”']
15 Mot inconnu : pdfarranger => Ce logiciel est assez similaire à [[pdfshuffler|pdfshuffler]] et à son fork pdfarranger. | pdfarranger

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

27 Guillemets typographiques ouvrants. => Ensuite, cliquez sur l'icône "Ouvre un document" pour charger le ou les PDF à modifier. Un clic-droit sur une page permet d'y effectuer diverses opérations. \\  | " => suggestions : ['«\xa0', '“']
27 Guillemets typographiques fermants. => Ensuite, cliquez sur l'icône "Ouvre un document" pour charger le ou les PDF à modifier. Un clic-droit sur une page permet d'y effectuer diverses opérations. \\  | " => suggestions : ['\xa0»', '”']
27 Espace(s) en fin de ligne à supprimer. => Ensuite, cliquez sur l'icône "Ouvre un document" pour charger le ou les PDF à modifier. Un clic-droit sur une page permet d'y effectuer diverses opérations. \\  |   => suggestions : ['']
29 Mot inconnu : PDF-Mod => Remarque : si PDF-Mod refuse d'ouvrir votre pdf, vous pouvez tenter de modifier votre fichier en en réduisant la taille, en tapant la commande dans un terminal : | pdf-mod

31 Mot inconnu : fichier_reduit => Le fichier obtenu fichier_reduit.pdf s'ouvre alors avec PDF-Mod. | fichier_reduit
31 Mot inconnu : PDF-Mod => Le fichier obtenu fichier_reduit.pdf s'ouvre alors avec PDF-Mod. | pdf-mod

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://wiki.gnome.org/Attic/PdfMod|Le wiki Gnome]] |    => suggestions : ['']

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * portail [[PDF]] |    => suggestions : ['']
