
5 Mot inconnu : PhpDocumentor => ====== PhpDocumentor ====== | phpdocumentor

10 Mot inconnu : PhpDocumentor => PhpDocumentor permet de générer la documentation des codes sources PHP. | phpdocumentor

16 Mot inconnu : Pear => ==== Via Pear ==== | pear

18 Mot inconnu : Pear => === Installation de Pear === | pear
22 Mot inconnu : php5-dev => Conseil, installez également le paquet [[apt://php5-dev]] | php5-dev
26 Mot inconnu : php-pear => On peut maintenant passer à l'installation de [[apt://php-pear]] | php-pear

30 Mot inconnu : PhpDocumentor => === Installation de PhpDocumentor === | phpdocumentor

32 Mot inconnu : PhpDocumentor => Avant l'installation de PhpDocumentor il faut indiquer à Pear où installer le contenu, sous Ubuntu, apache recherche du contenu web dans le dossier **/var/www** par défaut, nous allons donc donner cette indication à Pear : | phpdocumentor
32 Mot inconnu : Pear => Avant l'installation de PhpDocumentor il faut indiquer à Pear où installer le contenu, sous Ubuntu, apache recherche du contenu web dans le dossier **/var/www** par défaut, nous allons donc donner cette indication à Pear : | pear
32 Mot inconnu : Pear => Avant l'installation de PhpDocumentor il faut indiquer à Pear où installer le contenu, sous Ubuntu, apache recherche du contenu web dans le dossier **/var/www** par défaut, nous allons donc donner cette indication à Pear : | pear

36 Mot inconnu : PhpDocumentor => Installation de PhpDocumentor à proprement parler : | phpdocumentor

43 Mot inconnu : PhpDocumentor => Nous allons indiquer l'emplacement par défaut des documents générés par PhpDocumentor. Comme la plupart, vous souhaiterez générer cette documentation au format HTML, il est donc judicieux de définir cet emplacement dans **/var/www** également, créons donc ce répertoire | phpdocumentor
56 Mot inconnu : PhpDocumentor => Rendez-vous sur l'adresse suivante : [[http://127.0.0.1/PhpDocumentor]], vous devriez accéder à l'interface de PhpDocumentor (cela permet de vérifier l'installation d'une certaine façon ;-)) | phpdocumentor
