
4 Mot inconnu : CAPT => ====== Installer le pilote d'imprimantes Canon CAPT alternatif ====== | capt

5 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

8 Mot inconnu : lbp => Ce pilote a été développé par rétro-ingénierie pour remédier à la faible qualité du pilote actuellement fourni par Canon pour les lbp. | lbp

9 Mot inconnu : LBP2900 => Il est encore au stade de développement mais fonctionne correctement, essentiellement avec la LBP2900. Les autres restent à tester. | lbp2900

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avoir accès à internet, |    => suggestions : ['']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avoir installé [[compilation|les outils de compilation]]. |    => suggestions : ['']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Clonez le dépôt git : <code bash>git clone https://github.com/agalakhov/captdriver.git</code> |    => suggestions : ['']

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Déplacez vous dans le dossier téléchargé : <code bash>cd captdriver</code> |    => suggestions : ['']
18 Forme interrogative ? Mettez un trait d’union. =>   * Déplacez vous dans le dossier téléchargé : <code bash>cd captdriver</code> | déplacez vous => suggestions : ['Déplacez-vous']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

28 Mot inconnu : LBP-2900 => Dans la liste des pilotes choisissez le pilote indiqué comme Canon LBP-2900 CAPT GDI. Il peut arriver que certaines imprimantes donnent l'erreur ''Rendering completed'', dans ce cas il vous suffit de redémarrer votre imprimante. | lbp-2900
28 Mot inconnu : CAPT => Dans la liste des pilotes choisissez le pilote indiqué comme Canon LBP-2900 CAPT GDI. Il peut arriver que certaines imprimantes donnent l'erreur ''Rendering completed'', dans ce cas il vous suffit de redémarrer votre imprimante. | capt
28 Mot inconnu : GDI => Dans la liste des pilotes choisissez le pilote indiqué comme Canon LBP-2900 CAPT GDI. Il peut arriver que certaines imprimantes donnent l'erreur ''Rendering completed'', dans ce cas il vous suffit de redémarrer votre imprimante. | gdi
28 Guillemets typographiques ouvrants. => Dans la liste des pilotes choisissez le pilote indiqué comme Canon LBP-2900 CAPT GDI. Il peut arriver que certaines imprimantes donnent l'erreur ''Rendering completed'', dans ce cas il vous suffit de redémarrer votre imprimante. | '' => suggestions : ['«\xa0', '“']
28 Mot inconnu : Rendering => Dans la liste des pilotes choisissez le pilote indiqué comme Canon LBP-2900 CAPT GDI. Il peut arriver que certaines imprimantes donnent l'erreur ''Rendering completed'', dans ce cas il vous suffit de redémarrer votre imprimante. | rendering
28 Mot inconnu : completed => Dans la liste des pilotes choisissez le pilote indiqué comme Canon LBP-2900 CAPT GDI. Il peut arriver que certaines imprimantes donnent l'erreur ''Rendering completed'', dans ce cas il vous suffit de redémarrer votre imprimante. | completed
28 Guillemets typographiques fermants. => Dans la liste des pilotes choisissez le pilote indiqué comme Canon LBP-2900 CAPT GDI. Il peut arriver que certaines imprimantes donnent l'erreur ''Rendering completed'', dans ce cas il vous suffit de redémarrer votre imprimante. | '' => suggestions : ['\xa0»', '”']
