
4 Mot inconnu : Planeshift => ====== Planeshift ====== | planeshift

7 Mot inconnu : PlaneShift => **PlaneShift** est un MMORPG en cours de développement au stade de "tech demo". Autrement dit, vous pouvez jouer sans soucis, en gardant à l'esprit qu'il est tout à fait normal d'y trouver des bugs.  | planeshift
7 Mot inconnu : MMORPG => **PlaneShift** est un MMORPG en cours de développement au stade de "tech demo". Autrement dit, vous pouvez jouer sans soucis, en gardant à l'esprit qu'il est tout à fait normal d'y trouver des bugs.  | mmorpg
7 Guillemets typographiques ouvrants. => **PlaneShift** est un MMORPG en cours de développement au stade de "tech demo". Autrement dit, vous pouvez jouer sans soucis, en gardant à l'esprit qu'il est tout à fait normal d'y trouver des bugs.  | " => suggestions : ['«\xa0', '“']
7 Mot inconnu : demo => **PlaneShift** est un MMORPG en cours de développement au stade de "tech demo". Autrement dit, vous pouvez jouer sans soucis, en gardant à l'esprit qu'il est tout à fait normal d'y trouver des bugs.  | demo
7 Guillemets typographiques fermants. => **PlaneShift** est un MMORPG en cours de développement au stade de "tech demo". Autrement dit, vous pouvez jouer sans soucis, en gardant à l'esprit qu'il est tout à fait normal d'y trouver des bugs.  | " => suggestions : ['\xa0»', '”']
7 Espace(s) en fin de ligne à supprimer. => **PlaneShift** est un MMORPG en cours de développement au stade de "tech demo". Autrement dit, vous pouvez jouer sans soucis, en gardant à l'esprit qu'il est tout à fait normal d'y trouver des bugs.  |   => suggestions : ['']

9 Mot inconnu : Wikipedia => Selon Wikipedia, « Bien que le jeu soit libre et basé sur le moteur libre Crystal Space, Atomic Blue le publie sous une licence propriétaire. » | wikipedia
9 Mot inconnu : Crystal => Selon Wikipedia, « Bien que le jeu soit libre et basé sur le moteur libre Crystal Space, Atomic Blue le publie sous une licence propriétaire. » | crystal
9 Mot inconnu : Space => Selon Wikipedia, « Bien que le jeu soit libre et basé sur le moteur libre Crystal Space, Atomic Blue le publie sous une licence propriétaire. » | space
9 Mot inconnu : Atomic => Selon Wikipedia, « Bien que le jeu soit libre et basé sur le moteur libre Crystal Space, Atomic Blue le publie sous une licence propriétaire. » | atomic
9 Mot inconnu : Blue => Selon Wikipedia, « Bien que le jeu soit libre et basé sur le moteur libre Crystal Space, Atomic Blue le publie sous une licence propriétaire. » | blue

