
3 Mot inconnu : PO4A => ====== PO4A : PO for Anything ====== | po4a
3 Mot inconnu : Anything => ====== PO4A : PO for Anything ====== | anything

8 Mot inconnu : Po4a => Po4a, acronyme de "PO 4 (for) Anything" est un programme d'aide à la traduction et à la maintenance des traductions de logiciels et de documents. | po4a
8 Guillemets typographiques ouvrants. => Po4a, acronyme de "PO 4 (for) Anything" est un programme d'aide à la traduction et à la maintenance des traductions de logiciels et de documents. | " => suggestions : ['«\xa0', '“']
8 Mot inconnu : Anything => Po4a, acronyme de "PO 4 (for) Anything" est un programme d'aide à la traduction et à la maintenance des traductions de logiciels et de documents. | anything
8 Guillemets typographiques fermants. => Po4a, acronyme de "PO 4 (for) Anything" est un programme d'aide à la traduction et à la maintenance des traductions de logiciels et de documents. | " => suggestions : ['\xa0»', '”']

16 Mot inconnu : po4a => po4a est capable de faire des mises à jour des fichiers POT, PO, et de la traduction uniquement pour les fichiers qui le nécessitent (à la façon de make), en fonction des modifications des fichiers source et des fichiers PO : | po4a
16 Mot inconnu : make => po4a est capable de faire des mises à jour des fichiers POT, PO, et de la traduction uniquement pour les fichiers qui le nécessitent (à la façon de make), en fonction des modifications des fichiers source et des fichiers PO : | make
24 Mot inconnu : gettext => En ligne de commande. Le programme est écrit en Perl et utilise les outils [[apt>gettext]].  | gettext
24 Espace(s) en fin de ligne à supprimer. => En ligne de commande. Le programme est écrit en Perl et utilise les outils [[apt>gettext]].  |   => suggestions : ['']

33 Mot inconnu : po4a => La commande la plus utile est po4a ! | po4a

34 Guillemets typographiques ouvrants. => Les autres sont "chapeautées" par po4a, autant s'en passer pour un usage basique ! | " => suggestions : ['«\xa0', '“']
34 Guillemets typographiques fermants. => Les autres sont "chapeautées" par po4a, autant s'en passer pour un usage basique ! | " => suggestions : ['\xa0»', '”']
34 Mot inconnu : po4a => Les autres sont "chapeautées" par po4a, autant s'en passer pour un usage basique ! | po4a

39 Mot inconnu : TCL => # Manuels (man), C/C++, C#, JAVA, PERL, PHP, Python, TCL,Glade, SGML, XML, ... | tcl
39 Il manque un espace. => # Manuels (man), C/C++, C#, JAVA, PERL, PHP, Python, TCL,Glade, SGML, XML, ... | glade => suggestions : [' Glade']
39 Mot inconnu : Glade => # Manuels (man), C/C++, C#, JAVA, PERL, PHP, Python, TCL,Glade, SGML, XML, ... | glade
39 Mot inconnu : SGML => # Manuels (man), C/C++, C#, JAVA, PERL, PHP, Python, TCL,Glade, SGML, XML, ... | sgml
39 Une de ces ponctuations est superflue. => # Manuels (man), C/C++, C#, JAVA, PERL, PHP, Python, TCL,Glade, SGML, XML, ... | , . => suggestions : [',', '.']
39 Typographie : points de suspension. Utilisez le caractère dédié. => # Manuels (man), C/C++, C#, JAVA, PERL, PHP, Python, TCL,Glade, SGML, XML, ... | ... => suggestions : ['…']

68 Guillemets typographiques ouvrants. => Le fichier de configuration "po4a.cfg" indique à po4a : | " => suggestions : ['«\xa0', '“']
68 Mot inconnu : po4a => Le fichier de configuration "po4a.cfg" indique à po4a : | po4a
68 Mot inconnu : cfg => Le fichier de configuration "po4a.cfg" indique à po4a : | cfg
68 Guillemets typographiques fermants. => Le fichier de configuration "po4a.cfg" indique à po4a : | " => suggestions : ['\xa0»', '”']
68 Mot inconnu : po4a => Le fichier de configuration "po4a.cfg" indique à po4a : | po4a
72 Espace(s) surnuméraire(s) à supprimer. => LES SEULS FICHIERS À MODIFIER (traduire) SERONT LES *po ! Tous les autres (*.pot,  *xml d'origine et de départ) ne doivent pas être édités ! |    => suggestions : [' ']
72 Mot inconnu : xml => LES SEULS FICHIERS À MODIFIER (traduire) SERONT LES *po ! Tous les autres (*.pot,  *xml d'origine et de départ) ne doivent pas être édités ! | xml

77 Mot inconnu : po4a => Nous décrirons les deux plus utiles, cf le manuel de po4a pour les autres. De toutes façon, elles ne sont pas indispensables pour un usage basique. | po4a
77 Accord avec “façon”. => Nous décrirons les deux plus utiles, cf le manuel de po4a pour les autres. De toutes façon, elles ne sont pas indispensables pour un usage basique. | toutes => suggestions : ['toute']
77 Accord avec “toutes” : “façon” devrait être au féminin pluriel. => Nous décrirons les deux plus utiles, cf le manuel de po4a pour les autres. De toutes façon, elles ne sont pas indispensables pour un usage basique. | façon => suggestions : ['façons']

79 Mot inconnu : po4a => Indique à po4a le pourcentage exigible de traduction dans le ou les fichiers PO (*.po) pour que les documents de traduction soient créés : par défaut 80%. | po4a

82 Mot inconnu : po4a => Au moins pour tester le fonctionnement, il peut être utile d'obliger po4a à traduire même sans aucune traduction faite (chaque ligne du fichier PO conservera alors la phrase dans la langue d'origine, sans aucune traduction). | po4a

86 Mot inconnu : po4a => Indique à po4a de se limiter à la création ou la mise à jour des fichiers POT (*.pot) et PO (*.po), sans créer le ou les documents traduits. | po4a

88 Guillemets typographiques ouvrants. => ===== Mode "splitted" ou mode "single" ?===== | " => suggestions : ['«\xa0', '“']
88 Mot inconnu : splitted => ===== Mode "splitted" ou mode "single" ?===== | splitted
88 Guillemets typographiques fermants. => ===== Mode "splitted" ou mode "single" ?===== | " => suggestions : ['\xa0»', '”']
