
4 Mot inconnu : Project => ====== Project 64  ====== <|> project
4 Espace(s) surnuméraire(s) à supprimer. => ====== Project 64  ====== <|>    => suggestions : [' ']

7 Mot inconnu : Project64 => Project64 (communément abrégé PJ64) est un émulateur libre pour la console Nintendo 64. A l'heure actuelle, il s'agit du plus puissant émulateur pour cette console. Il n'est néanmoins pas disponible nativement sous Ubuntu. <|> project64
7 Mot inconnu : PJ64 => Project64 (communément abrégé PJ64) est un émulateur libre pour la console Nintendo 64. A l'heure actuelle, il s'agit du plus puissant émulateur pour cette console. Il n'est néanmoins pas disponible nativement sous Ubuntu. <|> pj64
7 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => Project64 (communément abrégé PJ64) est un émulateur libre pour la console Nintendo 64. A l'heure actuelle, il s'agit du plus puissant émulateur pour cette console. Il n'est néanmoins pas disponible nativement sous Ubuntu. <|> a => suggestions : ['À']

10 Mot inconnu : Wine => Installez Wine et vos drivers graphiques. Intallez ensuite la version que vous voulez. La version 1.6 tourne parfaitement. <|> wine
10 Mot inconnu : Intallez => Installez Wine et vos drivers graphiques. Intallez ensuite la version que vous voulez. La version 1.6 tourne parfaitement. <|> intallez

17 Guillemets typographiques ouvrants. => <note help>Le nom de ma rom est "bad rom! [...]"</note> <|> " => suggestions : ['«\xa0', '“']
17 Typographie : points de suspension. Utilisez le caractère dédié. => <note help>Le nom de ma rom est "bad rom! [...]"</note> <|> ... => suggestions : ['…']

18 Mot inconnu : Checksum => <note important> Checksum erroné. Retelechargez une autre rom. Verifiez que [!] (dump parfait) apparait a la fin du nom de fichier</note> <|> checksum
18 Mot inconnu : Retelechargez => <note important> Checksum erroné. Retelechargez une autre rom. Verifiez que [!] (dump parfait) apparait a la fin du nom de fichier</note> <|> retelechargez
18 Mot inconnu : Verifiez => <note important> Checksum erroné. Retelechargez une autre rom. Verifiez que [!] (dump parfait) apparait a la fin du nom de fichier</note> <|> verifiez
18 Mot inconnu : dump => <note important> Checksum erroné. Retelechargez une autre rom. Verifiez que [!] (dump parfait) apparait a la fin du nom de fichier</note> <|> dump

20 Confusion. Ce qui est dû. => Bugs du a wine: <|> du => suggestions : ['dû']
20 Mot inconnu : wine => Bugs du a wine: <|> wine
