
5 Mot inconnu : Project => ====== Project IGI ====== | project
5 Mot inconnu : IGI => ====== Project IGI ====== | igi

11 Mot inconnu : Project => Project I.G.I. (titre anglais : Project I.G.I.: I'm Going In) est un jeu vidéo d'infiltration en vue subjective sorti en décembre 2000 sur PC. Le jeu a été développé par Innerloop Studios et édité par Eidos Interactive. | project
11 Sigle. Il est recommandé d’ôter les points pour les sigles. => Project I.G.I. (titre anglais : Project I.G.I.: I'm Going In) est un jeu vidéo d'infiltration en vue subjective sorti en décembre 2000 sur PC. Le jeu a été développé par Innerloop Studios et édité par Eidos Interactive. | i.g.i. => suggestions : ['IGI']
11 Mot inconnu : Project => Project I.G.I. (titre anglais : Project I.G.I.: I'm Going In) est un jeu vidéo d'infiltration en vue subjective sorti en décembre 2000 sur PC. Le jeu a été développé par Innerloop Studios et édité par Eidos Interactive. | project
11 Sigle. Il est recommandé d’ôter les points pour les sigles. => Project I.G.I. (titre anglais : Project I.G.I.: I'm Going In) est un jeu vidéo d'infiltration en vue subjective sorti en décembre 2000 sur PC. Le jeu a été développé par Innerloop Studios et édité par Eidos Interactive. | i.g.i. => suggestions : ['IGI']
11 Mot inconnu : I'm => Project I.G.I. (titre anglais : Project I.G.I.: I'm Going In) est un jeu vidéo d'infiltration en vue subjective sorti en décembre 2000 sur PC. Le jeu a été développé par Innerloop Studios et édité par Eidos Interactive. | i'm
11 Mot inconnu : Going => Project I.G.I. (titre anglais : Project I.G.I.: I'm Going In) est un jeu vidéo d'infiltration en vue subjective sorti en décembre 2000 sur PC. Le jeu a été développé par Innerloop Studios et édité par Eidos Interactive. | going
11 Mot inconnu : Innerloop => Project I.G.I. (titre anglais : Project I.G.I.: I'm Going In) est un jeu vidéo d'infiltration en vue subjective sorti en décembre 2000 sur PC. Le jeu a été développé par Innerloop Studios et édité par Eidos Interactive. | innerloop
11 Mot inconnu : Eidos => Project I.G.I. (titre anglais : Project I.G.I.: I'm Going In) est un jeu vidéo d'infiltration en vue subjective sorti en décembre 2000 sur PC. Le jeu a été développé par Innerloop Studios et édité par Eidos Interactive. | eidos

13 Accord de nombre erroné : « qualité » devrait être au pluriel. => Le jeu est un précurseur en matière de jeu vidéo ultra réaliste notamment sur les armes et les situations de combat, il s'est fait remarquer par sa difficulté de jeu et par ses qualité graphiques utilisant parfaitement la profondeur de champ de vision permise par l'utilisation d'un moteur 3D de simulateur d'avion développé précédemment par Innerloop pour Joint Strike Fighter. | qualité => suggestions : ['qualités']
13 Mot inconnu : Innerloop => Le jeu est un précurseur en matière de jeu vidéo ultra réaliste notamment sur les armes et les situations de combat, il s'est fait remarquer par sa difficulté de jeu et par ses qualité graphiques utilisant parfaitement la profondeur de champ de vision permise par l'utilisation d'un moteur 3D de simulateur d'avion développé précédemment par Innerloop pour Joint Strike Fighter. | innerloop
13 Mot inconnu : Fighter => Le jeu est un précurseur en matière de jeu vidéo ultra réaliste notamment sur les armes et les situations de combat, il s'est fait remarquer par sa difficulté de jeu et par ses qualité graphiques utilisant parfaitement la profondeur de champ de vision permise par l'utilisation d'un moteur 3D de simulateur d'avion développé précédemment par Innerloop pour Joint Strike Fighter. | fighter

21 Mot inconnu : Project => Pour installer Project IGI, insérer votre CD dans votre lecteur et allez à la racine du CD : | project
21 Mot inconnu : IGI => Pour installer Project IGI, insérer votre CD dans votre lecteur et allez à la racine du CD : | igi

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     cd /media/cdrom0 |      => suggestions : ['']
23 Mot inconnu : cdrom0 =>     cd /media/cdrom0 | cdrom0

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     wine autorun.exe |      => suggestions : ['']
27 Mot inconnu : wine =>     wine autorun.exe | wine
27 Mot inconnu : autorun =>     wine autorun.exe | autorun
27 Mot inconnu : exe =>     wine autorun.exe | exe

29 Mot inconnu : Project => Poursuivez l'installation avec Project IGI.  | project
29 Mot inconnu : IGI => Poursuivez l'installation avec Project IGI.  | igi
29 Espace(s) en fin de ligne à supprimer. => Poursuivez l'installation avec Project IGI.  |   => suggestions : ['']

31 Espace(s) surnuméraire(s) à supprimer. => Une fois le jeu installé,  il ne vous reste plus qu'à lancer le jeu de cette manière : |    => suggestions : [' ']

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     cd ~/.wine/drive_c/Program\ Files/Eidos\ Interactive/Project\ IGI/pc/ |      => suggestions : ['']
