1 Mot inconnu : FPH => ====== Réunion à la FPH le 16 septembre 2009 ====== | fph
4 Mot inconnu : YoBoY => //Présents : Olive, YoBoY, François, Vincent-Xavier// | yoboy

11 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => un testeur et un animateur. Le rôle de l'animateur est de poser les questions | un => suggestions : ['Un']

12 Accord de nombre erroné : « procédures » devrait être au singulier. => telles que renseignées dans la procédures, et éventuellement de montrer la "solution" | procédures => suggestions : ['procédure']
12 Guillemets typographiques ouvrants. => telles que renseignées dans la procédures, et éventuellement de montrer la "solution" | " => suggestions : ['«\xa0', '“']
12 Guillemets typographiques fermants. => telles que renseignées dans la procédures, et éventuellement de montrer la "solution" | " => suggestions : ['\xa0»', '”']

13 Confusion. La conjonction “ou” signale une alternative. Pour évoquer un lieu, un temps ou une situation, écrivez “où”. => au testeur dans le cas ou il ne trouve pas une tache bloquante. | ou => suggestions : ['où']

17 Mot inconnu : VNC => Du point de vue technique, olive a proposé l'utilisation de VNC pour monitorer et  | vnc
17 Espace(s) en fin de ligne à supprimer. => Du point de vue technique, olive a proposé l'utilisation de VNC pour monitorer et  |   => suggestions : ['']

18 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => enregistrer les actions des testeurs. De plus, il proposait de réaliser une clef USB  | enregistrer => suggestions : ['Enregistrer']
18 Espace(s) en fin de ligne à supprimer. => enregistrer les actions des testeurs. De plus, il proposait de réaliser une clef USB  |   => suggestions : ['']

19 Mot inconnu : bootable => bootable (ou un boot réseau avec / sur clef USB) pour fournir à tous les testeurs les  | bootable
19 Mot inconnu : boot => bootable (ou un boot réseau avec / sur clef USB) pour fournir à tous les testeurs les  | boot
19 Espace(s) en fin de ligne à supprimer. => bootable (ou un boot réseau avec / sur clef USB) pour fournir à tous les testeurs les  |   => suggestions : ['']

20 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => mêmes conditions. L'autre solution évoquée est le déploiement d'une image disque sur  | mêmes => suggestions : ['Mêmes']
20 Espace(s) en fin de ligne à supprimer. => mêmes conditions. L'autre solution évoquée est le déploiement d'une image disque sur  |   => suggestions : ['']

23 Mot inconnu : événnement => Nous avons arbitrairement arrêté la date du 25 octobre pour cet événnement, la sortie  | événnement
23 Espace(s) en fin de ligne à supprimer. => Nous avons arbitrairement arrêté la date du 25 octobre pour cet événnement, la sortie  |   => suggestions : ['']

24 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => de la RC étant le 22 et la sortie définitive le 29. Ceci nous permettra donc d'utiliser  | de => suggestions : ['De']
24 Mot inconnu : RC => de la RC étant le 22 et la sortie définitive le 29. Ceci nous permettra donc d'utiliser  | rc
24 Espace(s) en fin de ligne à supprimer. => de la RC étant le 22 et la sortie définitive le 29. Ceci nous permettra donc d'utiliser  |   => suggestions : ['']

25 Mot inconnu : Karmic => Karmic Koala. En cas d'impossibilité, on prendra la date du 18/10 | karmic
71 Mot inconnu : ii => (ex : ouvrir le navigateur VS ouvrir Firefox), et (ii) influence de | ii
74 Mot inconnu : check => difficulté croissante ? Faire des check point, noter l'heure. | check

80 Mot inconnu : Oops => pour Oops). | oops

85 Mot inconnu : msn => d'informations perso (compte msn, etc.). | msn
