
4 Mot inconnu : SETPWC => ====== SETPWC : utilitaire pour webcams Philips====== | setpwc
4 Mot inconnu : Philips => ====== SETPWC : utilitaire pour webcams Philips====== | philips

6 Mot inconnu : Philips => Pour profiter pleinement de votre webcam Philips, ou de celles qui utilisent le pilote PWC, il existe un utilitaire **setpwc** qui permet de configurer finement votre webcam. | philips
6 Mot inconnu : PWC => Pour profiter pleinement de votre webcam Philips, ou de celles qui utilisent le pilote PWC, il existe un utilitaire **setpwc** qui permet de configurer finement votre webcam. | pwc
6 Mot inconnu : setpwc => Pour profiter pleinement de votre webcam Philips, ou de celles qui utilisent le pilote PWC, il existe un utilitaire **setpwc** qui permet de configurer finement votre webcam. | setpwc

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avoir une webcam avec une id de 0471 que renvoie la commande ''lsusb''.  |    => suggestions : ['']
12 Guillemets typographiques ouvrants. =>   * Avoir une webcam avec une id de 0471 que renvoie la commande ''lsusb''.  | '' => suggestions : ['«\xa0', '“']
12 Mot inconnu : lsusb =>   * Avoir une webcam avec une id de 0471 que renvoie la commande ''lsusb''.  | lsusb
12 Guillemets typographiques fermants. =>   * Avoir une webcam avec une id de 0471 que renvoie la commande ''lsusb''.  | '' => suggestions : ['\xa0»', '”']
12 Espace(s) en fin de ligne à supprimer. =>   * Avoir une webcam avec une id de 0471 que renvoie la commande ''lsusb''.  |   => suggestions : ['']

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

50 Dialogues et énumérations : il faut tiret cadratin [1] ou demi-cadratin [2] suivi d’un espace insécable. => -h	this help</code> | - => suggestions : ['—\xa0', '–\xa0']
50 Mot inconnu : this => -h	this help</code> | this
50 Mot inconnu : help => -h	this help</code> | help

54 Mot inconnu : Logitech => Par exemple pour une Logitech Quickam PRO 4000 : | logitech
54 Mot inconnu : Quickam => Par exemple pour une Logitech Quickam PRO 4000 : | quickam

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

67 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']
