
3 Mot inconnu : QMC2 => ====== QMC2 ====== | qmc2

14 Mot inconnu : QMC2 => Pour installer QMC2: | qmc2

20 Mot inconnu : QMC2 => L'installation de QMC2 installera automatiquement MAME, MESS ou UME si vous ne l'avez pas déjà fait. | qmc2
20 Mot inconnu : MAME => L'installation de QMC2 installera automatiquement MAME, MESS ou UME si vous ne l'avez pas déjà fait. | mame
20 Mot inconnu : UME => L'installation de QMC2 installera automatiquement MAME, MESS ou UME si vous ne l'avez pas déjà fait. | ume

24 Mot inconnu : QMC2-Mame => Lors du premier lancement de QMC2-Mame, le logiciel vous demandera d'indiquer le chemin de l'exécutable Mame et le chemin de vos Roms.  | qmc2-mame
24 Mot inconnu : Mame => Lors du premier lancement de QMC2-Mame, le logiciel vous demandera d'indiquer le chemin de l'exécutable Mame et le chemin de vos Roms.  | mame
24 Espace(s) en fin de ligne à supprimer. => Lors du premier lancement de QMC2-Mame, le logiciel vous demandera d'indiquer le chemin de l'exécutable Mame et le chemin de vos Roms.  |   => suggestions : ['']

29 Il manque un espace à côté du tiret. => ln -s /usr/games/mame /usr/bin/sdlmame |  - => suggestions : [' – ', ' — ']

31 Mot inconnu : Mame => ==== Exécutable Mame ==== | mame

32 Mot inconnu : Mame => Vous pouvez configurer le chemin de l'exécutable Mame dans le menu outil->options->emulateur->Fichiers/Répertoires. Le chemin de l'exécutable est : | mame
32 Mot inconnu : emulateur => Vous pouvez configurer le chemin de l'exécutable Mame dans le menu outil->options->emulateur->Fichiers/Répertoires. Le chemin de l'exécutable est : | emulateur

37 Mot inconnu : Emulateur => Si vous voulez modifier le chemin du répertoire contenant les Roms, allez dans le menu //Outil -> Options -> Emulateur -> Configuration Globale -> Répertoire de recherche -> Rom path // \\  | emulateur
37 Mot inconnu : path => Si vous voulez modifier le chemin du répertoire contenant les Roms, allez dans le menu //Outil -> Options -> Emulateur -> Configuration Globale -> Répertoire de recherche -> Rom path // \\  | path
37 Espace(s) en fin de ligne à supprimer. => Si vous voulez modifier le chemin du répertoire contenant les Roms, allez dans le menu //Outil -> Options -> Emulateur -> Configuration Globale -> Répertoire de recherche -> Rom path // \\  |   => suggestions : ['']
41 Mot inconnu : Frontend => Pensez à activer votre joystick ! Dans le menu // Outil -> Options -> Frontend -> Joystick// cochez la case "Active le contrôle du Joystick", puis choisissez votre joystick dans la liste déroulante. | frontend
41 Guillemets typographiques ouvrants. => Pensez à activer votre joystick ! Dans le menu // Outil -> Options -> Frontend -> Joystick// cochez la case "Active le contrôle du Joystick", puis choisissez votre joystick dans la liste déroulante. | " => suggestions : ['«\xa0', '“']
41 Guillemets typographiques fermants. => Pensez à activer votre joystick ! Dans le menu // Outil -> Options -> Frontend -> Joystick// cochez la case "Active le contrôle du Joystick", puis choisissez votre joystick dans la liste déroulante. | " => suggestions : ['\xa0»', '”']

43 Espace(s) en fin de ligne à supprimer. => Dans ce menu, vous pourrez également calibrer votre joystick, et surtout le tester. Le tester vous permettra de connaître le nom des boutons de votre manette.  |   => suggestions : ['']

45 Mot inconnu : TAB => A titre de rappel, la définition des touches se fait durant le jeu en appuyant sur la touche TAB. | tab

46 Mot inconnu : Game => ==== Configuration In Game ==== | game

47 Mot inconnu : mame => À titre de rappel, la plupart des configurations (attributions des touches, etc.) se font durant le jeu. Consultez la page [[mame#configuration_mame_in_game|Mame]] pour plus d'information. | mame
