
12 Mot inconnu : iptables => ==== iptables ==== | iptables

16 Mot inconnu : wondershaper => ==== wondershaper ==== | wondershaper

35 Guillemets typographiques ouvrants. => Mesurez votre bande passante sur un site internet dédié et notez votre bande passante "downspeed" et "upspeed" en kb/s. | " => suggestions : ['«\xa0', '“']
35 Mot inconnu : downspeed => Mesurez votre bande passante sur un site internet dédié et notez votre bande passante "downspeed" et "upspeed" en kb/s. | downspeed
35 Guillemets typographiques fermants. => Mesurez votre bande passante sur un site internet dédié et notez votre bande passante "downspeed" et "upspeed" en kb/s. | " => suggestions : ['\xa0»', '”']
35 Guillemets typographiques ouvrants. => Mesurez votre bande passante sur un site internet dédié et notez votre bande passante "downspeed" et "upspeed" en kb/s. | " => suggestions : ['«\xa0', '“']
35 Mot inconnu : upspeed => Mesurez votre bande passante sur un site internet dédié et notez votre bande passante "downspeed" et "upspeed" en kb/s. | upspeed
35 Guillemets typographiques fermants. => Mesurez votre bande passante sur un site internet dédié et notez votre bande passante "downspeed" et "upspeed" en kb/s. | " => suggestions : ['\xa0»', '”']
35 Mot inconnu : kb => Mesurez votre bande passante sur un site internet dédié et notez votre bande passante "downspeed" et "upspeed" en kb/s. | kb

37 Mot inconnu : wondershaper => Lancez wondershaper avec ces paramètres: | wondershaper

42 Mot inconnu : Kbps => La bande passante est mesurée en Kbps (il faut donc multiplier la bande passante voulue (en Ko/s) par 8 pour obtenir la valeur qu'il faut entrer) | kbps

44 Mot inconnu : wondershaper => Pour désactiver wondershaper  | wondershaper
44 Espace(s) en fin de ligne à supprimer. => Pour désactiver wondershaper  |   => suggestions : ['']

60 Typographie : points de suspension. Utilisez le caractère dédié. => //Contributeurs : ...// | ... => suggestions : ['…']
