
4 Mot inconnu : qwbfs => ====== qwbfs ====== | qwbfs

8 Mot inconnu : qwbfs => qwbfs par pasnox est une application qui fournit une interface graphique pour gérer les disques durs formatés avec un système de fichier WBFS. | qwbfs
8 Mot inconnu : pasnox => qwbfs par pasnox est une application qui fournit une interface graphique pour gérer les disques durs formatés avec un système de fichier WBFS. | pasnox
8 Mot inconnu : WBFS => qwbfs par pasnox est une application qui fournit une interface graphique pour gérer les disques durs formatés avec un système de fichier WBFS. | wbfs

10 Mot inconnu : WBFS => C'est une alternative multi plateforme (Windows, Mac OS X, Linux, Unix like) à WBFS Manager. | wbfs

12 Mot inconnu : __Fonctionnalités__ => **__Fonctionnalités__** | __fonctionnalités__

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Liste détaillée des jeux avec titre, taille, région, langue et code. |    => suggestions : ['']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Support du glisser/déposer depuis l'interface, ou une source extérieure pour ajouter plusieurs fichiers en même temps. |    => suggestions : ['']

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Interface facile à utiliser qui affiche aussi l'espace utilisé, restant, et requis lors d'import. |    => suggestions : ['']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Gestion par lot des imports/exports d'isos. |    => suggestions : ['']
20 Mot inconnu : isos =>   * Gestion par lot des imports/exports d'isos. | isos

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Renommage des disques sur la partition WBFS.   |    => suggestions : ['']
22 Mot inconnu : WBFS =>   * Renommage des disques sur la partition WBFS.   | wbfs
22 Espace(s) en fin de ligne à supprimer. =>   * Renommage des disques sur la partition WBFS.   |    => suggestions : ['']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Copie wbfs à wbfs directe (ou indirecte si nécessaire). |    => suggestions : ['']
24 Mot inconnu : wbfs =>   * Copie wbfs à wbfs directe (ou indirecte si nécessaire). | wbfs
24 Mot inconnu : wbfs =>   * Copie wbfs à wbfs directe (ou indirecte si nécessaire). | wbfs

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Affichage des couvertures (cd et boîtier). |    => suggestions : ['']

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Possibilité d'ouvrir plusieurs partitions wbfs au sein du logiciel (export/import par lot, wbfs à wbfs copie). |    => suggestions : ['']
28 Mot inconnu : wbfs =>   * Possibilité d'ouvrir plusieurs partitions wbfs au sein du logiciel (export/import par lot, wbfs à wbfs copie). | wbfs
28 Mot inconnu : wbfs =>   * Possibilité d'ouvrir plusieurs partitions wbfs au sein du logiciel (export/import par lot, wbfs à wbfs copie). | wbfs
28 Mot inconnu : wbfs =>   * Possibilité d'ouvrir plusieurs partitions wbfs au sein du logiciel (export/import par lot, wbfs à wbfs copie). | wbfs

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Utilisation de la libwbfs pour une compatibilité et une flexibilité totale. |    => suggestions : ['']
30 Mot inconnu : libwbfs =>   * Utilisation de la libwbfs pour une compatibilité et une flexibilité totale. | libwbfs

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Utilisation de thread pour l'import/export ce qui permet de ne pas figer l'interface. |    => suggestions : ['']

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Fonctionne sur Mac OS X, Windows, Linux, et les dérivés d'unix. |    => suggestions : ['']
34 Mot inconnu : unix =>   * Fonctionne sur Mac OS X, Windows, Linux, et les dérivés d'unix. | unix

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Open Source ! |    => suggestions : ['']

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * fermez et relancez votre session. |    => suggestions : ['']

60 Mot inconnu : tar => Téléchargez le fichier //source code// (format zip ou tar.gz) [[https://github.com/pasnox/qwbfsmanager/releases|ici]] et [[archivage|décompressez]]- le.  | tar
60 Mot inconnu : gz => Téléchargez le fichier //source code// (format zip ou tar.gz) [[https://github.com/pasnox/qwbfsmanager/releases|ici]] et [[archivage|décompressez]]- le.  | gz
60 Espace(s) en fin de ligne à supprimer. => Téléchargez le fichier //source code// (format zip ou tar.gz) [[https://github.com/pasnox/qwbfsmanager/releases|ici]] et [[archivage|décompressez]]- le.  |   => suggestions : ['']

65 Mot inconnu : qwbfs-build => Créer un dossier nommé //qwbfs-build// dans le répertoire décompressé | qwbfs-build

68 Guillemets typographiques ouvrants. => Mise à jour des "external git repositories" utilisé par le projet | " => suggestions : ['«\xa0', '“']
68 Mot inconnu : external => Mise à jour des "external git repositories" utilisé par le projet | external
68 Mot inconnu : repositories => Mise à jour des "external git repositories" utilisé par le projet | repositories
68 Guillemets typographiques fermants. => Mise à jour des "external git repositories" utilisé par le projet | " => suggestions : ['\xa0»', '”']
