
5 Mot inconnu : RAR => ====== Format RAR ====== | rar

9 Mettez des guillemets fermants plutôt qu’ouvrants. => Les avantages du format « .rar » sont sa capacité de créer des archives découpées en plusieurs parties et sa possibilité de chiffrer les archives (protégées par un mot de passe). À noter que le format 7zip  permet également le découpage en plusieurs parties des archives.  |  « => suggestions : ['\xa0»', '”']
9 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Les avantages du format « .rar » sont sa capacité de créer des archives découpées en plusieurs parties et sa possibilité de chiffrer les archives (protégées par un mot de passe). À noter que le format 7zip  permet également le découpage en plusieurs parties des archives.  |  . => suggestions : ['. ', '.']
9 Mot inconnu : rar => Les avantages du format « .rar » sont sa capacité de créer des archives découpées en plusieurs parties et sa possibilité de chiffrer les archives (protégées par un mot de passe). À noter que le format 7zip  permet également le découpage en plusieurs parties des archives.  | rar
9 Espace(s) surnuméraire(s) à supprimer. => Les avantages du format « .rar » sont sa capacité de créer des archives découpées en plusieurs parties et sa possibilité de chiffrer les archives (protégées par un mot de passe). À noter que le format 7zip  permet également le découpage en plusieurs parties des archives.  |    => suggestions : [' ']
9 Espace(s) en fin de ligne à supprimer. => Les avantages du format « .rar » sont sa capacité de créer des archives découpées en plusieurs parties et sa possibilité de chiffrer les archives (protégées par un mot de passe). À noter que le format 7zip  permet également le découpage en plusieurs parties des archives.  |   => suggestions : ['']

11 Mot inconnu : RAR => Il existe un utilitaire libre pour le format RAR mais il ne supporte pas les dernières archives RAR (version 3). Pour extraire ces archives, il faudra utiliser la version non libre de UnRar. | rar
11 Si « mais » est la conjonction de coordination, une virgule est souhaitable si elle introduit une nouvelle proposition. => Il existe un utilitaire libre pour le format RAR mais il ne supporte pas les dernières archives RAR (version 3). Pour extraire ces archives, il faudra utiliser la version non libre de UnRar. |  mais => suggestions : [', mais']
11 Mot inconnu : RAR => Il existe un utilitaire libre pour le format RAR mais il ne supporte pas les dernières archives RAR (version 3). Pour extraire ces archives, il faudra utiliser la version non libre de UnRar. | rar
11 Mot inconnu : UnRar => Il existe un utilitaire libre pour le format RAR mais il ne supporte pas les dernières archives RAR (version 3). Pour extraire ces archives, il faudra utiliser la version non libre de UnRar. | unrar

12 Mot inconnu : RAR => <note important>Le caractère fermé de ce format, l'impossibilité d'extraire des archives RAR en version 3 de créer ce type d'archive avec un programme libre est cependant un gros problème. Ce format doit être évité dans la mesure du possible, un format plus standard devant être privilégié.</note> | rar

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

24 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => =====Gérer les .rar avec un logiciel graphique===== |  . => suggestions : ['. ', '.']
24 Mot inconnu : rar => =====Gérer les .rar avec un logiciel graphique===== | rar

28 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => =====Gérer les .rar en ligne de commande===== |  . => suggestions : ['. ', '.']
28 Mot inconnu : rar => =====Gérer les .rar en ligne de commande===== | rar

30 Mot inconnu : rar => On utilise alors les commandes **rar** et **unrar** : | rar
30 Mot inconnu : unrar => On utilise alors les commandes **rar** et **unrar** : | unrar
35 Guillemets typographiques ouvrants. => À noter que la commande n'a pas d'erreur de syntaxe : le mot de passe qui est ici "votre_mot_de_passe" est bien accolé au commutateur "-p". | " => suggestions : ['«\xa0', '“']
35 Mot inconnu : votre_mot_de_passe => À noter que la commande n'a pas d'erreur de syntaxe : le mot de passe qui est ici "votre_mot_de_passe" est bien accolé au commutateur "-p". | votre_mot_de_passe
35 Guillemets typographiques fermants. => À noter que la commande n'a pas d'erreur de syntaxe : le mot de passe qui est ici "votre_mot_de_passe" est bien accolé au commutateur "-p". | " => suggestions : ['\xa0»', '”']
35 Guillemets typographiques fermants. => À noter que la commande n'a pas d'erreur de syntaxe : le mot de passe qui est ici "votre_mot_de_passe" est bien accolé au commutateur "-p". | " => suggestions : ['\xa0»', '”']

37 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => === Extraction de plusieurs .rar d'un même dossier === |  . => suggestions : ['. ', '.']
37 Mot inconnu : rar => === Extraction de plusieurs .rar d'un même dossier === | rar

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    for i in *.rar; do unrar x "$i"; done  |     => suggestions : ['']
40 Mot inconnu : rar =>    for i in *.rar; do unrar x "$i"; done  | rar
40 Mot inconnu : unrar =>    for i in *.rar; do unrar x "$i"; done  | unrar
40 Guillemets typographiques fermants. =>    for i in *.rar; do unrar x "$i"; done  | " => suggestions : ['\xa0»', '”']
40 Mot inconnu : done =>    for i in *.rar; do unrar x "$i"; done  | done
40 Espace(s) en fin de ligne à supprimer. =>    for i in *.rar; do unrar x "$i"; done  |   => suggestions : ['']

42 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => <note tip>Pour extraire un .rar en plusieurs morceaux: unrar e [nom du fichier].part1.rar, tous les autres morceaux sont extraits automatiquement pour former un seul fichier.</note> |  . => suggestions : ['. ', '.']
42 Mot inconnu : rar => <note tip>Pour extraire un .rar en plusieurs morceaux: unrar e [nom du fichier].part1.rar, tous les autres morceaux sont extraits automatiquement pour former un seul fichier.</note> | rar
42 Mot inconnu : unrar => <note tip>Pour extraire un .rar en plusieurs morceaux: unrar e [nom du fichier].part1.rar, tous les autres morceaux sont extraits automatiquement pour former un seul fichier.</note> | unrar
42 Mot inconnu : part1 => <note tip>Pour extraire un .rar en plusieurs morceaux: unrar e [nom du fichier].part1.rar, tous les autres morceaux sont extraits automatiquement pour former un seul fichier.</note> | part1
42 Mot inconnu : rar => <note tip>Pour extraire un .rar en plusieurs morceaux: unrar e [nom du fichier].part1.rar, tous les autres morceaux sont extraits automatiquement pour former un seul fichier.</note> | rar

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *[[archivage]] |    => suggestions : ['']

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://www.rarlab.com/|Site officiel du format RAR]] |    => suggestions : ['']
47 Mot inconnu : RAR =>   * [[https://www.rarlab.com/|Site officiel du format RAR]] | rar

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://www.youtube.com/watch?v=zQnswLPcWgQ|Vidéo HD de la présentation du programme Rar sous Ubuntu]] |    => suggestions : ['']
48 Mot inconnu : Rar =>   * [[https://www.youtube.com/watch?v=zQnswLPcWgQ|Vidéo HD de la présentation du programme Rar sous Ubuntu]] | rar
