
7 Mot inconnu : rdiff-backup => ====== rdiff-backup : Solution de sauvegarde incrémentielle ====== | rdiff-backup

9 Mot inconnu : rdiff-backup => Faire des sauvegardes différentielles journalières de son ''/home'' et supprimer les sauvegardes vieilles d'une semaine par exemple. Ceci est réalisé via le logiciel **rdiff-backup**. J'explique également comment tout automatiser. | rdiff-backup

11 Mot inconnu : Rdiff-backup => Rdiff-backup peut être utilisé sur Linux, MacOsX et Windows, ce qui vous permet d'installer ce logiciel sur n'importe quel ordinateur, et sauvegarder ces ordinateurs sur votre serveur via SSH. [[http://download.savannah.gnu.org/releases/rdiff-backup|Téléchargement pour un "non ubuntu"]]. | rdiff-backup
11 Mot inconnu : MacOsX => Rdiff-backup peut être utilisé sur Linux, MacOsX et Windows, ce qui vous permet d'installer ce logiciel sur n'importe quel ordinateur, et sauvegarder ces ordinateurs sur votre serveur via SSH. [[http://download.savannah.gnu.org/releases/rdiff-backup|Téléchargement pour un "non ubuntu"]]. | macosx
11 Mot inconnu : SSH => Rdiff-backup peut être utilisé sur Linux, MacOsX et Windows, ce qui vous permet d'installer ce logiciel sur n'importe quel ordinateur, et sauvegarder ces ordinateurs sur votre serveur via SSH. [[http://download.savannah.gnu.org/releases/rdiff-backup|Téléchargement pour un "non ubuntu"]]. | ssh
11 Guillemets typographiques ouvrants. => Rdiff-backup peut être utilisé sur Linux, MacOsX et Windows, ce qui vous permet d'installer ce logiciel sur n'importe quel ordinateur, et sauvegarder ces ordinateurs sur votre serveur via SSH. [[http://download.savannah.gnu.org/releases/rdiff-backup|Téléchargement pour un "non ubuntu"]]. | " => suggestions : ['«\xa0', '“']
11 Guillemets typographiques fermants. => Rdiff-backup peut être utilisé sur Linux, MacOsX et Windows, ce qui vous permet d'installer ce logiciel sur n'importe quel ordinateur, et sauvegarder ces ordinateurs sur votre serveur via SSH. [[http://download.savannah.gnu.org/releases/rdiff-backup|Téléchargement pour un "non ubuntu"]]. | " => suggestions : ['\xa0»', '”']

15 Mot inconnu : rdiff-backup => Pour installer **rdiff-backup**, il vous suffit de lancer la commande suivante : | rdiff-backup
19 Mot inconnu : Gutsy => Depuis Ubuntu « Gutsy Gibbon » 7.10 il suffit de [[apt://rdiff-backup|cliquer ici]]. | gutsy
19 Mot inconnu : rdiff-backup => Depuis Ubuntu « Gutsy Gibbon » 7.10 il suffit de [[apt://rdiff-backup|cliquer ici]]. | rdiff-backup

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   rdiff-backup --exclude /home/mon_login/.aMule /home/mon_login /repertoire_de_sauvegarde |    => suggestions : ['']
32 Mot inconnu : rdiff-backup =>   rdiff-backup --exclude /home/mon_login/.aMule /home/mon_login /repertoire_de_sauvegarde | rdiff-backup
32 Mot inconnu : exclude =>   rdiff-backup --exclude /home/mon_login/.aMule /home/mon_login /repertoire_de_sauvegarde | exclude
32 Mot inconnu : repertoire_de_sauvegarde =>   rdiff-backup --exclude /home/mon_login/.aMule /home/mon_login /repertoire_de_sauvegarde | repertoire_de_sauvegarde

