
4 Mot inconnu : Davicom => ====== Carte Ethernet Davicom DM9102 ====== | davicom
4 Mot inconnu : DM9102 => ====== Carte Ethernet Davicom DM9102 ====== | dm9102

6 Mot inconnu : chipset => Les cartes possédant un chipset **Davicom DM9102** peuvent avoir un défaut de reconnaissance suite au passage en Dapper. On constate alors une absence de connection et **dmesg** se remplit de messages du genre | chipset
6 Mot inconnu : Davicom => Les cartes possédant un chipset **Davicom DM9102** peuvent avoir un défaut de reconnaissance suite au passage en Dapper. On constate alors une absence de connection et **dmesg** se remplit de messages du genre | davicom
6 Mot inconnu : DM9102 => Les cartes possédant un chipset **Davicom DM9102** peuvent avoir un défaut de reconnaissance suite au passage en Dapper. On constate alors une absence de connection et **dmesg** se remplit de messages du genre | dm9102
6 Mot inconnu : Dapper => Les cartes possédant un chipset **Davicom DM9102** peuvent avoir un défaut de reconnaissance suite au passage en Dapper. On constate alors une absence de connection et **dmesg** se remplit de messages du genre | dapper
6 Mot inconnu : connection => Les cartes possédant un chipset **Davicom DM9102** peuvent avoir un défaut de reconnaissance suite au passage en Dapper. On constate alors une absence de connection et **dmesg** se remplit de messages du genre | connection
6 Mot inconnu : dmesg => Les cartes possédant un chipset **Davicom DM9102** peuvent avoir un défaut de reconnaissance suite au passage en Dapper. On constate alors une absence de connection et **dmesg** se remplit de messages du genre | dmesg

9 Mot inconnu : lspci => Pour mon cas, voilà le résultat d'un **lspci** : | lspci

12 Mot inconnu : Tulip => La carte est reconnue comme une Tulip et le mauvais module est chargé | tulip

14 Mot inconnu : eth0 => Pour y remédier de manière temporaire, suivre la manipulation suivante (en remplaçant eth0 par le nom de votre interface réseau) : | eth0

20 Mot inconnu : sudo => sudo ifup eth0</code> | sudo
20 Mot inconnu : ifup => sudo ifup eth0</code> | ifup
20 Mot inconnu : eth0 => sudo ifup eth0</code> | eth0

22 Mot inconnu : reboot => Las, au prochain reboot, votre carte sera de nouveau mal reconnue ! | reboot

24 Mot inconnu : tulip => Le moyen d'y remédier de manière permanente est d'indiquer qu'il ne faut pas charger le module tulip au démarrage. Celà se fait en modifiant le fichier **/etc/modprobe.d/blacklist** : | tulip
24 Mot inconnu : Celà => Le moyen d'y remédier de manière permanente est d'indiquer qu'il ne faut pas charger le module tulip au démarrage. Celà se fait en modifiant le fichier **/etc/modprobe.d/blacklist** : | celà

29 Mot inconnu : blacklist => blacklist tulip</code> | blacklist
29 Mot inconnu : tulip => blacklist tulip</code> | tulip

31 Mot inconnu : reboot => Sauvegardez et au prochain reboot, vous n'aurez plus de problèmes. | reboot
33 Mot inconnu : tulip => Inconvénient : Si vous possédez plus d'une carte réseau et que celle-ci a besoin du module tulip, elle ne fonctionnera pas... | tulip
33 Typographie : points de suspension. Utilisez le caractère dédié. => Inconvénient : Si vous possédez plus d'une carte réseau et que celle-ci a besoin du module tulip, elle ne fonctionnera pas... | ... => suggestions : ['…']
