
4 Mot inconnu : Chipset => ====== Chipset : Realtek RTL2832U ====== <|> chipset
4 Mot inconnu : Realtek => ====== Chipset : Realtek RTL2832U ====== <|> realtek
4 Mot inconnu : RTL2832U => ====== Chipset : Realtek RTL2832U ====== <|> rtl2832u

6 Mot inconnu : Antti => <note tip>[[http://palosaari.fi/linux/|Antti Palosaari]] a découvert qu'il était possible d'utiliser ces clés en tant que récepteur radio [[SDR]] ce qui peut s'avérer très utile notamment en [[navigation_maritime|navigation maritime]]. La procédure est décrite **[[rtl-sdr|sur cette page]]**</note> <|> antti
6 Mot inconnu : Palosaari => <note tip>[[http://palosaari.fi/linux/|Antti Palosaari]] a découvert qu'il était possible d'utiliser ces clés en tant que récepteur radio [[SDR]] ce qui peut s'avérer très utile notamment en [[navigation_maritime|navigation maritime]]. La procédure est décrite **[[rtl-sdr|sur cette page]]**</note> <|> palosaari
6 Mot inconnu : SDR => <note tip>[[http://palosaari.fi/linux/|Antti Palosaari]] a découvert qu'il était possible d'utiliser ces clés en tant que récepteur radio [[SDR]] ce qui peut s'avérer très utile notamment en [[navigation_maritime|navigation maritime]]. La procédure est décrite **[[rtl-sdr|sur cette page]]**</note> <|> sdr
6 Mot inconnu : navigation_maritime => <note tip>[[http://palosaari.fi/linux/|Antti Palosaari]] a découvert qu'il était possible d'utiliser ces clés en tant que récepteur radio [[SDR]] ce qui peut s'avérer très utile notamment en [[navigation_maritime|navigation maritime]]. La procédure est décrite **[[rtl-sdr|sur cette page]]**</note> <|> navigation_maritime
6 Mot inconnu : rtl-sdr => <note tip>[[http://palosaari.fi/linux/|Antti Palosaari]] a découvert qu'il était possible d'utiliser ces clés en tant que récepteur radio [[SDR]] ce qui peut s'avérer très utile notamment en [[navigation_maritime|navigation maritime]]. La procédure est décrite **[[rtl-sdr|sur cette page]]**</note> <|> rtl-sdr

10 Mot inconnu : DVB-T => De nombreuses clés USB DVB-T sont fabriquées à partir du **démodulateur RTL2832U** : <|> dvb-t
10 Mot inconnu : RTL2832U => De nombreuses clés USB DVB-T sont fabriquées à partir du **démodulateur RTL2832U** : <|> rtl2832u

13 Mot inconnu : Product => ^                        Marque                   ^   Product ID    ^  Produit                    ^  Tuner  ^ <|> product

14 Mot inconnu : Realtek => |  **Realtek Semiconductor Corp.**  |  0BDA:2832    |TRUST 16738          |              | <|> realtek
14 Mot inconnu : Semiconductor => |  **Realtek Semiconductor Corp.**  |  0BDA:2832    |TRUST 16738          |              | <|> semiconductor
14 Mot inconnu : Corp => |  **Realtek Semiconductor Corp.**  |  0BDA:2832    |TRUST 16738          |              | <|> corp
14 Mot inconnu : BDA => |  **Realtek Semiconductor Corp.**  |  0BDA:2832    |TRUST 16738          |              | <|> bda
14 Il manque un espace. => |  **Realtek Semiconductor Corp.**  |  0BDA:2832    |TRUST 16738          |              | <|> 2832 => suggestions : [' 2832']
14 Formatage des grands nombres. => |  **Realtek Semiconductor Corp.**  |  0BDA:2832    |TRUST 16738          |              | <|> 16738 => suggestions : ['16\xa0738']

15 Une de ces ponctuations est superflue. => | :::                          | :::                          |Generic RTL2832U  |   | <|> :: => suggestions : [':', ':']
15 Une de ces ponctuations est superflue. => | :::                          | :::                          |Generic RTL2832U  |   | <|> :: => suggestions : [':', ':']
15 Mot inconnu : Generic => | :::                          | :::                          |Generic RTL2832U  |   | <|> generic
15 Mot inconnu : RTL2832U => | :::                          | :::                          |Generic RTL2832U  |   | <|> rtl2832u

16 Une de ces ponctuations est superflue. => | :::                          | :::                          |Hama Nano |  | <|> :: => suggestions : [':', ':']
16 Une de ces ponctuations est superflue. => | :::                          | :::                          |Hama Nano |  | <|> :: => suggestions : [':', ':']
16 Mot inconnu : Hama => | :::                          | :::                          |Hama Nano |  | <|> hama
16 Mot inconnu : Nano => | :::                          | :::                          |Hama Nano |  | <|> nano

17 Une de ces ponctuations est superflue. => | :::                           |  0BDA:2838    |ezcap USB 2.0 DVB-T/DAB/FM dongle       |    E4000   | <|> :: => suggestions : [':', ':']
17 Mot inconnu : BDA => | :::                           |  0BDA:2838    |ezcap USB 2.0 DVB-T/DAB/FM dongle       |    E4000   | <|> bda
17 Il manque un espace. => | :::                           |  0BDA:2838    |ezcap USB 2.0 DVB-T/DAB/FM dongle       |    E4000   | <|> 2838 => suggestions : [' 2838']
17 Mot inconnu : ezcap => | :::                           |  0BDA:2838    |ezcap USB 2.0 DVB-T/DAB/FM dongle       |    E4000   | <|> ezcap
17 Mot inconnu : DVB-T => | :::                           |  0BDA:2838    |ezcap USB 2.0 DVB-T/DAB/FM dongle       |    E4000   | <|> dvb-t
