
5 Mot inconnu : rTorrent => ====== rTorrent ====== | rtorrent

7 Mot inconnu : rTorrent => **rTorrent** est un client BitTorrent très léger fonctionnant en ligne de commande. Il n'utilise que très peu de ressources (pratique si vous disposez d'une vieille machine). | rtorrent
7 Mot inconnu : BitTorrent => **rTorrent** est un client BitTorrent très léger fonctionnant en ligne de commande. Il n'utilise que très peu de ressources (pratique si vous disposez d'une vieille machine). | bittorrent

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

20 Il manque un espace. => [[tutoriel:comment_installer_un_paquet|Installez les paquets]] **[[apt>rtorrent]]** et **[[apt>screen]]** (ou **[[apt>dtach]]**). | comment_installer_un_paquet => suggestions : [' comment_installer_un_paquet']
20 Mot inconnu : comment_installer_un_paquet => [[tutoriel:comment_installer_un_paquet|Installez les paquets]] **[[apt>rtorrent]]** et **[[apt>screen]]** (ou **[[apt>dtach]]**). | comment_installer_un_paquet
20 Mot inconnu : rtorrent => [[tutoriel:comment_installer_un_paquet|Installez les paquets]] **[[apt>rtorrent]]** et **[[apt>screen]]** (ou **[[apt>dtach]]**). | rtorrent
20 Mot inconnu : screen => [[tutoriel:comment_installer_un_paquet|Installez les paquets]] **[[apt>rtorrent]]** et **[[apt>screen]]** (ou **[[apt>dtach]]**). | screen
20 Mot inconnu : dtach => [[tutoriel:comment_installer_un_paquet|Installez les paquets]] **[[apt>rtorrent]]** et **[[apt>screen]]** (ou **[[apt>dtach]]**). | dtach

24 Espace(s) en fin de ligne à supprimer. => Tout d'abord, commencez par créer le fichier de configuration.  |   => suggestions : ['']

35 Mot inconnu : rtorrent => # Fichier de configuration de rtorrent. | rtorrent

36 Mot inconnu : rtorrent => # Par défaut, c'est le fichier ~/.rtorrent.rc | rtorrent
36 Mot inconnu : rc => # Par défaut, c'est le fichier ~/.rtorrent.rc | rc

38 Guillemets typographiques ouvrants. => # Limites des taux de téléchargement en réception et en envoi. "0" équivaut à aucune limite.  | " => suggestions : ['«\xa0', '“']
38 Guillemets typographiques fermants. => # Limites des taux de téléchargement en réception et en envoi. "0" équivaut à aucune limite.  | " => suggestions : ['\xa0»', '”']
38 Espace(s) en fin de ligne à supprimer. => # Limites des taux de téléchargement en réception et en envoi. "0" équivaut à aucune limite.  |   => suggestions : ['']

43 Mot inconnu : directory => directory = ~/torrent/data | directory

45 Mot inconnu : rtorrent => # Répertoire où rtorrent stocke l'état de téléchargement des torrents. | rtorrent

48 Mot inconnu : rtorrent => # instances de rtorrent ! Commentez la ligne précédente et décommentez celle-ci : | rtorrent
48 Mot inconnu : décommentez => # instances de rtorrent ! Commentez la ligne précédente et décommentez celle-ci : | décommentez

51 Mot inconnu : rtorrent => # Ports utilisables par rtorrent (utilisez deux fois la même valeur pour utiliser tout le temps ce port) | rtorrent

52 Mot inconnu : port_range => port_range = 6881-6999 | port_range

53 Mot inconnu : port_random => port_random = no | port_random

56 Mot inconnu : check_hash => check_hash = yes | check_hash
56 Mot inconnu : yes => check_hash = yes | yes

58 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => # Ce répertoire contient les fichiers .torrent.  |  . => suggestions : ['. ', '.']
58 Espace(s) en fin de ligne à supprimer. => # Ce répertoire contient les fichiers .torrent.  |   => suggestions : ['']

59 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => # Dès qu'un nouveau .torrent y est ajouté, le téléchargement commence. |  . => suggestions : ['. ', '.']

60 Mot inconnu : schedule => schedule = watch_directory,15,15,load_start=~/torrent/torrent_active/*.torrent | schedule
60 Mot inconnu : watch_directory => schedule = watch_directory,15,15,load_start=~/torrent/torrent_active/*.torrent | watch_directory
60 Il manque un espace. => schedule = watch_directory,15,15,load_start=~/torrent/torrent_active/*.torrent | 15 => suggestions : [' 15']
60 Mot inconnu : load_start => schedule = watch_directory,15,15,load_start=~/torrent/torrent_active/*.torrent | load_start
60 Mot inconnu : torrent_active => schedule = watch_directory,15,15,load_start=~/torrent/torrent_active/*.torrent | torrent_active

63 Mot inconnu : torrent_finis => # répertoire ~/torrent_finis. | torrent_finis

64 Mot inconnu : rtorrent => # Pour les versions récentes de rtorrent (0.8.4 et supérieures), utilisez la ligne suivante : | rtorrent

65 Mot inconnu : method => #system.method.set_key = event.download.finished,move_complete,"execute=mv,-u,$d.get_base_path=,~/torrent_finis/;d.set_directory=~/torrent_finis/" | method
65 Mot inconnu : set_key => #system.method.set_key = event.download.finished,move_complete,"execute=mv,-u,$d.get_base_path=,~/torrent_finis/;d.set_directory=~/torrent_finis/" | set_key
65 Il manque un espace. => #system.method.set_key = event.download.finished,move_complete,"execute=mv,-u,$d.get_base_path=,~/torrent_finis/;d.set_directory=~/torrent_finis/" | move_complete => suggestions : [' move_complete']
65 Mot inconnu : move_complete => #system.method.set_key = event.download.finished,move_complete,"execute=mv,-u,$d.get_base_path=,~/torrent_finis/;d.set_directory=~/torrent_finis/" | move_complete
65 Guillemets typographiques ouvrants. => #system.method.set_key = event.download.finished,move_complete,"execute=mv,-u,$d.get_base_path=,~/torrent_finis/;d.set_directory=~/torrent_finis/" | " => suggestions : ['«\xa0', '“']
65 Mot inconnu : execute => #system.method.set_key = event.download.finished,move_complete,"execute=mv,-u,$d.get_base_path=,~/torrent_finis/;d.set_directory=~/torrent_finis/" | execute
65 Mot inconnu : mv => #system.method.set_key = event.download.finished,move_complete,"execute=mv,-u,$d.get_base_path=,~/torrent_finis/;d.set_directory=~/torrent_finis/" | mv
65 Mot inconnu : get_base_path => #system.method.set_key = event.download.finished,move_complete,"execute=mv,-u,$d.get_base_path=,~/torrent_finis/;d.set_directory=~/torrent_finis/" | get_base_path
65 Mot inconnu : torrent_finis => #system.method.set_key = event.download.finished,move_complete,"execute=mv,-u,$d.get_base_path=,~/torrent_finis/;d.set_directory=~/torrent_finis/" | torrent_finis
65 Il manque un espace. => #system.method.set_key = event.download.finished,move_complete,"execute=mv,-u,$d.get_base_path=,~/torrent_finis/;d.set_directory=~/torrent_finis/" | d => suggestions : [' d']
65 Mot inconnu : set_directory => #system.method.set_key = event.download.finished,move_complete,"execute=mv,-u,$d.get_base_path=,~/torrent_finis/;d.set_directory=~/torrent_finis/" | set_directory
65 Mot inconnu : torrent_finis => #system.method.set_key = event.download.finished,move_complete,"execute=mv,-u,$d.get_base_path=,~/torrent_finis/;d.set_directory=~/torrent_finis/" | torrent_finis

67 Mot inconnu : move_complete => #on_finished = move_complete,"execute=mv,-u,$d.get_base_path=,~/torrent_finis/;d.set_directory=~/torrent_finis/" | move_complete
67 Guillemets typographiques ouvrants. => #on_finished = move_complete,"execute=mv,-u,$d.get_base_path=,~/torrent_finis/;d.set_directory=~/torrent_finis/" | " => suggestions : ['«\xa0', '“']
67 Mot inconnu : execute => #on_finished = move_complete,"execute=mv,-u,$d.get_base_path=,~/torrent_finis/;d.set_directory=~/torrent_finis/" | execute
67 Mot inconnu : mv => #on_finished = move_complete,"execute=mv,-u,$d.get_base_path=,~/torrent_finis/;d.set_directory=~/torrent_finis/" | mv
67 Mot inconnu : get_base_path => #on_finished = move_complete,"execute=mv,-u,$d.get_base_path=,~/torrent_finis/;d.set_directory=~/torrent_finis/" | get_base_path
67 Mot inconnu : torrent_finis => #on_finished = move_complete,"execute=mv,-u,$d.get_base_path=,~/torrent_finis/;d.set_directory=~/torrent_finis/" | torrent_finis
67 Il manque un espace. => #on_finished = move_complete,"execute=mv,-u,$d.get_base_path=,~/torrent_finis/;d.set_directory=~/torrent_finis/" | d => suggestions : [' d']
67 Mot inconnu : set_directory => #on_finished = move_complete,"execute=mv,-u,$d.get_base_path=,~/torrent_finis/;d.set_directory=~/torrent_finis/" | set_directory
67 Mot inconnu : torrent_finis => #on_finished = move_complete,"execute=mv,-u,$d.get_base_path=,~/torrent_finis/;d.set_directory=~/torrent_finis/" | torrent_finis

69 Mot inconnu : DHT => # Activation de DHT pour les torrents sans trackers. | dht
69 Mot inconnu : trackers => # Activation de DHT pour les torrents sans trackers. | trackers

71 Mot inconnu : dht => dht = auto | dht

73 Mot inconnu : UDP => # Port UDP pour l'utilisation de DHT.  | udp
73 Mot inconnu : DHT => # Port UDP pour l'utilisation de DHT.  | dht
73 Espace(s) en fin de ligne à supprimer. => # Port UDP pour l'utilisation de DHT.  |   => suggestions : ['']

74 Mot inconnu : dht_port => dht_port = 6880 | dht_port

78 Mot inconnu : encryption => encryption = allow_incoming,require,require_rc4 | encryption
78 Mot inconnu : allow_incoming => encryption = allow_incoming,require,require_rc4 | allow_incoming
78 Il manque un espace. => encryption = allow_incoming,require,require_rc4 | require => suggestions : [' require']
78 Mot inconnu : require => encryption = allow_incoming,require,require_rc4 | require
78 Mot inconnu : require_rc4 => encryption = allow_incoming,require,require_rc4 | require_rc4

85 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   rtorrent |    => suggestions : ['']
85 Mot inconnu : rtorrent =>   rtorrent | rtorrent

86 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => <note important>  rtorrent vérifie à chaque démarrage le hash de vos fichiers. Ceci peut être très long et monopoliser des ressources importantes si vous avez un grand nombre de fichiers en seed. Pour éviter cela éditez votre fichier .rtorrent.rc et n'oubliez pas de créer un dossier **torrent** et sous-dossier **session** dans votre home. | rtorrent => suggestions : ['Rtorrent']
86 Mot inconnu : rtorrent => <note important>  rtorrent vérifie à chaque démarrage le hash de vos fichiers. Ceci peut être très long et monopoliser des ressources importantes si vous avez un grand nombre de fichiers en seed. Pour éviter cela éditez votre fichier .rtorrent.rc et n'oubliez pas de créer un dossier **torrent** et sous-dossier **session** dans votre home. | rtorrent
86 Mot inconnu : hash => <note important>  rtorrent vérifie à chaque démarrage le hash de vos fichiers. Ceci peut être très long et monopoliser des ressources importantes si vous avez un grand nombre de fichiers en seed. Pour éviter cela éditez votre fichier .rtorrent.rc et n'oubliez pas de créer un dossier **torrent** et sous-dossier **session** dans votre home. | hash
86 Mot inconnu : seed => <note important>  rtorrent vérifie à chaque démarrage le hash de vos fichiers. Ceci peut être très long et monopoliser des ressources importantes si vous avez un grand nombre de fichiers en seed. Pour éviter cela éditez votre fichier .rtorrent.rc et n'oubliez pas de créer un dossier **torrent** et sous-dossier **session** dans votre home. | seed
86 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => <note important>  rtorrent vérifie à chaque démarrage le hash de vos fichiers. Ceci peut être très long et monopoliser des ressources importantes si vous avez un grand nombre de fichiers en seed. Pour éviter cela éditez votre fichier .rtorrent.rc et n'oubliez pas de créer un dossier **torrent** et sous-dossier **session** dans votre home. |  . => suggestions : ['. ', '.']
86 Mot inconnu : rtorrent => <note important>  rtorrent vérifie à chaque démarrage le hash de vos fichiers. Ceci peut être très long et monopoliser des ressources importantes si vous avez un grand nombre de fichiers en seed. Pour éviter cela éditez votre fichier .rtorrent.rc et n'oubliez pas de créer un dossier **torrent** et sous-dossier **session** dans votre home. | rtorrent
86 Mot inconnu : rc => <note important>  rtorrent vérifie à chaque démarrage le hash de vos fichiers. Ceci peut être très long et monopoliser des ressources importantes si vous avez un grand nombre de fichiers en seed. Pour éviter cela éditez votre fichier .rtorrent.rc et n'oubliez pas de créer un dossier **torrent** et sous-dossier **session** dans votre home. | rc

88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # Default session directory. Make sure you don't run multiple instance |    => suggestions : ['']
88 Mot inconnu : Default =>   # Default session directory. Make sure you don't run multiple instance | default
88 Mot inconnu : directory =>   # Default session directory. Make sure you don't run multiple instance | directory
88 Mot inconnu : Make =>   # Default session directory. Make sure you don't run multiple instance | make
88 Mot inconnu : you =>   # Default session directory. Make sure you don't run multiple instance | you
88 Mot inconnu : don't =>   # Default session directory. Make sure you don't run multiple instance | don't
88 Mot inconnu : run =>   # Default session directory. Make sure you don't run multiple instance | run

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # of rtorrent using the same session directory. Perhaps using a |    => suggestions : ['']
89 Mot inconnu : of =>   # of rtorrent using the same session directory. Perhaps using a | of
89 Mot inconnu : rtorrent =>   # of rtorrent using the same session directory. Perhaps using a | rtorrent
89 Mot inconnu : using =>   # of rtorrent using the same session directory. Perhaps using a | using
89 Mot inconnu : the =>   # of rtorrent using the same session directory. Perhaps using a | the
89 Mot inconnu : directory =>   # of rtorrent using the same session directory. Perhaps using a | directory
89 Mot inconnu : Perhaps =>   # of rtorrent using the same session directory. Perhaps using a | perhaps
89 Mot inconnu : using =>   # of rtorrent using the same session directory. Perhaps using a | using

90 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # relative path? |    => suggestions : ['']
90 Mot inconnu : path =>   # relative path? | path

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   session = ~/torrent/session |    => suggestions : ['']

93 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Ces modifications permettront de conserver vos préférences. |   => suggestions : ['']

96 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * En pressant, dans rtorrent, la touche backspace, vous pouvez entrer le chemin complet du torrent ou bien une url du torrent. |    => suggestions : ['']
96 Mot inconnu : rtorrent =>   * En pressant, dans rtorrent, la touche backspace, vous pouvez entrer le chemin complet du torrent ou bien une url du torrent. | rtorrent
