
5 Mot inconnu : SACRED => ====== SACRED, le jeu Hack and Slash (diablo like) ====== | sacred
5 Mot inconnu : Hack => ====== SACRED, le jeu Hack and Slash (diablo like) ====== | hack
5 Mot inconnu : and => ====== SACRED, le jeu Hack and Slash (diablo like) ====== | and
5 Mot inconnu : diablo => ====== SACRED, le jeu Hack and Slash (diablo like) ====== | diablo
9 Mot inconnu : linux => ==== Note: ce jeu bénéficie d'une version native et payante sous GNU/linux: soutenez le jeu linux, achetez le au lieu de bidouiller avec wine. ==== | linux
9 Mot inconnu : linux => ==== Note: ce jeu bénéficie d'une version native et payante sous GNU/linux: soutenez le jeu linux, achetez le au lieu de bidouiller avec wine. ==== | linux
9 S’il s’agit d’un impératif, mettez un trait d’union. => ==== Note: ce jeu bénéficie d'une version native et payante sous GNU/linux: soutenez le jeu linux, achetez le au lieu de bidouiller avec wine. ==== | achetez le => suggestions : ['achetez-le']
9 Mot inconnu : wine => ==== Note: ce jeu bénéficie d'une version native et payante sous GNU/linux: soutenez le jeu linux, achetez le au lieu de bidouiller avec wine. ==== | wine

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Monter ou entrer le CD |    => suggestions : ['']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Programme nécessaire auparavant : [[Wine]]. |    => suggestions : ['']
16 Mot inconnu : Wine =>   * Programme nécessaire auparavant : [[Wine]]. | wine

26 Mot inconnu : autorun => //Ne lancez pas l'autorun ça fait planter l'install.// | autorun
26 Mot inconnu : install => //Ne lancez pas l'autorun ça fait planter l'install.// | install

27 Il manque probablement un trait d’union. => //Aucun problème majeur à ce niveau là. Suivez les instructions de l'installation.// | niveau là => suggestions : ['niveau-là']
29 Mot inconnu : exe => PS : Après l'installation, le programme Config.exe sera exécuté. | exe

30 Mot inconnu : Ecran => Cliquez sur Ecran plein Cinématique et profondeur de couleur 32 bits. | ecran

33 Mot inconnu : Wine => ===== Configuration de Wine ===== | wine

35 Accord de nombre erroné : « jeux » est au pluriel. => Pour que le jeux se lance sans problème et ne plante pas pour les chargement de sauvegarde vous devez configurez wine comme ceci : | le => suggestions : ['les']
35 Accord de nombre erroné : « jeux » devrait être au singulier. => Pour que le jeux se lance sans problème et ne plante pas pour les chargement de sauvegarde vous devez configurez wine comme ceci : | jeux => suggestions : ['jeu']
35 Accord de nombre erroné : « chargement » devrait être au pluriel. => Pour que le jeux se lance sans problème et ne plante pas pour les chargement de sauvegarde vous devez configurez wine comme ceci : | chargement => suggestions : ['chargements']
35 S’il s’agit d’une action que le sujet doit accomplir, le verbe devrait être à l’infinitif. => Pour que le jeux se lance sans problème et ne plante pas pour les chargement de sauvegarde vous devez configurez wine comme ceci : | configurez => suggestions : ['configurer']
35 Mot inconnu : wine => Pour que le jeux se lance sans problème et ne plante pas pour les chargement de sauvegarde vous devez configurez wine comme ceci : | wine

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour la version du système mettez windows 2k au minimum |    => suggestions : ['']

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour l'affichage sélectionnez 1024x768  |    => suggestions : ['']
38 Signe de multiplication typographique. =>   * Pour l'affichage sélectionnez 1024x768  | 1024x768 => suggestions : ['1024\xa0×\xa0768']
38 Mot inconnu : x768 =>   * Pour l'affichage sélectionnez 1024x768  | x768
38 Espace(s) en fin de ligne à supprimer. =>   * Pour l'affichage sélectionnez 1024x768  |   => suggestions : ['']

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour l'audio : |    => suggestions : ['']

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>          * cochez ALSA  |           => suggestions : ['']
40 Mot inconnu : ALSA =>          * cochez ALSA  | alsa
40 Espace(s) en fin de ligne à supprimer. =>          * cochez ALSA  |   => suggestions : ['']

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>          * mettez l'accélération en mode Complète  |           => suggestions : ['']
41 Espace(s) en fin de ligne à supprimer. =>          * mettez l'accélération en mode Complète  |   => suggestions : ['']

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>          * l'échantillonnage en 48000  |           => suggestions : ['']
42 Formatage des grands nombres. =>          * l'échantillonnage en 48000  | 48000 => suggestions : ['48\xa0000']
