

5 Mot inconnu : Agfa [[33:37]] => ====== Installation d'un scanner Agfa ====== <|> agfa
5 Mot inconnu : Agfa [[33:37]] => ====== Installation d'un scanner Agfa ====== <|> agfa


7 Mot inconnu : Agfa [[56:60]] => Cette documentation décrit comment installer un scanner Agfa **USB** sur Ubuntu.  <|> agfa
7 Mot inconnu : Agfa [[56:60]] => Cette documentation décrit comment installer un scanner Agfa **USB** sur Ubuntu.  <|> agfa
7 Espace(s) en fin de ligne à supprimer. [[80:81]] => Cette documentation décrit comment installer un scanner Agfa **USB** sur Ubuntu.  <|>   => suggestions : ['']
7 Espace(s) en fin de ligne à supprimer. [[80:81]] => Cette documentation décrit comment installer un scanner Agfa **USB** sur Ubuntu.  <|>   => suggestions : ['']


8 Mot inconnu : Agfa [[31:35]] => Il semblerait que les scanners Agfa qui se branchent sur port parallèle ne soit pas du tout supportés, ils sont cependant très rares de nos jours.  <|> agfa
8 Mot inconnu : Agfa [[31:35]] => Il semblerait que les scanners Agfa qui se branchent sur port parallèle ne soit pas du tout supportés, ils sont cependant très rares de nos jours.  <|> agfa
8 Accord avec la forme verbale “soit” : “supportés” devrait être au singulier. [[92:101]] => Il semblerait que les scanners Agfa qui se branchent sur port parallèle ne soit pas du tout supportés, ils sont cependant très rares de nos jours.  <|> supportés => suggestions : ['supporté']
8 Accord avec la forme verbale “soit” : “supportés” devrait être au singulier. [[92:101]] => Il semblerait que les scanners Agfa qui se branchent sur port parallèle ne soit pas du tout supportés, ils sont cependant très rares de nos jours.  <|> supportés => suggestions : ['supporté']
8 Espace(s) en fin de ligne à supprimer. [[146:147]] => Il semblerait que les scanners Agfa qui se branchent sur port parallèle ne soit pas du tout supportés, ils sont cependant très rares de nos jours.  <|>   => suggestions : ['']
8 Espace(s) en fin de ligne à supprimer. [[146:147]] => Il semblerait que les scanners Agfa qui se branchent sur port parallèle ne soit pas du tout supportés, ils sont cependant très rares de nos jours.  <|>   => suggestions : ['']


9 Mot inconnu : agfa [[17:21]] => Les scanners USB agfa semblent avoir du mal à être reconnus lorsqu'ils sont branchés via un HUB USB, sur Ubuntu. **Il est fortement conseillé de** les **brancher directement sur la prise USB de l'ordinateur, et de ne pas passer par un HUB**. <|> agfa
9 Mot inconnu : agfa [[17:21]] => Les scanners USB agfa semblent avoir du mal à être reconnus lorsqu'ils sont branchés via un HUB USB, sur Ubuntu. **Il est fortement conseillé de** les **brancher directement sur la prise USB de l'ordinateur, et de ne pas passer par un HUB**. <|> agfa


11 Mot inconnu : Agfa [[32:36]] => <note>Pour installer un scanner Agfa en 1 clic, un script est disponible [[https://forum.ubuntu-fr.org/viewtopic.php?pid=7424041|ici]].</note> <|> agfa
11 Mot inconnu : Agfa [[32:36]] => <note>Pour installer un scanner Agfa en 1 clic, un script est disponible [[https://forum.ubuntu-fr.org/viewtopic.php?pid=7424041|ici]].</note> <|> agfa


13 Mot inconnu : Agfa [[27:31]] => L'utilisation d'un scanner Agfa requiert généralement un firmware (un micro logiciel que le PC doit envoyer au périphérique pour que celui-ci fonctionne). Ces firmwares ne sont pas inclus avec Ubuntu, ni avec les "Pilotes de Périphériques". Nous allons donc détailler l'installation de ceux-ci si cela est nécessaire. <|> agfa
13 Mot inconnu : Agfa [[27:31]] => L'utilisation d'un scanner Agfa requiert généralement un firmware (un micro logiciel que le PC doit envoyer au périphérique pour que celui-ci fonctionne). Ces firmwares ne sont pas inclus avec Ubuntu, ni avec les "Pilotes de Périphériques". Nous allons donc détailler l'installation de ceux-ci si cela est nécessaire. <|> agfa
13 Guillemets typographiques ouvrants. [[213:214]] => L'utilisation d'un scanner Agfa requiert généralement un firmware (un micro logiciel que le PC doit envoyer au périphérique pour que celui-ci fonctionne). Ces firmwares ne sont pas inclus avec Ubuntu, ni avec les "Pilotes de Périphériques". Nous allons donc détailler l'installation de ceux-ci si cela est nécessaire. <|> " => suggestions : ['«\xa0', '“']
13 Guillemets typographiques fermants. [[238:239]] => L'utilisation d'un scanner Agfa requiert généralement un firmware (un micro logiciel que le PC doit envoyer au périphérique pour que celui-ci fonctionne). Ces firmwares ne sont pas inclus avec Ubuntu, ni avec les "Pilotes de Périphériques". Nous allons donc détailler l'installation de ceux-ci si cela est nécessaire. <|> " => suggestions : ['\xa0»', '”']
19 Espace(s) en fin de ligne à supprimer. [[117:118]] => Tout d'abord, il faut noter le modèle de son scanner, puis commencer par regarder s'il est présent dans cette liste :  <|>   => suggestions : ['']
19 Espace(s) en fin de ligne à supprimer. [[117:118]] => Tout d'abord, il faut noter le modèle de son scanner, puis commencer par regarder s'il est présent dans cette liste :  <|>   => suggestions : ['']


22 Mot inconnu : AgfaPhoto [[1:10]] => |AgfaPhoto AS1300 | 0x079b, 0x00ab |détermination en cours|En cours d'installation, merci de votre patience| <|> agfaphoto
22 Mot inconnu : AgfaPhoto [[1:10]] => |AgfaPhoto AS1300 | 0x079b, 0x00ab |détermination en cours|En cours d'installation, merci de votre patience| <|> agfaphoto
22 Mot inconnu : AS1300 [[11:17]] => |AgfaPhoto AS1300 | 0x079b, 0x00ab |détermination en cours|En cours d'installation, merci de votre patience| <|> as1300
22 Mot inconnu : AS1300 [[11:17]] => |AgfaPhoto AS1300 | 0x079b, 0x00ab |détermination en cours|En cours d'installation, merci de votre patience| <|> as1300
22 Mot inconnu : x079b [[21:26]] => |AgfaPhoto AS1300 | 0x079b, 0x00ab |détermination en cours|En cours d'installation, merci de votre patience| <|> x079b
22 Mot inconnu : x079b [[21:26]] => |AgfaPhoto AS1300 | 0x079b, 0x00ab |détermination en cours|En cours d'installation, merci de votre patience| <|> x079b
22 Mot inconnu : x00ab [[29:34]] => |AgfaPhoto AS1300 | 0x079b, 0x00ab |détermination en cours|En cours d'installation, merci de votre patience| <|> x00ab
22 Mot inconnu : x00ab [[29:34]] => |AgfaPhoto AS1300 | 0x079b, 0x00ab |détermination en cours|En cours d'installation, merci de votre patience| <|> x00ab


23 Mot inconnu : Agfa [[1:5]] => |Agfa SnapScan 1236u    | 0x06bd, 0x0002 | ?              | | <|> agfa
23 Mot inconnu : Agfa [[1:5]] => |Agfa SnapScan 1236u    | 0x06bd, 0x0002 | ?              | | <|> agfa
23 Mot inconnu : SnapScan [[6:14]] => |Agfa SnapScan 1236u    | 0x06bd, 0x0002 | ?              | | <|> snapscan
23 Mot inconnu : SnapScan [[6:14]] => |Agfa SnapScan 1236u    | 0x06bd, 0x0002 | ?              | | <|> snapscan
23 Espace(s) surnuméraire(s) à supprimer. [[20:24]] => |Agfa SnapScan 1236u    | 0x06bd, 0x0002 | ?              | | <|>      => suggestions : [' ']
23 Espace(s) surnuméraire(s) à supprimer. [[20:24]] => |Agfa SnapScan 1236u    | 0x06bd, 0x0002 | ?              | | <|>      => suggestions : [' ']
23 Mot inconnu : x06bd [[27:32]] => |Agfa SnapScan 1236u    | 0x06bd, 0x0002 | ?              | | <|> x06bd
23 Mot inconnu : x06bd [[27:32]] => |Agfa SnapScan 1236u    | 0x06bd, 0x0002 | ?              | | <|> x06bd
23 Mot inconnu : x0002 [[35:40]] => |Agfa SnapScan 1236u    | 0x06bd, 0x0002 | ?              | | <|> x0002
23 Mot inconnu : x0002 [[35:40]] => |Agfa SnapScan 1236u    | 0x06bd, 0x0002 | ?              | | <|> x0002
23 Espace(s) surnuméraire(s) à supprimer. [[44:58]] => |Agfa SnapScan 1236u    | 0x06bd, 0x0002 | ?              | | <|>                => suggestions : [' ']
23 Espace(s) surnuméraire(s) à supprimer. [[44:58]] => |Agfa SnapScan 1236u    | 0x06bd, 0x0002 | ?              | | <|>                => suggestions : [' ']


24 Mot inconnu : Agfa [[1:5]] => |Agfa SnapScan 1212U v1 | 0x06bd, 0x0001 | Non nécessaire |Besoin d'ajouter le nom d'utilisateur au groupe //saned// car le scanner n'était pas toujours reconnu.| <|> agfa
24 Mot inconnu : Agfa [[1:5]] => |Agfa SnapScan 1212U v1 | 0x06bd, 0x0001 | Non nécessaire |Besoin d'ajouter le nom d'utilisateur au groupe //saned// car le scanner n'était pas toujours reconnu.| <|> agfa
24 Mot inconnu : SnapScan [[6:14]] => |Agfa SnapScan 1212U v1 | 0x06bd, 0x0001 | Non nécessaire |Besoin d'ajouter le nom d'utilisateur au groupe //saned// car le scanner n'était pas toujours reconnu.| <|> snapscan
24 Mot inconnu : SnapScan [[6:14]] => |Agfa SnapScan 1212U v1 | 0x06bd, 0x0001 | Non nécessaire |Besoin d'ajouter le nom d'utilisateur au groupe //saned// car le scanner n'était pas toujours reconnu.| <|> snapscan
24 Mot inconnu : v1 [[21:23]] => |Agfa SnapScan 1212U v1 | 0x06bd, 0x0001 | Non nécessaire |Besoin d'ajouter le nom d'utilisateur au groupe //saned// car le scanner n'était pas toujours reconnu.| <|> v1
24 Mot inconnu : v1 [[21:23]] => |Agfa SnapScan 1212U v1 | 0x06bd, 0x0001 | Non nécessaire |Besoin d'ajouter le nom d'utilisateur au groupe //saned// car le scanner n'était pas toujours reconnu.| <|> v1
24 Mot inconnu : x06bd [[27:32]] => |Agfa SnapScan 1212U v1 | 0x06bd, 0x0001 | Non nécessaire |Besoin d'ajouter le nom d'utilisateur au groupe //saned// car le scanner n'était pas toujours reconnu.| <|> x06bd
24 Mot inconnu : x06bd [[27:32]] => |Agfa SnapScan 1212U v1 | 0x06bd, 0x0001 | Non nécessaire |Besoin d'ajouter le nom d'utilisateur au groupe //saned// car le scanner n'était pas toujours reconnu.| <|> x06bd
24 Mot inconnu : x0001 [[35:40]] => |Agfa SnapScan 1212U v1 | 0x06bd, 0x0001 | Non nécessaire |Besoin d'ajouter le nom d'utilisateur au groupe //saned// car le scanner n'était pas toujours reconnu.| <|> x0001
24 Mot inconnu : x0001 [[35:40]] => |Agfa SnapScan 1212U v1 | 0x06bd, 0x0001 | Non nécessaire |Besoin d'ajouter le nom d'utilisateur au groupe //saned// car le scanner n'était pas toujours reconnu.| <|> x0001
24 Mot inconnu : saned [[109:114]] => |Agfa SnapScan 1212U v1 | 0x06bd, 0x0001 | Non nécessaire |Besoin d'ajouter le nom d'utilisateur au groupe //saned// car le scanner n'était pas toujours reconnu.| <|> saned
24 Mot inconnu : saned [[109:114]] => |Agfa SnapScan 1212U v1 | 0x06bd, 0x0001 | Non nécessaire |Besoin d'ajouter le nom d'utilisateur au groupe //saned// car le scanner n'était pas toujours reconnu.| <|> saned


25 Mot inconnu : Agfa [[1:5]] => |Agfa SnapScan 1212U v2 | 0x06bd, 0x2061 | Snapscan 1212U_2.bin | | <|> agfa
25 Mot inconnu : Agfa [[1:5]] => |Agfa SnapScan 1212U v2 | 0x06bd, 0x2061 | Snapscan 1212U_2.bin | | <|> agfa
25 Mot inconnu : SnapScan [[6:14]] => |Agfa SnapScan 1212U v2 | 0x06bd, 0x2061 | Snapscan 1212U_2.bin | | <|> snapscan
25 Mot inconnu : SnapScan [[6:14]] => |Agfa SnapScan 1212U v2 | 0x06bd, 0x2061 | Snapscan 1212U_2.bin | | <|> snapscan
25 Mot inconnu : x06bd [[27:32]] => |Agfa SnapScan 1212U v2 | 0x06bd, 0x2061 | Snapscan 1212U_2.bin | | <|> x06bd
25 Mot inconnu : x06bd [[27:32]] => |Agfa SnapScan 1212U v2 | 0x06bd, 0x2061 | Snapscan 1212U_2.bin | | <|> x06bd
25 Mot inconnu : x2061 [[35:40]] => |Agfa SnapScan 1212U v2 | 0x06bd, 0x2061 | Snapscan 1212U_2.bin | | <|> x2061
25 Mot inconnu : x2061 [[35:40]] => |Agfa SnapScan 1212U v2 | 0x06bd, 0x2061 | Snapscan 1212U_2.bin | | <|> x2061
25 Mot inconnu : Snapscan [[43:51]] => |Agfa SnapScan 1212U v2 | 0x06bd, 0x2061 | Snapscan 1212U_2.bin | | <|> snapscan
25 Mot inconnu : Snapscan [[43:51]] => |Agfa SnapScan 1212U v2 | 0x06bd, 0x2061 | Snapscan 1212U_2.bin | | <|> snapscan
25 Mot inconnu : U_2 [[56:59]] => |Agfa SnapScan 1212U v2 | 0x06bd, 0x2061 | Snapscan 1212U_2.bin | | <|> u_2
25 Mot inconnu : U_2 [[56:59]] => |Agfa SnapScan 1212U v2 | 0x06bd, 0x2061 | Snapscan 1212U_2.bin | | <|> u_2
25 Mot inconnu : bin [[60:63]] => |Agfa SnapScan 1212U v2 | 0x06bd, 0x2061 | Snapscan 1212U_2.bin | | <|> bin
25 Mot inconnu : bin [[60:63]] => |Agfa SnapScan 1212U v2 | 0x06bd, 0x2061 | Snapscan 1212U_2.bin | | <|> bin


26 Mot inconnu : Agfa [[1:5]] => |Agfa SnapScan e20      | 0x06bd, 0x2091 | snape20.bin 	  | | <|> agfa
26 Mot inconnu : Agfa [[1:5]] => |Agfa SnapScan e20      | 0x06bd, 0x2091 | snape20.bin 	  | | <|> agfa
26 Mot inconnu : SnapScan [[6:14]] => |Agfa SnapScan e20      | 0x06bd, 0x2091 | snape20.bin 	  | | <|> snapscan
26 Mot inconnu : SnapScan [[6:14]] => |Agfa SnapScan e20      | 0x06bd, 0x2091 | snape20.bin 	  | | <|> snapscan
26 Mot inconnu : e20 [[15:18]] => |Agfa SnapScan e20      | 0x06bd, 0x2091 | snape20.bin 	  | | <|> e20
26 Mot inconnu : e20 [[15:18]] => |Agfa SnapScan e20      | 0x06bd, 0x2091 | snape20.bin 	  | | <|> e20
26 Espace(s) surnuméraire(s) à supprimer. [[18:24]] => |Agfa SnapScan e20      | 0x06bd, 0x2091 | snape20.bin 	  | | <|>        => suggestions : [' ']
26 Espace(s) surnuméraire(s) à supprimer. [[18:24]] => |Agfa SnapScan e20      | 0x06bd, 0x2091 | snape20.bin 	  | | <|>        => suggestions : [' ']
26 Mot inconnu : x06bd [[27:32]] => |Agfa SnapScan e20      | 0x06bd, 0x2091 | snape20.bin 	  | | <|> x06bd
26 Mot inconnu : x06bd [[27:32]] => |Agfa SnapScan e20      | 0x06bd, 0x2091 | snape20.bin 	  | | <|> x06bd
26 Mot inconnu : x2091 [[35:40]] => |Agfa SnapScan e20      | 0x06bd, 0x2091 | snape20.bin 	  | | <|> x2091
26 Mot inconnu : x2091 [[35:40]] => |Agfa SnapScan e20      | 0x06bd, 0x2091 | snape20.bin 	  | | <|> x2091
26 Mot inconnu : snape20 [[43:50]] => |Agfa SnapScan e20      | 0x06bd, 0x2091 | snape20.bin 	  | | <|> snape20
26 Mot inconnu : snape20 [[43:50]] => |Agfa SnapScan e20      | 0x06bd, 0x2091 | snape20.bin 	  | | <|> snape20
26 Mot inconnu : bin [[51:54]] => |Agfa SnapScan e20      | 0x06bd, 0x2091 | snape20.bin 	  | | <|> bin
26 Mot inconnu : bin [[51:54]] => |Agfa SnapScan e20      | 0x06bd, 0x2091 | snape20.bin 	  | | <|> bin
26 Incohérence : espace et tabulation. [[54:56]] => |Agfa SnapScan e20      | 0x06bd, 0x2091 | snape20.bin 	  | | <|>  	 => suggestions : [' ', '\t']
