
6 Mot inconnu : Shutters3D-SyncDaemon => ====== Shutters3D-SyncDaemon ====== | shutters3d-syncdaemon

7 Mot inconnu : Shutters3D-SyncDaemon => **Shutters3D-SyncDaemon** est un projet résultant de la fusion de deux logiciels qui visaient à supporter les lunettes à obturations 3D de Nvidia. Les deux projets (initialement créés par kunguz et Magestik) à l'origine de cette fusion étaient tous les deux des portages de libnvstusb de C à Python, le code source était donc très similaire. Ce logiciel est donc logiquement créé en Python et regroupe les avantages des deux projets.  | shutters3d-syncdaemon
7 Mot inconnu : kunguz => **Shutters3D-SyncDaemon** est un projet résultant de la fusion de deux logiciels qui visaient à supporter les lunettes à obturations 3D de Nvidia. Les deux projets (initialement créés par kunguz et Magestik) à l'origine de cette fusion étaient tous les deux des portages de libnvstusb de C à Python, le code source était donc très similaire. Ce logiciel est donc logiquement créé en Python et regroupe les avantages des deux projets.  | kunguz
7 Mot inconnu : Magestik => **Shutters3D-SyncDaemon** est un projet résultant de la fusion de deux logiciels qui visaient à supporter les lunettes à obturations 3D de Nvidia. Les deux projets (initialement créés par kunguz et Magestik) à l'origine de cette fusion étaient tous les deux des portages de libnvstusb de C à Python, le code source était donc très similaire. Ce logiciel est donc logiquement créé en Python et regroupe les avantages des deux projets.  | magestik
7 Mot inconnu : libnvstusb => **Shutters3D-SyncDaemon** est un projet résultant de la fusion de deux logiciels qui visaient à supporter les lunettes à obturations 3D de Nvidia. Les deux projets (initialement créés par kunguz et Magestik) à l'origine de cette fusion étaient tous les deux des portages de libnvstusb de C à Python, le code source était donc très similaire. Ce logiciel est donc logiquement créé en Python et regroupe les avantages des deux projets.  | libnvstusb
7 Espace(s) en fin de ligne à supprimer. => **Shutters3D-SyncDaemon** est un projet résultant de la fusion de deux logiciels qui visaient à supporter les lunettes à obturations 3D de Nvidia. Les deux projets (initialement créés par kunguz et Magestik) à l'origine de cette fusion étaient tous les deux des portages de libnvstusb de C à Python, le code source était donc très similaire. Ce logiciel est donc logiquement créé en Python et regroupe les avantages des deux projets.  |   => suggestions : ['']

9 Mot inconnu : Shutters3D-SyncDaemon => De plus, le but de **Shutters3D-SyncDaemon** est de donner la possibilité à n'importe quel logiciel de prendre le contrôle des lunettes 3D simplement en servant de relais entre les logiciels et le matériel. La communication entre les logiciels et le démon se fait actuellement grâce aux Socket, librairie nativement intégrée dans python (en gros, c'est un pilote Linux pour les lunettes Nvidia 3D Vision). | shutters3d-syncdaemon
9 Accord de nombre erroné : « Socket » est au singulier. => De plus, le but de **Shutters3D-SyncDaemon** est de donner la possibilité à n'importe quel logiciel de prendre le contrôle des lunettes 3D simplement en servant de relais entre les logiciels et le matériel. La communication entre les logiciels et le démon se fait actuellement grâce aux Socket, librairie nativement intégrée dans python (en gros, c'est un pilote Linux pour les lunettes Nvidia 3D Vision). | aux => suggestions : ['au']
9 Accord de nombre erroné : « Socket » devrait être au pluriel. => De plus, le but de **Shutters3D-SyncDaemon** est de donner la possibilité à n'importe quel logiciel de prendre le contrôle des lunettes 3D simplement en servant de relais entre les logiciels et le matériel. La communication entre les logiciels et le démon se fait actuellement grâce aux Socket, librairie nativement intégrée dans python (en gros, c'est un pilote Linux pour les lunettes Nvidia 3D Vision). | socket => suggestions : ['Sockets']
