
4 Mot inconnu : Whatsapp [[37:45]] => ====== Signal, l'équivalent libre de Whatsapp ====== <|> whatsapp

5 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

7 Mot inconnu : iOS [[83:86]] => L'application est non seulement disponible sur smartphones (Android, Ubuntu Phone, iOS), mais aussi sur ordinateur pour Linux, Windows et OS X. <|> ios

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

25 Après “être”, le verbe ne devrait pas être à l’infinitif. [[44:52]] => Lors de la première ouverture, il vous sera demander de scanner le QR code pour lier votre ordinateur au compte sur votre téléphone. <|> demander => suggestions : ['demandé', 'demandées', 'demandée', 'demandés']
25 Mot inconnu : QR [[67:69]] => Lors de la première ouverture, il vous sera demander de scanner le QR code pour lier votre ordinateur au compte sur votre téléphone. <|> qr

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']
