
4 Mot inconnu : OpenLDAP => ====== Un serveur d'annuaire avec OpenLDAP ====== | openldap

6 Mot inconnu : HowTo => Ce document est la traduction du HowTo présenté à l'adresse https://wiki.ubuntu.com/OpenLDAPServer.  | howto
6 Espace(s) en fin de ligne à supprimer. => Ce document est la traduction du HowTo présenté à l'adresse https://wiki.ubuntu.com/OpenLDAPServer.  |   => suggestions : ['']

10 Mot inconnu : Directory => Pour expliquer rapidement, toutes les informations sont stockées dans un arbre. Vous devez déterminer l'arborescence des annuaires ou, autrement dit, des informations de l'arbre (Directory Information Tree).  | directory
10 Mot inconnu : Tree => Pour expliquer rapidement, toutes les informations sont stockées dans un arbre. Vous devez déterminer l'arborescence des annuaires ou, autrement dit, des informations de l'arbre (Directory Information Tree).  | tree
10 Espace(s) en fin de ligne à supprimer. => Pour expliquer rapidement, toutes les informations sont stockées dans un arbre. Vous devez déterminer l'arborescence des annuaires ou, autrement dit, des informations de l'arbre (Directory Information Tree).  |   => suggestions : ['']

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le nœud "People" , où seront stockés vos utilisateurs, |    => suggestions : ['']
12 Guillemets typographiques ouvrants. =>   * Le nœud "People" , où seront stockés vos utilisateurs, | " => suggestions : ['«\xa0', '“']
12 Guillemets typographiques fermants. =>   * Le nœud "People" , où seront stockés vos utilisateurs, | " => suggestions : ['\xa0»', '”']
12 Pas d’espace avant une virgule. =>   * Le nœud "People" , où seront stockés vos utilisateurs, |  , => suggestions : [',']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le nœud "Groups" , où seront enregistrés vos groupes. |    => suggestions : ['']
13 Guillemets typographiques ouvrants. =>   * Le nœud "Groups" , où seront enregistrés vos groupes. | " => suggestions : ['«\xa0', '“']
13 Mot inconnu : Groups =>   * Le nœud "Groups" , où seront enregistrés vos groupes. | groups
13 Guillemets typographiques fermants. =>   * Le nœud "Groups" , où seront enregistrés vos groupes. | " => suggestions : ['\xa0»', '”']
13 Pas d’espace avant une virgule. =>   * Le nœud "Groups" , où seront enregistrés vos groupes. |  , => suggestions : [',']

15 Mot inconnu : LDAP => Vous devez commencer par déterminer ce que sera la racine de votre LDAP. Par défaut, votre arbre peut être déterminé à partir de votre domaine Internet. Si votre domaine est exemple.com , votre racine sera  dc=exemple,dc=com . | ldap
15 Pas d’espace avant une virgule. => Vous devez commencer par déterminer ce que sera la racine de votre LDAP. Par défaut, votre arbre peut être déterminé à partir de votre domaine Internet. Si votre domaine est exemple.com , votre racine sera  dc=exemple,dc=com . |  , => suggestions : [',']
15 Espace(s) surnuméraire(s) à supprimer. => Vous devez commencer par déterminer ce que sera la racine de votre LDAP. Par défaut, votre arbre peut être déterminé à partir de votre domaine Internet. Si votre domaine est exemple.com , votre racine sera  dc=exemple,dc=com . |    => suggestions : [' ']
15 Mot inconnu : dc => Vous devez commencer par déterminer ce que sera la racine de votre LDAP. Par défaut, votre arbre peut être déterminé à partir de votre domaine Internet. Si votre domaine est exemple.com , votre racine sera  dc=exemple,dc=com . | dc
15 Il manque un espace. => Vous devez commencer par déterminer ce que sera la racine de votre LDAP. Par défaut, votre arbre peut être déterminé à partir de votre domaine Internet. Si votre domaine est exemple.com , votre racine sera  dc=exemple,dc=com . | dc => suggestions : [' dc']
15 Mot inconnu : dc => Vous devez commencer par déterminer ce que sera la racine de votre LDAP. Par défaut, votre arbre peut être déterminé à partir de votre domaine Internet. Si votre domaine est exemple.com , votre racine sera  dc=exemple,dc=com . | dc

19 Mot inconnu : dpkg-reconfigure => Dans le cas contraire, il risque d'y avoir une contradiction entre le nom choisi à l'installation (ou demandé par dpkg-reconfigure) et celui récupéré automatiquement par l'installation du paquet (dc=lenomdedomaine,dc=extension). je n'ai pas réussi à modifier cela dans la base LDAP. solutionné par tout désinstaller, renommer puis réinstaller.</note> | dpkg-reconfigure
19 Mot inconnu : dc => Dans le cas contraire, il risque d'y avoir une contradiction entre le nom choisi à l'installation (ou demandé par dpkg-reconfigure) et celui récupéré automatiquement par l'installation du paquet (dc=lenomdedomaine,dc=extension). je n'ai pas réussi à modifier cela dans la base LDAP. solutionné par tout désinstaller, renommer puis réinstaller.</note> | dc
19 Mot inconnu : lenomdedomaine => Dans le cas contraire, il risque d'y avoir une contradiction entre le nom choisi à l'installation (ou demandé par dpkg-reconfigure) et celui récupéré automatiquement par l'installation du paquet (dc=lenomdedomaine,dc=extension). je n'ai pas réussi à modifier cela dans la base LDAP. solutionné par tout désinstaller, renommer puis réinstaller.</note> | lenomdedomaine
19 Il manque un espace. => Dans le cas contraire, il risque d'y avoir une contradiction entre le nom choisi à l'installation (ou demandé par dpkg-reconfigure) et celui récupéré automatiquement par l'installation du paquet (dc=lenomdedomaine,dc=extension). je n'ai pas réussi à modifier cela dans la base LDAP. solutionné par tout désinstaller, renommer puis réinstaller.</note> | dc => suggestions : [' dc']
19 Mot inconnu : dc => Dans le cas contraire, il risque d'y avoir une contradiction entre le nom choisi à l'installation (ou demandé par dpkg-reconfigure) et celui récupéré automatiquement par l'installation du paquet (dc=lenomdedomaine,dc=extension). je n'ai pas réussi à modifier cela dans la base LDAP. solutionné par tout désinstaller, renommer puis réinstaller.</note> | dc
19 Mot inconnu : LDAP => Dans le cas contraire, il risque d'y avoir une contradiction entre le nom choisi à l'installation (ou demandé par dpkg-reconfigure) et celui récupéré automatiquement par l'installation du paquet (dc=lenomdedomaine,dc=extension). je n'ai pas réussi à modifier cela dans la base LDAP. solutionné par tout désinstaller, renommer puis réinstaller.</note> | ldap

43 Espace(s) en fin de ligne à supprimer. => </code>  |   => suggestions : ['']

48 Mot inconnu : LDAP => Nous allons commencer par enregistrer le mot de passe administrateur (de LDAP) dans le fichier de configuration en éditant ce fichier. Ce serait une folie de vouloir enregistrer votre mot de passe en clair donc nous allons générer votre mot de passe en chiffré avec la commande : | ldap

60 Guillemets typographiques ouvrants. => Cet exemple montre la définition de votre mot de passe en utilisant le mot de passe "secret". (D'après l'implémentation de SSHA, votre résultat peut varier) . | " => suggestions : ['«\xa0', '“']
60 Guillemets typographiques fermants. => Cet exemple montre la définition de votre mot de passe en utilisant le mot de passe "secret". (D'après l'implémentation de SSHA, votre résultat peut varier) . | " => suggestions : ['\xa0»', '”']
60 Mot inconnu : SSHA => Cet exemple montre la définition de votre mot de passe en utilisant le mot de passe "secret". (D'après l'implémentation de SSHA, votre résultat peut varier) . | ssha

78 Mot inconnu : slapd => Toutes les informations relatives à **slapd.d** (dossier remplaçant slapd.conf) sont maintenant inscrites au moment où on lance la commande //dpkg-reconfigure slapd// | slapd
78 Mot inconnu : slapd => Toutes les informations relatives à **slapd.d** (dossier remplaçant slapd.conf) sont maintenant inscrites au moment où on lance la commande //dpkg-reconfigure slapd// | slapd
78 Il manque un espace. => Toutes les informations relatives à **slapd.d** (dossier remplaçant slapd.conf) sont maintenant inscrites au moment où on lance la commande //dpkg-reconfigure slapd// | conf => suggestions : [' conf']
78 Mot inconnu : dpkg-reconfigure => Toutes les informations relatives à **slapd.d** (dossier remplaçant slapd.conf) sont maintenant inscrites au moment où on lance la commande //dpkg-reconfigure slapd// | dpkg-reconfigure
78 Mot inconnu : slapd => Toutes les informations relatives à **slapd.d** (dossier remplaçant slapd.conf) sont maintenant inscrites au moment où on lance la commande //dpkg-reconfigure slapd// | slapd

80 Mot inconnu : LDAP => ===== Remplir LDAP ===== | ldap

82 Apostrophe incorrecte. => L' annuaire a été créé lors de l'installation, il est maintenant temps de le remplir. Il sera rempli avec des entrées classiques qui seront compatibles avec la structure d'un annuaire (pour un annuaire partagé), avec les comptes classiques (pour une authentification Web par exemple) et avec les comptes Unix (posix). | l'  => suggestions : ['L’']
82 Guillemets typographiques fermants. => L' annuaire a été créé lors de l'installation, il est maintenant temps de le remplir. Il sera rempli avec des entrées classiques qui seront compatibles avec la structure d'un annuaire (pour un annuaire partagé), avec les comptes classiques (pour une authentification Web par exemple) et avec les comptes Unix (posix). | ' => suggestions : ['”', '’', '›']
82 Mot inconnu : posix => L' annuaire a été créé lors de l'installation, il est maintenant temps de le remplir. Il sera rempli avec des entrées classiques qui seront compatibles avec la structure d'un annuaire (pour un annuaire partagé), avec les comptes classiques (pour une authentification Web par exemple) et avec les comptes Unix (posix). | posix

84 Mot inconnu : LDAP => L'annuaire LDAP peut être rempli par des fichiers ldif (ldif signifie ldap directory interchange format). Vous pouvez commencer en créant ce fichier d'exemple (init.ldif) : | ldap
84 Mot inconnu : ldif => L'annuaire LDAP peut être rempli par des fichiers ldif (ldif signifie ldap directory interchange format). Vous pouvez commencer en créant ce fichier d'exemple (init.ldif) : | ldif
84 Mot inconnu : ldif => L'annuaire LDAP peut être rempli par des fichiers ldif (ldif signifie ldap directory interchange format). Vous pouvez commencer en créant ce fichier d'exemple (init.ldif) : | ldif
84 Mot inconnu : ldap => L'annuaire LDAP peut être rempli par des fichiers ldif (ldif signifie ldap directory interchange format). Vous pouvez commencer en créant ce fichier d'exemple (init.ldif) : | ldap
84 Mot inconnu : directory => L'annuaire LDAP peut être rempli par des fichiers ldif (ldif signifie ldap directory interchange format). Vous pouvez commencer en créant ce fichier d'exemple (init.ldif) : | directory
84 Mot inconnu : init => L'annuaire LDAP peut être rempli par des fichiers ldif (ldif signifie ldap directory interchange format). Vous pouvez commencer en créant ce fichier d'exemple (init.ldif) : | init
84 Mot inconnu : ldif => L'annuaire LDAP peut être rempli par des fichiers ldif (ldif signifie ldap directory interchange format). Vous pouvez commencer en créant ce fichier d'exemple (init.ldif) : | ldif
87 Mot inconnu : init => # fichier de données : ~/init.ldif | init
87 Mot inconnu : ldif => # fichier de données : ~/init.ldif | ldif

88 Mot inconnu : dn => dn: dc=example,dc=com | dn
88 Mot inconnu : dc => dn: dc=example,dc=com | dc
88 Mot inconnu : example => dn: dc=example,dc=com | example
88 Il manque un espace. => dn: dc=example,dc=com | dc => suggestions : [' dc']
88 Mot inconnu : dc => dn: dc=example,dc=com | dc

89 Mot inconnu : objectClass => objectClass: dcObject | objectclass
89 Mot inconnu : dcObject => objectClass: dcObject | dcobject

90 Mot inconnu : objectClass => objectClass: organizationalUnit | objectclass
90 Mot inconnu : organizationalUnit => objectClass: organizationalUnit | organizationalunit

91 Mot inconnu : dc => dc: example | dc
91 Mot inconnu : example => dc: example | example
92 Mot inconnu : Example => ou: Example Dot Com | example

94 Mot inconnu : dn => dn: ou=people,dc=example,dc=com | dn
94 Il manque un espace. => dn: ou=people,dc=example,dc=com | dc => suggestions : [' dc']
94 Mot inconnu : dc => dn: ou=people,dc=example,dc=com | dc
94 Mot inconnu : example => dn: ou=people,dc=example,dc=com | example
94 Il manque un espace. => dn: ou=people,dc=example,dc=com | dc => suggestions : [' dc']
94 Mot inconnu : dc => dn: ou=people,dc=example,dc=com | dc

95 Mot inconnu : objectClass => objectClass: organizationalUnit | objectclass
95 Mot inconnu : organizationalUnit => objectClass: organizationalUnit | organizationalunit

98 Mot inconnu : dn => dn: ou=groups,dc=example,dc=com | dn
98 Mot inconnu : groups => dn: ou=groups,dc=example,dc=com | groups
98 Il manque un espace. => dn: ou=groups,dc=example,dc=com | dc => suggestions : [' dc']
98 Mot inconnu : dc => dn: ou=groups,dc=example,dc=com | dc
98 Mot inconnu : example => dn: ou=groups,dc=example,dc=com | example
98 Il manque un espace. => dn: ou=groups,dc=example,dc=com | dc => suggestions : [' dc']
98 Mot inconnu : dc => dn: ou=groups,dc=example,dc=com | dc

99 Mot inconnu : objectClass => objectClass: organizationalUnit | objectclass
99 Mot inconnu : organizationalUnit => objectClass: organizationalUnit | organizationalunit
100 Mot inconnu : groups => ou: groups | groups

102 Mot inconnu : dn => dn: uid=lionel,ou=people,dc=example,dc=com | dn
102 Mot inconnu : uid => dn: uid=lionel,ou=people,dc=example,dc=com | uid
102 Mot inconnu : lionel => dn: uid=lionel,ou=people,dc=example,dc=com | lionel
102 Il manque un espace. => dn: uid=lionel,ou=people,dc=example,dc=com | ou => suggestions : [' ou']
102 Il manque un espace. => dn: uid=lionel,ou=people,dc=example,dc=com | dc => suggestions : [' dc']
102 Mot inconnu : dc => dn: uid=lionel,ou=people,dc=example,dc=com | dc
102 Mot inconnu : example => dn: uid=lionel,ou=people,dc=example,dc=com | example
102 Il manque un espace. => dn: uid=lionel,ou=people,dc=example,dc=com | dc => suggestions : [' dc']
102 Mot inconnu : dc => dn: uid=lionel,ou=people,dc=example,dc=com | dc

103 Mot inconnu : objectClass => objectClass: inetOrgPerson | objectclass
103 Mot inconnu : inetOrgPerson => objectClass: inetOrgPerson | inetorgperson

104 Mot inconnu : objectClass => objectClass: posixAccount | objectclass
104 Mot inconnu : posixAccount => objectClass: posixAccount | posixaccount

105 Mot inconnu : objectClass => objectClass: shadowAccount | objectclass
105 Mot inconnu : shadowAccount => objectClass: shadowAccount | shadowaccount

106 Mot inconnu : uid => uid: lionel | uid
106 Mot inconnu : lionel => uid: lionel | lionel

107 Mot inconnu : sn => sn: Porcheron | sn
107 Mot inconnu : Porcheron => sn: Porcheron | porcheron

108 Mot inconnu : givenName => givenName: Lionel | givenname

109 Mot inconnu : cn => cn: Lionel Porcheron | cn
109 Mot inconnu : Porcheron => cn: Lionel Porcheron | porcheron

110 Mot inconnu : displayName => displayName: Lionel Porcheron | displayname
110 Mot inconnu : Porcheron => displayName: Lionel Porcheron | porcheron

111 Mot inconnu : uidNumber => uidNumber: 1000 | uidnumber

112 Mot inconnu : gidNumber => gidNumber: 10000 | gidnumber
112 Formatage des grands nombres. => gidNumber: 10000 | 10000 => suggestions : ['10\xa0000', '1\xa00000']

113 Mot inconnu : gecos => gecos: Lionel Porcheron | gecos
113 Mot inconnu : Porcheron => gecos: Lionel Porcheron | porcheron

114 Mot inconnu : loginShell => loginShell: /bin/bash | loginshell

115 Mot inconnu : homeDirectory => homeDirectory: /home/lionel | homedirectory

116 Mot inconnu : shadowExpire => shadowExpire: -1 | shadowexpire
116 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. => shadowExpire: -1 | -1 => suggestions : ['−1', '– 1', '— 1']

117 Mot inconnu : shadowFlag => shadowFlag: 0 | shadowflag

118 Mot inconnu : shadowWarning => shadowWarning: 7 | shadowwarning

119 Mot inconnu : shadowMin => shadowMin: 8 | shadowmin

120 Mot inconnu : shadowMax => shadowMax: 999999 | shadowmax
120 Formatage des grands nombres. => shadowMax: 999999 | 999999 => suggestions : ['999\xa0999']

121 Mot inconnu : shadowLastChange => shadowLastChange: 10877 | shadowlastchange
