1 Mot inconnu : Yellow [[9:15]] => Bonjour, Yellow <|> yellow

5 Mot inconnu : sup [[22:25]] => Dans la barre de menu sup. du bureau -> Icône Enceinte (Phone) clic droit <|> sup

7 Mot inconnu : Edition [[63:70]] => Dans la barre de menu de la fenêtre du contrôleur de volume -> Edition (Ctrl d) <|> edition

8 Accord de genre erroné entre “option” et “menu”. [[45:49]] => Dans le menu qui apparait à côté de l'option menu Edition -> Cocher tout sauf l'amplicateur externe (External Amplificater). <|> menu => suggestions : ['menue']
8 Mot inconnu : Edition [[50:57]] => Dans le menu qui apparait à côté de l'option menu Edition -> Cocher tout sauf l'amplicateur externe (External Amplificater). <|> edition
8 Mot inconnu : amplicateur [[80:91]] => Dans le menu qui apparait à côté de l'option menu Edition -> Cocher tout sauf l'amplicateur externe (External Amplificater). <|> amplicateur
8 Mot inconnu : External [[101:109]] => Dans le menu qui apparait à côté de l'option menu Edition -> Cocher tout sauf l'amplicateur externe (External Amplificater). <|> external
8 Mot inconnu : Amplificater [[110:122]] => Dans le menu qui apparait à côté de l'option menu Edition -> Cocher tout sauf l'amplicateur externe (External Amplificater). <|> amplificater

10 Mot inconnu : Paramêtre [[14:23]] => Dans l'onglet Paramêtre de la fenêtre du contrôleur de volume -> Cocher seulement Mix. <|> paramêtre

12 Typographie : points de suspension. Utilisez le caractère dédié. [[0:3]] => ... solution en cours d'élaboration <|> ... => suggestions : ['…']
14 Espace(s) en fin de ligne à supprimer. [[22:23]] => Problèmes rencontrés :  <|>   => suggestions : ['']

15 Mot inconnu : Web-cam [[2:9]] => * Web-cam usb munie d'un micro qui prennait la position 0 pour l'utilitaire alsa-mixer -c0 --> Aucun son. <|> web-cam
15 Mot inconnu : prennait [[35:43]] => * Web-cam usb munie d'un micro qui prennait la position 0 pour l'utilitaire alsa-mixer -c0 --> Aucun son. <|> prennait
15 Mot inconnu : alsa-mixer [[76:86]] => * Web-cam usb munie d'un micro qui prennait la position 0 pour l'utilitaire alsa-mixer -c0 --> Aucun son. <|> alsa-mixer
15 Il manque un espace à côté du tiret. [[86:88]] => * Web-cam usb munie d'un micro qui prennait la position 0 pour l'utilitaire alsa-mixer -c0 --> Aucun son. <|>  - => suggestions : [' – ', ' — ']
15 Mot inconnu : c0 [[88:90]] => * Web-cam usb munie d'un micro qui prennait la position 0 pour l'utilitaire alsa-mixer -c0 --> Aucun son. <|> c0

18 Mot inconnu : Perlinski [[7:16]] => Jérôme Perlinski <|> perlinski
