
4 Mot inconnu : Dedicated [[14:23]] => ====== Source Dedicated Server ====== <|> dedicated
4 Mot inconnu : Server [[24:30]] => ====== Source Dedicated Server ====== <|> server

32 Mot inconnu : steam [[61:66]] => L'utilitaire téléchargé va ensuite extraire un exécutable, //steam// et un fichier //readme.txt// <|> steam
32 Mot inconnu : readme [[85:91]] => L'utilitaire téléchargé va ensuite extraire un exécutable, //steam// et un fichier //readme.txt// <|> readme
32 Mot inconnu : txt [[92:95]] => L'utilitaire téléchargé va ensuite extraire un exécutable, //steam// et un fichier //readme.txt// <|> txt

34 Mot inconnu : steam [[20:25]] => On lance maintenant steam pour obtenir les binaires et fichiers de base du serveur dédié, commun a tous les jeux. <|> steam
39 Mot inconnu : srcds [[32:37]] =>   * Si vous créez votre dossier srcds à la racine du système, toutes les commandes doivent être précédées de sudo <|> srcds
39 Mot inconnu : sudo [[109:113]] =>   * Si vous créez votre dossier srcds à la racine du système, toutes les commandes doivent être précédées de sudo <|> sudo
40 Formatage des grands nombres. [[29:34]] =>   * Assurez-vous que le port 27031 est ouvert lorsque vous lancez le binaire steam, la mise à jour est par exemple impossible en milieu universitaire ou autre connexion restreinte. <|> 27031 => suggestions : ['27\xa0031']
40 Mot inconnu : steam [[77:82]] =>   * Assurez-vous que le port 27031 est ouvert lorsque vous lancez le binaire steam, la mise à jour est par exemple impossible en milieu universitaire ou autre connexion restreinte. <|> steam

47 Mot inconnu : steam [[55:60]] => Pour cela on utilise le même binaire que précédemment, steam. Ici nous allons télécharger les fichiers du jeu Counter-Strike Source :  <|> steam
47 Mot inconnu : Counter-Strike [[110:124]] => Pour cela on utilise le même binaire que précédemment, steam. Ici nous allons télécharger les fichiers du jeu Counter-Strike Source :  <|> counter-strike
47 Espace(s) en fin de ligne à supprimer. [[133:134]] => Pour cela on utilise le même binaire que précédemment, steam. Ici nous allons télécharger les fichiers du jeu Counter-Strike Source :  <|>   => suggestions : ['']

70 Pas d’espace après ce signe. [[61:63]] => Le temps du téléchargement des fichiers peut-être assez long ( plusieurs méga voir gigaoctets ). <|> (  => suggestions : ['(']
70 Accord de nombre erroné : « méga » devrait être au pluriel. [[73:77]] => Le temps du téléchargement des fichiers peut-être assez long ( plusieurs méga voir gigaoctets ). <|> méga => suggestions : ['mégas']
70 Pas d’espace avant ce signe. [[93:95]] => Le temps du téléchargement des fichiers peut-être assez long ( plusieurs méga voir gigaoctets ). <|>  ) => suggestions : [')']

72 Espace(s) en fin de ligne à supprimer. [[104:105]] => <note> Notez qu'à la fin de cette dernière commande, on a précisé le chemin de destination des fichiers.  <|>   => suggestions : ['']

83 Mot inconnu : Counter-Strike [[28:42]] => Le serveur lance une partie Counter-Strike Source, sur la carte "de_dust2", avec une limite de 16 joueurs. <|> counter-strike
83 Guillemets typographiques ouvrants. [[64:65]] => Le serveur lance une partie Counter-Strike Source, sur la carte "de_dust2", avec une limite de 16 joueurs. <|> " => suggestions : ['«\xa0', '“']
83 Mot inconnu : de_dust2 [[65:73]] => Le serveur lance une partie Counter-Strike Source, sur la carte "de_dust2", avec une limite de 16 joueurs. <|> de_dust2
83 Guillemets typographiques fermants. [[73:74]] => Le serveur lance une partie Counter-Strike Source, sur la carte "de_dust2", avec une limite de 16 joueurs. <|> " => suggestions : ['\xa0»', '”']

85 Accord de genre erroné : « CSS » est féminin. [[28:30]] => Pour les jeux contenus dans le CSS "Box", les fichier sont situés dans ../votredossier_srcds/css/. <|> le => suggestions : ['la']
85 Guillemets typographiques ouvrants. [[35:36]] => Pour les jeux contenus dans le CSS "Box", les fichier sont situés dans ../votredossier_srcds/css/. <|> " => suggestions : ['«\xa0', '“']
85 Guillemets typographiques fermants. [[39:40]] => Pour les jeux contenus dans le CSS "Box", les fichier sont situés dans ../votredossier_srcds/css/. <|> " => suggestions : ['\xa0»', '”']
85 Accord de nombre erroné : « fichier » devrait être au pluriel. [[46:53]] => Pour les jeux contenus dans le CSS "Box", les fichier sont situés dans ../votredossier_srcds/css/. <|> fichier => suggestions : ['fichiers']
85 Typographie : un ou trois points ? [[71:73]] => Pour les jeux contenus dans le CSS "Box", les fichier sont situés dans ../votredossier_srcds/css/. <|> .. => suggestions : ['…', '.']
85 Mot inconnu : votredossier_srcds [[74:92]] => Pour les jeux contenus dans le CSS "Box", les fichier sont situés dans ../votredossier_srcds/css/. <|> votredossier_srcds
85 Mot inconnu : css [[93:96]] => Pour les jeux contenus dans le CSS "Box", les fichier sont situés dans ../votredossier_srcds/css/. <|> css

88 Mot inconnu : Day [[35:38]] => Voici un exemple de lancement pour Day of Defeat Source : <|> day
88 Mot inconnu : of [[39:41]] => Voici un exemple de lancement pour Day of Defeat Source : <|> of
88 Mot inconnu : Defeat [[42:48]] => Voici un exemple de lancement pour Day of Defeat Source : <|> defeat

97 Mot inconnu : LAN-Party [[39:48]] => Regardez sur les forums spécialisés en LAN-Party ou demandez aux admins de LAN si il peuvent vous les filer, ils sont très intéressants à analyser. <|> lan-party
97 Mot inconnu : LAN [[75:78]] => Regardez sur les forums spécialisés en LAN-Party ou demandez aux admins de LAN si il peuvent vous les filer, ils sont très intéressants à analyser. <|> lan
97 Il faut élider “si” et l’accoler au pronom. [[79:82]] => Regardez sur les forums spécialisés en LAN-Party ou demandez aux admins de LAN si il peuvent vous les filer, ils sont très intéressants à analyser. <|> si  => suggestions : ['s’']
97 Accord avec “peuvent”. [[82:84]] => Regardez sur les forums spécialisés en LAN-Party ou demandez aux admins de LAN si il peuvent vous les filer, ils sont très intéressants à analyser. <|> il => suggestions : ['ils']
97 Conjugaison erronée. Accord avec “il”. Le verbe devrait être à la 3ᵉ personne du singulier. [[85:92]] => Regardez sur les forums spécialisés en LAN-Party ou demandez aux admins de LAN si il peuvent vous les filer, ils sont très intéressants à analyser. <|> peuvent => suggestions : ['peut']
109 Typographie : points de suspension. Utilisez le caractère dédié. [[18:21]] => //Contributeurs : ...// <|> ... => suggestions : ['…']
