
2 Mot inconnu : Stacer => ====== Stacer (optimisation et monitoring Linux) ====== | stacer

4 Mot inconnu : Stacer => Stacer est une application open source permettant : | stacer
15 Mot inconnu : stacer => Ou plus simplement avec l'apt URL **[[apt>stacer]]** | stacer

24 Mot inconnu : Stacer => Installer Stacer | stacer

28 Mot inconnu : DEB => Il vous suffit de télécharger le paquet DEB correspondant à votre architecture le dépôt [[https://sourceforge.net/projects/stacer/files/|SourceForge]] ou [[https://github.com/oguzhaninan/Stacer/releases|GitHub]] où vous pourrez aussi télécharger le code source. | deb

46 Guillemets typographiques ouvrants. => <note warning>Sélectionner "Cache des applications" peut causer des problèmes à votre système. S'il vous plaît, faites attention !</note> | " => suggestions : ['«\xa0', '“']
46 Guillemets typographiques fermants. => <note warning>Sélectionner "Cache des applications" peut causer des problèmes à votre système. S'il vous plaît, faites attention !</note> | " => suggestions : ['\xa0»', '”']

49 Mot inconnu : BETA => Encore en version BETA. | beta

51 Accord de nombre erroné avec « les fichiers » : « lourd » devrait être au pluriel. => Vous pouvez vous servir de la recherche avancée pour trouver les fichiers trop lourd ou d'une certaine extension //grâce aux expressions régulières//. | lourd => suggestions : ['lourds']

65 Espace(s) en fin de ligne à supprimer. => Historique d'utilisation du CPU, de la mémoire et du réseau.  |   => suggestions : ['']
67 Mot inconnu : Helpers => ==== Le neuvième onglet : Helpers ==== | helpers

68 Mot inconnu : hosts => Permet d'ajouter des hosts, des adresses IP. | hosts
70 Mot inconnu : Repository => ====Le dixième onglet : APT Repository Manager ==== | repository

72 Guillemets typographiques ouvrants. => Pour une utilisation "publique" d'Ubuntu vous n'avez pas besoin d'avoir les miroirs comprenant //(Code Source)//. | " => suggestions : ['«\xa0', '“']
72 Guillemets typographiques fermants. => Pour une utilisation "publique" d'Ubuntu vous n'avez pas besoin d'avoir les miroirs comprenant //(Code Source)//. | " => suggestions : ['\xa0»', '”']

81 Mot inconnu : Stacer => Vous pouvez connaître la version de Stacer utilisée. | stacer

82 Mot inconnu : Stacer => Vous pouvez aussi faire des dons à l'équipe de développement de Stacer. | stacer

84 Mot inconnu : Stacer => ===== En cas de problèmes avec Stacer ===== | stacer

85 Confusion : « trouve » est un verbe. Exemples : ce bâtiment, se perdre. => Tout en bas de la barre de navigation ce trouve un bouton à icône de message, envoyer une Feedback à l'équipe de Stacer.  | ce => suggestions : ['se']
85 Accord de genre erroné : « Feedback » est masculin. => Tout en bas de la barre de navigation ce trouve un bouton à icône de message, envoyer une Feedback à l'équipe de Stacer.  | une => suggestions : ['un']
85 Mot inconnu : Stacer => Tout en bas de la barre de navigation ce trouve un bouton à icône de message, envoyer une Feedback à l'équipe de Stacer.  | stacer
85 Espace(s) en fin de ligne à supprimer. => Tout en bas de la barre de navigation ce trouve un bouton à icône de message, envoyer une Feedback à l'équipe de Stacer.  |   => suggestions : ['']

87 Mot inconnu : Stacer => ===== Désinstaller Stacer ===== | stacer

88 Il manque un espace. => [[tutoriel:comment_supprimer_un_paquet|Comment supprimer un paquet ?]] | comment_supprimer_un_paquet => suggestions : [' comment_supprimer_un_paquet']
88 Mot inconnu : comment_supprimer_un_paquet => [[tutoriel:comment_supprimer_un_paquet|Comment supprimer un paquet ?]] | comment_supprimer_un_paquet

90 Mot inconnu : Stacer => ===== Conclusion à propos de Stacer ===== | stacer

91 Mot inconnu : Tweak => Ce logiciel peut être considéré comme un mélange entre le moniteur système et Ubuntu Tweak - Cleaner (Paix à ses octets). Toutefois, il est préférable de faire attention à l'usage que l'on fait de ce logiciel car il peut s'avérer dangereux. | tweak
91 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Ce logiciel peut être considéré comme un mélange entre le moniteur système et Ubuntu Tweak - Cleaner (Paix à ses octets). Toutefois, il est préférable de faire attention à l'usage que l'on fait de ce logiciel car il peut s'avérer dangereux. |  -  => suggestions : [' – ', ' — ', ' − ']
91 Mot inconnu : Cleaner => Ce logiciel peut être considéré comme un mélange entre le moniteur système et Ubuntu Tweak - Cleaner (Paix à ses octets). Toutefois, il est préférable de faire attention à l'usage que l'on fait de ce logiciel car il peut s'avérer dangereux. | cleaner
91 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => Ce logiciel peut être considéré comme un mélange entre le moniteur système et Ubuntu Tweak - Cleaner (Paix à ses octets). Toutefois, il est préférable de faire attention à l'usage que l'on fait de ce logiciel car il peut s'avérer dangereux. |  car => suggestions : [', car']
