4 Mot inconnu : Command [[13:20]] => ====== Steam Command ====== <|> command

39 Mot inconnu : steamcmd [[20:28]] => On lance maintenant steamcmd pour obtenir les binaires et fichiers de base du serveur dédié, commun à tous les jeux. <|> steamcmd
44 Mot inconnu : steam_ds [[32:40]] =>   * Si vous créez votre dossier steam_ds à la racine du système, toutes les commandes doivent être précédées de sudo <|> steam_ds
44 Mot inconnu : sudo [[112:116]] =>   * Si vous créez votre dossier steam_ds à la racine du système, toutes les commandes doivent être précédées de sudo <|> sudo
45 Formatage des grands nombres. [[29:34]] =>   * Assurez-vous que le port 27031 est ouvert lorsque vous lancez le binaire, la mise à jour est par exemple impossible en milieu universitaire ou autre connexion restreinte. <|> 27031 => suggestions : None

52 Mot inconnu : steamcmd [[55:63]] => Pour cela on utilise le même binaire que précédemment, steamcmd. Ici nous allons télécharger les fichiers du jeu Counter-Strike Source : <|> steamcmd
52 Mot inconnu : Counter-Strike [[113:127]] => Pour cela on utilise le même binaire que précédemment, steamcmd. Ici nous allons télécharger les fichiers du jeu Counter-Strike Source : <|> counter-strike

72 Pas d’espace après ce signe. [[61:63]] => Le temps du téléchargement des fichiers peut-être assez long ( plusieurs méga voir gigaoctets ). <|> (  => suggestions : None
72 Accord de nombre erroné : « méga » devrait être au pluriel. [[73:77]] => Le temps du téléchargement des fichiers peut-être assez long ( plusieurs méga voir gigaoctets ). <|> méga => suggestions : None
72 Pas d’espace avant ce signe. [[93:95]] => Le temps du téléchargement des fichiers peut-être assez long ( plusieurs méga voir gigaoctets ). <|>  ) => suggestions : None

85 Mot inconnu : Counter-Strike [[28:42]] => Le serveur lance une partie Counter-Strike GO, sur la carte "de_dust2", avec une limite de 16 joueurs. <|> counter-strike
85 Guillemets typographiques ouvrants. [[60:61]] => Le serveur lance une partie Counter-Strike GO, sur la carte "de_dust2", avec une limite de 16 joueurs. <|> " => suggestions : None
85 Mot inconnu : de_dust2 [[61:69]] => Le serveur lance une partie Counter-Strike GO, sur la carte "de_dust2", avec une limite de 16 joueurs. <|> de_dust2
85 Guillemets typographiques fermants. [[69:70]] => Le serveur lance une partie Counter-Strike GO, sur la carte "de_dust2", avec une limite de 16 joueurs. <|> " => suggestions : None
