2 Mot inconnu : realisé => realisé par <|> realisé

3 Mot inconnu : Taskwarrior => ====== Taskwarrior ===== <|> taskwarrior

4 Mot inconnu : Taskwarrior => Taskwarrior est un outil de gestion de tâches (de Todo list) fonctionnant directement en console. <|> taskwarrior
4 Mot inconnu : Todo => Taskwarrior est un outil de gestion de tâches (de Todo list) fonctionnant directement en console. <|> todo
4 Mot inconnu : list => Taskwarrior est un outil de gestion de tâches (de Todo list) fonctionnant directement en console. <|> list
20 Une de ces ponctuations est superflue. =>   * Liste des tâches par projet, des tâches à faire, celles en attente, les tâches faites, les tâches récurrentes, ... <|> , . => suggestions : [',', '.']
20 Typographie : points de suspension. Utilisez le caractère dédié. =>   * Liste des tâches par projet, des tâches à faire, celles en attente, les tâches faites, les tâches récurrentes, ... <|> ... => suggestions : ['…']
21 Typographie : points de suspension. Utilisez le caractère dédié. =>   * ... <|> ... => suggestions : ['…']
41 Mot inconnu : Tutorial =>   * Tutorial en 30 secondes : [[https://taskwarrior.org/docs/30second.html]] <|> tutorial

44 Espace(s) surnuméraire(s) à supprimer. => Contributeur  [[utilisateurs/arnaudsaintleger]] <|>    => suggestions : [' ']
44 Mot inconnu : arnaudsaintleger => Contributeur  [[utilisateurs/arnaudsaintleger]] <|> arnaudsaintleger
