
3 Mot inconnu : TripleA => ====== TripleA ====== | triplea

5 Mot inconnu : TripleA => **TripleA** est un portage libre du jeu "Axis and allies", un jeu de stratégie au tour par tour sur plateau. Plusieurs modes possible : | triplea
5 Guillemets typographiques ouvrants. => **TripleA** est un portage libre du jeu "Axis and allies", un jeu de stratégie au tour par tour sur plateau. Plusieurs modes possible : | " => suggestions : ['«\xa0', '“']
5 Mot inconnu : and => **TripleA** est un portage libre du jeu "Axis and allies", un jeu de stratégie au tour par tour sur plateau. Plusieurs modes possible : | and
5 Incohérence. Ceci est un verbe à la 2ᵉ personne du singulier. Sujet (“tu” ou “toi qui”) introuvable. => **TripleA** est un portage libre du jeu "Axis and allies", un jeu de stratégie au tour par tour sur plateau. Plusieurs modes possible : | allies => suggestions : ['allie']
5 Guillemets typographiques fermants. => **TripleA** est un portage libre du jeu "Axis and allies", un jeu de stratégie au tour par tour sur plateau. Plusieurs modes possible : | " => suggestions : ['\xa0»', '”']
5 Accord de nombre erroné avec « Plusieurs modes » : « possible » devrait être au pluriel. => **TripleA** est un portage libre du jeu "Axis and allies", un jeu de stratégie au tour par tour sur plateau. Plusieurs modes possible : | possible => suggestions : ['possibles']

6 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Seconde guerre mondiale 1942 |    => suggestions : ['']

7 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * 1ère guerre mondiale |    => suggestions : ['']
7 Nombre ordinal. Premier : 1ᵉʳ. Première : 1ʳᵉ. Premiers : 1ᵉʳˢ. Premières : 1ʳᵉˢ. =>   * 1ère guerre mondiale | 1ère => suggestions : ['1ʳᵉ']

8 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * capture du drapeau |    => suggestions : ['']

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * minimap |    => suggestions : ['']
9 Mot inconnu : minimap =>   * minimap | minimap

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Multijoueur : oui |    => suggestions : ['']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[http://triplea.sourceforge.net/mywiki|Site officiel]] |    => suggestions : ['']
