5 Mot inconnu : The [[27:30]] => ====== Ubuntu 14.04 LTS (« The Trusty Tahr ») ====== <|> the
5 Mot inconnu : Tahr [[38:42]] => ====== Ubuntu 14.04 LTS (« The Trusty Tahr ») ====== <|> tahr
13 Mot inconnu : term [[144:148]] => Son développement a débuté en octobre 2013 et s'est échelonné sur une période de six mois. La version stable, finale d'Ubuntu 14.04.1 LTS (long term support = support disponible pendant une longue durée) est sortie le **17 avril 2014 et était supportée jusqu'en avril 2019** <|> term
24 Mot inconnu : OpenStack [[171:180]] =>   * Du côté des serveurs, Ubuntu 14.04 LTS sera une base solide pour le déploiement de solutions en informatique pour les entreprises avec les trois prochaines versions d'OpenStack. <|> openstack
40 Mot inconnu : anti-aliasing [[51:64]] =>   * Ce nouveau décorateur de fenêtre amène aussi l'anti-aliasing des coins de fenêtres et elles perdent leurs bordures. <|> anti-aliasing
44 Mot inconnu : LightDM [[59:66]] =>   * Au verrouillage, c'est désormais l'écran de démarrage (LightDM) qui est affiché. <|> lightdm
46 Mot inconnu : Cheese [[4:10]] =>   * Cheese est maintenant inclus par défaut à l'installation. <|> cheese
47 Guillemets isolés. [[25:28]] =>   * Nouvelle interface du " Forcer à quitter " lorsqu'une application plante. <|>  "  => suggestions : [' «\xa0', '\xa0» ', ' “', '” ']
47 Guillemets isolés. [[44:47]] =>   * Nouvelle interface du " Forcer à quitter " lorsqu'une application plante. <|>  "  => suggestions : [' «\xa0', '\xa0» ', ' “', '” ']
53 Mot inconnu : power [[66:71]] =>   * Le noyau Linux passe en version 3.13, apportant le support du power management des cartes vidéos hybrides  <|> power
53 Espace(s) en fin de ligne à supprimer. [[109:110]] =>   * Le noyau Linux passe en version 3.13, apportant le support du power management des cartes vidéos hybrides  <|>   => suggestions : ['']
58 Mot inconnu : GCC [[4:7]] =>   * GCC en version 4.8.2 <|> gcc
62 Mot inconnu : recovery [[32:40]] => ===== Wifi avec Systemd en mode recovery (remplacé par systemd-shim dans Trusty) ===== <|> recovery
62 Mot inconnu : systemd-shim [[55:67]] => ===== Wifi avec Systemd en mode recovery (remplacé par systemd-shim dans Trusty) ===== <|> systemd-shim

65 Mot inconnu : recovery [[81:89]] => Donc voici les étapes que j'ai suivies pour activer une connexion réseau en mode recovery <|> recovery

68 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. [[0:2]] => - Sélectionner le mode root et taper le mot-de-passe correspondant au niveau du prompt. <|> -  => suggestions : ['—\xa0', '–\xa0']

71 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. [[0:2]] => - Activer la carte réseau en tapant **# systemctl enable network-manager.service**.\\ <|> -  => suggestions : ['—\xa0', '–\xa0']
71 Mot inconnu : systemctl [[40:49]] => - Activer la carte réseau en tapant **# systemctl enable network-manager.service**.\\ <|> systemctl
71 Mot inconnu : enable [[50:56]] => - Activer la carte réseau en tapant **# systemctl enable network-manager.service**.\\ <|> enable
71 Mot inconnu : network-manager [[57:72]] => - Activer la carte réseau en tapant **# systemctl enable network-manager.service**.\\ <|> network-manager
71 Il manque un espace. [[73:80]] => - Activer la carte réseau en tapant **# systemctl enable network-manager.service**.\\ <|> service => suggestions : [' service']

72 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. [[0:2]] => - Allumer l'interface réseau (switch) et activer l'interface réseau (ici wlan0) en tapant **# ifconfig wlan0 up**.\\ <|> -  => suggestions : ['—\xa0', '–\xa0']
72 Mot inconnu : switch [[30:36]] => - Allumer l'interface réseau (switch) et activer l'interface réseau (ici wlan0) en tapant **# ifconfig wlan0 up**.\\ <|> switch
72 Mot inconnu : wlan0 [[73:78]] => - Allumer l'interface réseau (switch) et activer l'interface réseau (ici wlan0) en tapant **# ifconfig wlan0 up**.\\ <|> wlan0
72 Mot inconnu : ifconfig [[94:102]] => - Allumer l'interface réseau (switch) et activer l'interface réseau (ici wlan0) en tapant **# ifconfig wlan0 up**.\\ <|> ifconfig
72 Mot inconnu : wlan0 [[103:108]] => - Allumer l'interface réseau (switch) et activer l'interface réseau (ici wlan0) en tapant **# ifconfig wlan0 up**.\\ <|> wlan0
72 Mot inconnu : up [[109:111]] => - Allumer l'interface réseau (switch) et activer l'interface réseau (ici wlan0) en tapant **# ifconfig wlan0 up**.\\ <|> up

73 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. [[0:2]] => - Activer le firewall (netfilter) en tapant **# systemctl enable netfilter-persistent.service**.\\ <|> -  => suggestions : ['—\xa0', '–\xa0']
73 Mot inconnu : netfilter [[23:32]] => - Activer le firewall (netfilter) en tapant **# systemctl enable netfilter-persistent.service**.\\ <|> netfilter
73 Mot inconnu : systemctl [[48:57]] => - Activer le firewall (netfilter) en tapant **# systemctl enable netfilter-persistent.service**.\\ <|> systemctl
73 Mot inconnu : enable [[58:64]] => - Activer le firewall (netfilter) en tapant **# systemctl enable netfilter-persistent.service**.\\ <|> enable
73 Mot inconnu : netfilter-persistent [[65:85]] => - Activer le firewall (netfilter) en tapant **# systemctl enable netfilter-persistent.service**.\\ <|> netfilter-persistent
73 Il manque un espace. [[86:93]] => - Activer le firewall (netfilter) en tapant **# systemctl enable netfilter-persistent.service**.\\ <|> service => suggestions : [' service']

74 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. [[0:2]] => - Lister les réseaux disponibles en tapant **# iwlist scan**.\\ <|> -  => suggestions : ['—\xa0', '–\xa0']
74 Mot inconnu : iwlist [[47:53]] => - Lister les réseaux disponibles en tapant **# iwlist scan**.\\ <|> iwlist

75 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. [[0:2]] => - Se connecter à un réseau en tapant **#iwconfig wlan0 essid //nomduréseau//**.\\ <|> -  => suggestions : ['—\xa0', '–\xa0']
75 Mot inconnu : wlan0 [[49:54]] => - Se connecter à un réseau en tapant **#iwconfig wlan0 essid //nomduréseau//**.\\ <|> wlan0
75 Mot inconnu : essid [[55:60]] => - Se connecter à un réseau en tapant **#iwconfig wlan0 essid //nomduréseau//**.\\ <|> essid
75 Mot inconnu : nomduréseau [[63:74]] => - Se connecter à un réseau en tapant **#iwconfig wlan0 essid //nomduréseau//**.\\ <|> nomduréseau

78 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. [[0:2]] => - Obtenir une adresse ip sur le réseau choisi (ce dernier étant en ip dynamique automatique) en tapant **# dhclient -d wlan0**\\ <|> -  => suggestions : ['—\xa0', '–\xa0']
78 Mot inconnu : dhclient [[107:115]] => - Obtenir une adresse ip sur le réseau choisi (ce dernier étant en ip dynamique automatique) en tapant **# dhclient -d wlan0**\\ <|> dhclient
78 Il manque un espace à côté du tiret. [[115:117]] => - Obtenir une adresse ip sur le réseau choisi (ce dernier étant en ip dynamique automatique) en tapant **# dhclient -d wlan0**\\ <|>  - => suggestions : [' – ', ' — ']
78 Mot inconnu : wlan0 [[119:124]] => - Obtenir une adresse ip sur le réseau choisi (ce dernier étant en ip dynamique automatique) en tapant **# dhclient -d wlan0**\\ <|> wlan0

82 Mot inconnu : RS232 [[49:54]] => ===== Connecter une Souris série avec adaptateur RS232 (Serie/Usb)===== <|> rs232
82 Mot inconnu : Serie [[56:61]] => ===== Connecter une Souris série avec adaptateur RS232 (Serie/Usb)===== <|> serie
87 Mot inconnu : serie [[84:89]] => Or Xorg, va chercher ses périphériques dans le dossier input et non dans le dossier serie, d'où le non fonctionnement bien qu'il soit reconnu par le système. <|> serie
